,Date,Confirmed,Recovered,Deceased
0,14/03/2020,1,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,2,0,0
6,20/03/2020,0,0,0
7,21/03/2020,2,0,0
8,22/03/2020,1,0,0
9,23/03/2020,1,0,0
10,24/03/2020,1,0,0
11,25/03/2020,2,1,0
12,26/03/2020,1,0,0
13,27/03/2020,2,0,0
14,28/03/2020,6,0,0
15,29/03/2020,2,0,0
16,30/03/2020,2,0,0
17,31/03/2020,21,0,0
18,01/04/2020,67,1,0
19,02/04/2020,38,0,0
20,03/04/2020,15,0,1
21,04/04/2020,28,0,0
22,05/04/2020,64,3,0
23,06/04/2020,47,0,2
24,07/04/2020,11,0,1
25,08/04/2020,34,1,0
26,09/04/2020,15,4,2
27,10/04/2020,18,0,0
28,11/04/2020,24,0,0
29,12/04/2020,15,2,1
30,13/04/2020,19,0,0
31,14/04/2020,45,4,4
32,15/04/2020,41,4,3
33,16/04/2020,9,0,0
34,17/04/2020,38,15,0
35,18/04/2020,31,7,2
36,19/04/2020,44,23,1
37,20/04/2020,75,27,3
38,21/04/2020,35,4,2
39,22/04/2020,56,24,2
40,23/04/2020,80,21,3
41,24/04/2020,62,4,2
42,25/04/2020,61,26,2
43,26/04/2020,81,60,0
44,27/04/2020,80,4,0
45,28/04/2020,82,23,0
46,29/04/2020,73,29,0
47,30/04/2020,71,34,0
48,01/05/2020,60,82,2
49,02/05/2020,62,38,0
50,03/05/2020,58,47,0
51,04/05/2020,67,36,0
52,05/05/2020,67,65,1
53,06/05/2020,60,140,2
54,07/05/2020,56,51,2
55,08/05/2020,54,62,3
56,09/05/2020,43,45,3
57,10/05/2020,50,38,1
58,11/05/2020,38,73,0
59,12/05/2020,71,58,1
60,13/05/2020,48,86,1
61,14/05/2020,68,50,1
62,15/05/2020,102,60,0
63,16/05/2020,48,101,1
64,17/05/2020,25,103,1
65,18/05/2020,52,96,0
66,19/05/2020,57,69,2
67,20/05/2020,71,43,1
68,21/05/2020,45,41,1
69,22/05/2020,62,26,1
70,23/05/2020,47,48,1
71,24/05/2020,66,62,0
72,25/05/2020,106,51,0
73,26/05/2020,97,125,1
74,27/05/2020,134,48,1
75,28/05/2020,128,68,1
76,29/05/2020,85,101,1
77,30/05/2020,131,55,0
78,31/05/2020,110,51,2
79,01/06/2020,105,34,2
80,02/06/2020,115,40,0
81,03/06/2020,180,50,4
82,04/06/2020,141,65,3
83,05/06/2020,138,36,2
84,06/06/2020,210,75,0
85,07/06/2020,199,29,2
86,08/06/2020,154,42,0
87,09/06/2020,69,48,2
88,10/06/2020,365,110,1
89,11/06/2020,182,99,2
90,12/06/2020,207,123,0
91,13/06/2020,222,94,2
92,14/06/2020,294,131,2
93,15/06/2020,304,69,2
94,16/06/2020,264,128,2
95,17/06/2020,351,128,2
96,18/06/2020,425,131,2
97,19/06/2020,465,133,4
98,20/06/2020,491,206,5
99,21/06/2020,477,196,5
100,22/06/2020,443,128,5
101,23/06/2020,462,157,8
102,24/06/2020,497,187,10
103,25/06/2020,553,209,7
104,26/06/2020,605,208,10
105,27/06/2020,796,284,11
106,28/06/2020,813,428,12
107,29/06/2020,793,324,11
108,30/06/2020,704,279,7
109,01/07/2020,657,477,6
110,02/07/2020,845,325,5
111,03/07/2020,837,319,8
112,04/07/2020,765,376,12
113,05/07/2020,998,414,14
114,06/07/2020,1322,498,7
115,07/07/2020,1178,825,13
116,08/07/2020,1062,1356,12
117,09/07/2020,1555,1053,13
118,10/07/2020,1608,1040,15
119,11/07/2020,1813,1199,17
120,12/07/2020,1933,1019,19
121,13/07/2020,1935,1052,37
122,14/07/2020,1916,1003,43
123,15/07/2020,2432,911,44
124,16/07/2020,2593,1015,40
125,17/07/2020,2602,905,42
126,18/07/2020,3963,1465,52
127,19/07/2020,5041,1127,56
128,20/07/2020,4074,1338,54
129,21/07/2020,4944,1346,62
130,22/07/2020,6045,6553,65
131,23/07/2020,7998,5428,61
132,24/07/2020,8147,2380,49
133,25/07/2020,7813,3320,52
134,26/07/2020,7627,3046,56
135,27/07/2020,6051,3257,49
136,28/07/2020,7948,3064,58
137,29/07/2020,10093,2784,65
138,30/07/2020,10167,4618,68
139,31/07/2020,10376,3840,68
140,01/08/2020,9276,12750,58
141,02/08/2020,8555,6272,67
142,03/08/2020,7822,5786,63
143,04/08/2020,9747,6953,67
144,05/08/2020,10128,8729,77
145,06/08/2020,10328,8516,72
146,07/08/2020,10171,7594,89
147,08/08/2020,10080,9151,97
148,09/08/2020,10820,9097,97
149,10/08/2020,7665,6924,80
150,11/08/2020,9024,9113,87
151,12/08/2020,9597,6676,93
152,13/08/2020,9996,9499,82
153,14/08/2020,8943,9779,97
154,15/08/2020,8732,10414,87
155,16/08/2020,8012,10117,88
156,17/08/2020,6780,7866,82
157,18/08/2020,9652,9211,88
158,19/08/2020,9742,8061,86
159,20/08/2020,9393,8846,95
160,21/08/2020,9544,8827,91
161,22/08/2020,10276,8593,97
162,23/08/2020,7895,7449,93
163,24/08/2020,8601,8741,86
164,25/08/2020,9927,9419,92
165,26/08/2020,10830,8473,81
166,27/08/2020,10621,8528,92
167,28/08/2020,10526,8463,81
168,29/08/2020,10548,8976,82
169,30/08/2020,10603,9067,88
170,31/08/2020,10004,8772,85
171,01/09/2020,10368,9350,84
172,02/09/2020,10392,8454,72
173,03/09/2020,10199,9499,75
174,04/09/2020,10776,12334,76
175,05/09/2020,10825,11941,71
176,06/09/2020,10794,11915,70
177,07/09/2020,8368,10055,70
178,08/09/2020,10601,11691,73
179,09/09/2020,10418,9842,74
180,10/09/2020,10175,10040,68
181,11/09/2020,9999,11069,77
182,12/09/2020,9901,10292,67
183,13/09/2020,9536,10131,66
184,14/09/2020,7956,9764,60
185,15/09/2020,8846,9628,69
186,16/09/2020,8835,10845,64
187,17/09/2020,8702,10712,72
188,18/09/2020,8096,11803,67
189,19/09/2020,8218,10820,58
190,20/09/2020,7738,10608,57
191,21/09/2020,6235,10502,51
192,22/09/2020,7553,10555,51
193,23/09/2020,7228,8291,45
194,24/09/2020,7855,8807,52
195,25/09/2020,7073,8695,48
196,26/09/2020,7293,9125,57
197,27/09/2020,6923,7796,45
198,28/09/2020,5487,7210,37
199,29/09/2020,6190,9836,35
200,30/09/2020,6133,7075,48
201,01/10/2020,6751,7297,41
202,02/10/2020,6555,7485,31
203,03/10/2020,6224,7798,41
204,04/10/2020,6242,7084,40
205,05/10/2020,4256,7558,38
206,06/10/2020,5795,6046,33
207,07/10/2020,5120,6349,34
208,08/10/2020,5292,6102,42
209,09/10/2020,5145,6110,31
210,10/10/2020,5653,6659,35
211,11/10/2020,5210,5509,30
212,12/10/2020,3224,5504,32
213,13/10/2020,4622,5715,35
214,14/10/2020,3892,5050,28
215,15/10/2020,4038,5622,38
216,16/10/2020,3967,5010,25
217,17/10/2020,3676,5529,24
218,18/10/2020,3986,4591,23
219,19/10/2020,2918,4303,24
220,20/10/2020,3503,5144,28
221,21/10/2020,3746,4739,27
222,22/10/2020,3620,3723,16
223,23/10/2020,3765,4281,20
224,24/10/2020,3342,3572,22
225,25/10/2020,2997,3585,21
226,26/10/2020,1901,3972,19
227,27/10/2020,2901,4352,19
228,28/10/2020,2949,3609,18
229,29/10/2020,2905,3243,16
230,30/10/2020,2886,3623,17
231,31/10/2020,2783,3708,14
232,01/11/2020,2618,3509,16
233,02/11/2020,1916,3033,13
234,03/11/2020,2849,3700,15
235,04/11/2020,2477,2701,10
236,05/11/2020,2745,2292,13
237,06/11/2020,2410,2452,11
238,07/11/2020,2367,2747,11
239,08/11/2020,2237,2256,12
240,09/11/2020,1392,1549,11
241,10/11/2020,1886,2151,12
242,11/11/2020,1732,1761,14
243,12/11/2020,1728,1777,9
244,13/11/2020,1593,2178,10
245,14/11/2020,1657,2155,7
246,15/11/2020,1056,2140,14
247,16/11/2020,753,1507,13
248,17/11/2020,1395,2293,9
249,18/11/2020,1236,1696,9
250,19/11/2020,1316,1821,11
251,20/11/2020,1221,1829,10
252,21/11/2020,1160,1765,7
