,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,0,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,0,0,0
10,24/03/2020,0,0,0
11,25/03/2020,0,0,0
12,26/03/2020,0,0,0
13,27/03/2020,0,0,0
14,28/03/2020,0,0,0
15,29/03/2020,0,0,0
16,30/03/2020,0,0,0
17,31/03/2020,1,0,0
18,01/04/2020,15,0,0
19,02/04/2020,0,0,0
20,03/04/2020,7,0,0
21,04/04/2020,3,0,0
22,05/04/2020,0,0,0
23,06/04/2020,0,0,0
24,07/04/2020,2,0,0
25,08/04/2020,0,0,0
26,09/04/2020,1,0,0
27,10/04/2020,0,0,1
28,11/04/2020,0,0,0
29,12/04/2020,1,0,0
30,13/04/2020,2,0,0
31,14/04/2020,1,0,0
32,15/04/2020,0,2,0
33,16/04/2020,2,3,0
34,17/04/2020,0,4,0
35,18/04/2020,0,3,0
36,19/04/2020,0,5,0
37,20/04/2020,0,2,0
38,21/04/2020,0,0,0
39,22/04/2020,0,0,0
40,23/04/2020,1,0,0
41,24/04/2020,0,0,0
42,25/04/2020,0,0,0
43,26/04/2020,0,8,0
44,27/04/2020,0,0,0
45,28/04/2020,2,0,0
46,29/04/2020,0,2,0
47,30/04/2020,5,0,0
48,01/05/2020,0,4,0
49,02/05/2020,0,0,0
50,03/05/2020,0,0,0
51,04/05/2020,0,0,0
52,05/05/2020,2,0,0
53,06/05/2020,1,2,0
54,07/05/2020,8,0,0
55,08/05/2020,6,0,1
56,09/05/2020,2,0,-1
57,10/05/2020,1,0,0
58,11/05/2020,2,5,0
59,12/05/2020,0,0,0
60,13/05/2020,15,0,0
61,14/05/2020,7,0,0
62,15/05/2020,3,1,0
63,16/05/2020,3,0,0
64,17/05/2020,8,1,0
65,18/05/2020,15,0,2
66,19/05/2020,42,0,0
67,20/05/2020,31,7,0
68,21/05/2020,22,6,0
69,22/05/2020,15,0,0
70,23/05/2020,121,2,0
71,24/05/2020,46,1,0
72,25/05/2020,156,5,0
73,26/05/2020,134,0,0
74,27/05/2020,101,25,0
75,28/05/2020,97,16,0
76,29/05/2020,177,22,0
77,30/05/2020,159,38,0
78,31/05/2020,123,22,0
79,01/06/2020,146,99,0
80,02/06/2020,74,53,0
81,03/06/2020,271,76,0
82,04/06/2020,285,46,0
83,05/06/2020,128,50,0
84,06/06/2020,230,79,0
85,07/06/2020,208,48,0
86,08/06/2020,154,148,0
87,09/06/2020,215,312,1
88,10/06/2020,235,152,1
89,11/06/2020,145,184,0
90,12/06/2020,263,152,2
91,13/06/2020,207,221,0
92,14/06/2020,218,155,0
93,15/06/2020,191,245,0
94,16/06/2020,201,206,0
95,17/06/2020,184,231,0
96,18/06/2020,209,206,1
97,19/06/2020,0,218,0
98,20/06/2020,249,136,0
99,21/06/2020,332,202,0
100,22/06/2020,267,161,0
101,23/06/2020,203,197,0
102,24/06/2020,226,196,0
103,25/06/2020,364,75,0
104,26/06/2020,273,214,0
105,27/06/2020,246,567,1
106,28/06/2020,327,274,1
107,29/06/2020,302,245,0
108,30/06/2020,613,314,1
109,01/07/2020,548,184,0
110,02/07/2020,479,275,2
111,03/07/2020,365,221,0
112,04/07/2020,1202,416,0
113,05/07/2020,735,690,0
114,06/07/2020,786,508,0
115,07/07/2020,814,388,2
116,08/07/2020,696,397,6
117,09/07/2020,568,421,5
118,10/07/2020,936,701,8
119,11/07/2020,535,578,2
120,12/07/2020,735,468,4
121,13/07/2020,1001,522,4
122,14/07/2020,859,757,6
123,15/07/2020,1088,715,2
124,16/07/2020,892,666,2
125,17/07/2020,1218,551,1
126,18/07/2020,1117,1060,2
127,19/07/2020,1018,858,4
128,20/07/2020,1093,1072,1
129,21/07/2020,1680,938,6
130,22/07/2020,972,1317,2
131,23/07/2020,1047,1349,4
132,24/07/2020,1130,1062,6
133,25/07/2020,1165,1294,1
134,26/07/2020,1142,985,2
135,27/07/2020,1348,1362,7
136,28/07/2020,1371,1216,2
137,29/07/2020,1348,1214,4
138,30/07/2020,2112,1248,2
139,31/07/2020,1862,1277,4
140,01/08/2020,1457,1085,3
141,02/08/2020,1178,942,4
142,03/08/2020,2371,1044,4
143,04/08/2020,2886,993,6
144,05/08/2020,2284,1471,6
145,06/08/2020,2372,1332,5
146,07/08/2020,2679,1585,6
147,08/08/2020,2218,1782,8
148,09/08/2020,1123,1734,5
149,10/08/2020,2900,1261,6
150,11/08/2020,2669,1487,4
151,12/08/2020,4593,2136,6
152,13/08/2020,2796,2174,8
153,14/08/2020,2706,2310,6
154,15/08/2020,1057,1593,7
155,16/08/2020,1317,1929,7
156,17/08/2020,2792,1519,8
157,18/08/2020,2534,1560,6
158,19/08/2020,2116,2054,10
159,20/08/2020,1735,2772,8
160,21/08/2020,1856,2476,6
161,22/08/2020,1560,2045,7
162,23/08/2020,1272,3259,8
163,24/08/2020,1879,2190,10
164,25/08/2020,1973,1724,8
165,26/08/2020,2179,2148,14
166,27/08/2020,2036,2345,4
167,28/08/2020,2560,1763,8
168,29/08/2020,2427,1440,3
169,30/08/2020,1980,1417,7
170,31/08/2020,3266,1531,10
171,01/09/2020,2684,1434,9
172,02/09/2020,3555,1834,8
173,03/09/2020,3054,1971,7
174,04/09/2020,2891,2020,15
175,05/09/2020,2698,2343,7
176,06/09/2020,1537,1763,8
177,07/09/2020,2785,2250,10
178,08/09/2020,2578,2166,8
179,09/09/2020,2243,2265,18
180,10/09/2020,2739,2197,18
181,11/09/2020,2534,2628,16
182,12/09/2020,2132,2553,23
183,13/09/2020,1292,2251,16
184,14/09/2020,2403,1918,13
185,15/09/2020,2409,1848,10
186,16/09/2020,2394,2464,19
187,17/09/2020,1380,2246,17
188,18/09/2020,2509,2074,12
189,19/09/2020,2595,1856,8
190,20/09/2020,1227,1795,14
191,21/09/2020,2640,1795,16
192,22/09/2020,2073,1817,8
193,23/09/2020,2098,1762,11
194,24/09/2020,2091,2432,11
195,25/09/2020,1792,1571,17
196,26/09/2020,1736,1595,13
197,27/09/2020,875,1670,17
198,28/09/2020,3644,2320,12
199,29/09/2020,3592,1702,13
200,30/09/2020,3590,1616,17
201,01/10/2020,1585,1904,14
202,02/10/2020,1416,1441,10
203,03/10/2020,1632,1813,14
204,04/10/2020,756,1351,14
205,05/10/2020,1518,1364,11
206,06/10/2020,1184,1586,18
207,07/10/2020,1307,2561,7
208,08/10/2020,1188,2198,9
209,09/10/2020,1019,2068,8
210,10/10/2020,971,1451,9
211,11/10/2020,396,1227,5
212,12/10/2020,1521,1457,10
213,13/10/2020,1482,1020,4
214,14/10/2020,1427,1013,4
215,15/10/2020,769,1263,9
216,16/10/2020,767,931,10
217,17/10/2020,642,818,12
218,18/10/2020,318,599,3
219,19/10/2020,698,1530,7
220,20/10/2020,666,1201,9
221,21/10/2020,701,1664,5
222,22/10/2020,508,1584,7
223,23/10/2020,427,2184,4
224,24/10/2020,258,2948,2
225,25/10/2020,204,2961,4
226,26/10/2020,215,2832,2
227,27/10/2020,403,2443,6
228,28/10/2020,448,1487,3
229,29/10/2020,398,1057,6
230,30/10/2020,380,1094,3
231,31/10/2020,336,1386,4
232,01/11/2020,166,730,1
233,02/11/2020,465,785,1
234,03/11/2020,379,473,2
235,04/11/2020,380,655,0
236,05/11/2020,313,761,0
237,06/11/2020,335,926,4
238,07/11/2020,248,555,2
239,08/11/2020,152,395,4
240,09/11/2020,328,508,4
241,10/11/2020,271,629,5
242,11/11/2020,245,837,2
243,12/11/2020,202,771,3
244,13/11/2020,233,642,1
245,14/11/2020,107,529,3
246,15/11/2020,93,389,2
247,16/11/2020,186,405,1
248,17/11/2020,242,357,2
249,18/11/2020,169,210,3
250,19/11/2020,175,267,0
251,20/11/2020,164,151,2
252,21/11/2020,223,193,2
253,22/11/2020,86,175,1
254,23/11/2020,169,131,1
255,24/11/2020,157,121,1
256,25/11/2020,182,117,2
257,26/11/2020,150,142,0
258,27/11/2020,149,160,2
259,28/11/2020,163,122,0
260,29/11/2020,134,96,1
261,30/11/2020,159,110,0
262,01/12/2020,222,135,0
263,02/12/2020,173,138,2
264,03/12/2020,165,177,2
265,04/12/2020,169,121,2
266,05/12/2020,157,163,2
267,06/12/2020,97,84,4
268,07/12/2020,166,131,2
269,08/12/2020,94,102,2
270,09/12/2020,146,178,1
271,10/12/2020,140,165,1
272,11/12/2020,127,149,1
273,12/12/2020,152,118,0
274,13/12/2020,73,117,2
275,14/12/2020,146,125,1
276,15/12/2020,142,102,1
277,16/12/2020,97,90,3
278,17/12/2020,106,124,3
279,18/12/2020,102,85,1
280,19/12/2020,96,108,1
281,20/12/2020,63,64,5
282,21/12/2020,101,93,3
283,22/12/2020,75,113,4
284,23/12/2020,95,103,5
285,24/12/2020,95,105,4
286,25/12/2020,61,95,0
287,26/12/2020,74,105,2
288,27/12/2020,29,60,2
289,28/12/2020,58,90,1
290,29/12/2020,66,87,2
291,30/12/2020,76,115,3
292,31/12/2020,72,72,2
293,01/01/2021,40,82,4
294,02/01/2021,38,80,2
295,03/01/2021,15,60,1
296,04/01/2021,36,67,2
297,05/01/2021,41,50,3
298,06/01/2021,43,79,0
299,07/01/2021,57,48,2
300,08/01/2021,50,54,0
301,09/01/2021,34,56,1
302,10/01/2021,25,29,1
303,11/01/2021,45,64,3
304,12/01/2021,55,56,0
305,13/01/2021,53,40,1
306,14/01/2021,19,31,0
307,15/01/2021,15,42,1
308,16/01/2021,32,61,4
309,17/01/2021,22,30,3
310,18/01/2021,33,139,2
311,19/01/2021,23,106,0
312,20/01/2021,32,98,2
313,21/01/2021,21,116,0
314,22/01/2021,17,103,0
315,23/01/2021,19,94,0
316,24/01/2021,16,99,1
317,25/01/2021,25,83,0
318,26/01/2021,8,89,1
319,27/01/2021,17,94,2
320,28/01/2021,29,95,0
321,29/01/2021,20,102,0
322,30/01/2021,29,70,1
323,31/01/2021,21,54,0
324,01/02/2021,13,70,1
325,02/02/2021,7,37,0
326,03/02/2021,14,59,0
327,04/02/2021,11,30,1
328,05/02/2021,7,29,0
329,06/02/2021,9,20,0
330,07/02/2021,8,24,0
331,08/02/2021,19,26,1
332,09/02/2021,27,17,1
333,10/02/2021,11,17,0
334,11/02/2021,10,23,0
335,12/02/2021,8,12,0
336,13/02/2021,3,28,1
337,14/02/2021,5,15,0
338,15/02/2021,11,16,2
339,16/02/2021,5,14,0
340,17/02/2021,21,13,1
341,18/02/2021,14,11,1
342,19/02/2021,23,19,0
343,20/02/2021,16,18,0
344,21/02/2021,9,18,0
345,22/02/2021,14,18,0
346,23/02/2021,21,20,0
347,24/02/2021,27,25,0
348,25/02/2021,30,13,0
349,26/02/2021,34,22,1
350,27/02/2021,9,23,0
351,28/02/2021,10,15,0
352,01/03/2021,33,16,1
353,02/03/2021,15,14,0
354,03/03/2021,8,19,0
355,04/03/2021,20,15,0
356,05/03/2021,29,20,0
357,06/03/2021,7,16,1
358,07/03/2021,19,17,0
359,08/03/2021,14,17,0
360,09/03/2021,22,15,2
361,10/03/2021,22,18,0
362,11/03/2021,19,26,1
363,12/03/2021,21,18,0
364,13/03/2021,14,22,1
365,14/03/2021,17,17,0
366,15/03/2021,20,26,1
367,16/03/2021,22,21,0
368,17/03/2021,33,19,0
369,18/03/2021,33,14,1
370,19/03/2021,19,23,0
371,20/03/2021,27,18,0
372,21/03/2021,25,12,0
373,22/03/2021,30,22,1
374,23/03/2021,52,27,1
375,24/03/2021,41,15,1
376,25/03/2021,40,22,1
377,26/03/2021,37,26,0
378,27/03/2021,46,23,0
379,28/03/2021,48,18,0
380,29/03/2021,40,24,0
381,30/03/2021,53,23,0
