,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,0,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,2,0,1
9,23/03/2020,1,0,0
10,24/03/2020,0,0,0
11,25/03/2020,1,0,0
12,26/03/2020,3,0,0
13,27/03/2020,2,0,0
14,28/03/2020,2,0,0
15,29/03/2020,4,0,0
16,30/03/2020,0,0,0
17,31/03/2020,6,0,0
18,01/04/2020,3,0,0
19,02/04/2020,5,3,0
20,03/04/2020,2,0,0
21,04/04/2020,1,0,0
22,05/04/2020,0,0,0
23,06/04/2020,0,6,0
24,07/04/2020,6,6,0
25,08/04/2020,1,0,0
26,09/04/2020,19,0,0
27,10/04/2020,2,0,0
28,11/04/2020,4,0,0
29,12/04/2020,0,11,0
30,13/04/2020,2,2,0
31,14/04/2020,0,1,0
32,15/04/2020,6,0,0
33,16/04/2020,11,8,0
34,17/04/2020,2,0,0
35,18/04/2020,1,5,1
36,19/04/2020,10,0,0
37,20/04/2020,17,0,0
38,21/04/2020,13,0,0
39,22/04/2020,17,0,0
40,23/04/2020,27,2,0
41,24/04/2020,53,0,0
42,25/04/2020,28,1,0
43,26/04/2020,26,11,0
44,27/04/2020,69,0,0
45,28/04/2020,20,8,0
46,29/04/2020,37,0,0
47,30/04/2020,22,20,0
48,01/05/2020,41,14,1
49,02/05/2020,15,19,1
50,03/05/2020,36,7,0
51,04/05/2020,11,3,0
52,05/05/2020,7,31,0
53,06/05/2020,7,0,0
54,07/05/2020,8,60,1
55,08/05/2020,29,49,0
56,09/05/2020,32,51,0
57,10/05/2020,96,36,1
58,11/05/2020,42,23,0
59,12/05/2020,130,5,0
60,13/05/2020,74,18,1
61,14/05/2020,46,12,0
62,15/05/2020,34,28,0
63,16/05/2020,145,33,1
64,17/05/2020,142,0,0
65,18/05/2020,103,44,1
66,19/05/2020,96,0,0
67,20/05/2020,257,54,0
68,21/05/2020,211,0,0
69,22/05/2020,179,58,2
70,23/05/2020,228,24,0
71,24/05/2020,180,49,0
72,25/05/2020,163,31,2
73,26/05/2020,231,67,1
74,27/05/2020,68,118,1
75,28/05/2020,149,132,0
76,29/05/2020,174,159,0
77,30/05/2020,206,102,6
78,31/05/2020,242,209,2
79,01/06/2020,138,221,0
80,02/06/2020,151,62,1
81,03/06/2020,230,222,1
82,04/06/2020,126,95,3
83,05/06/2020,146,113,1
84,06/06/2020,233,65,0
85,07/06/2020,239,107,1
86,08/06/2020,177,137,1
87,09/06/2020,208,228,2
88,10/06/2020,243,164,1
89,11/06/2020,250,152,0
90,12/06/2020,148,230,1
91,13/06/2020,193,370,0
92,14/06/2020,186,289,1
93,15/06/2020,187,251,2
94,16/06/2020,148,345,1
95,17/06/2020,130,205,0
96,18/06/2020,100,185,5
97,19/06/2020,250,137,5
98,20/06/2020,213,269,0
99,21/06/2020,162,264,2
100,22/06/2020,228,136,1
101,23/06/2020,157,260,2
102,24/06/2020,223,79,1
103,25/06/2020,215,374,1
104,26/06/2020,190,189,0
105,27/06/2020,302,261,2
106,28/06/2020,244,226,4
107,29/06/2020,394,218,1
108,30/06/2020,370,170,5
109,01/07/2020,216,267,5
110,02/07/2020,478,183,5
111,03/07/2020,426,217,6
112,04/07/2020,349,277,4
113,05/07/2020,403,277,2
114,06/07/2020,280,249,7
115,07/07/2020,385,324,1
116,08/07/2020,749,203,2
117,09/07/2020,704,251,9
118,10/07/2020,352,459,2
119,11/07/2020,709,740,7
120,12/07/2020,1266,962,7
121,13/07/2020,1116,411,9
122,14/07/2020,1432,655,9
123,15/07/2020,1320,514,14
124,16/07/2020,1385,568,10
125,17/07/2020,1742,896,6
126,18/07/2020,1667,774,4
127,19/07/2020,1412,826,2
128,20/07/2020,1076,938,8
129,21/07/2020,1109,1206,11
130,22/07/2020,1502,1135,10
131,23/07/2020,1625,1083,4
132,24/07/2020,1820,1873,9
133,25/07/2020,2803,1688,11
134,26/07/2020,2605,1788,17
135,27/07/2020,2192,1536,6
136,28/07/2020,2480,1376,14
137,29/07/2020,2328,1284,4
138,30/07/2020,2082,1169,12
139,31/07/2020,2986,1977,13
140,01/08/2020,3521,1823,14
141,02/08/2020,2762,1164,10
142,03/08/2020,2297,1871,14
143,04/08/2020,2464,2252,13
144,05/08/2020,2701,1610,20
145,06/08/2020,3416,1450,19
146,07/08/2020,3646,2445,12
147,08/08/2020,3992,2408,19
148,09/08/2020,3934,2642,10
149,10/08/2020,3021,2824,21
150,11/08/2020,4071,2900,15
151,12/08/2020,3741,3029,9
152,13/08/2020,3906,2439,10
153,14/08/2020,3911,2800,16
154,15/08/2020,3536,3368,15
155,16/08/2020,2187,3891,22
156,17/08/2020,2525,4140,5
157,18/08/2020,3257,4034,16
158,19/08/2020,2884,3838,10
159,20/08/2020,2451,3585,6
160,21/08/2020,2461,3678,14
161,22/08/2020,2238,3531,13
162,23/08/2020,2247,3082,9
163,24/08/2020,1227,2908,17
164,25/08/2020,1444,3169,17
165,26/08/2020,2163,2234,9
166,27/08/2020,1860,2931,9
167,28/08/2020,1998,2749,12
168,29/08/2020,2087,2629,5
169,30/08/2020,2078,2231,9
170,31/08/2020,1324,2267,6
171,01/09/2020,1928,2029,15
172,02/09/2020,1969,1803,13
173,03/09/2020,1922,1572,6
174,04/09/2020,1978,1435,13
175,05/09/2020,1727,1965,9
176,06/09/2020,1797,1924,4
177,07/09/2020,1369,1845,7
178,08/09/2020,1667,1944,4
179,09/09/2020,1498,1702,10
180,10/09/2020,1543,1480,10
181,11/09/2020,1710,2187,12
182,12/09/2020,1421,1700,11
183,13/09/2020,1523,1895,14
184,14/09/2020,1137,1966,9
185,15/09/2020,1575,1514,5
186,16/09/2020,1531,1724,12
187,17/09/2020,1592,1465,7
188,18/09/2020,1147,1678,4
189,19/09/2020,1616,1556,2
190,20/09/2020,1555,1487,3
191,21/09/2020,1314,1381,6
192,22/09/2020,1609,1232,3
193,23/09/2020,1598,1490,1
194,24/09/2020,1203,1154,4
195,25/09/2020,1632,1810,3
196,26/09/2020,1457,1622,5
197,27/09/2020,1527,1405,2
198,28/09/2020,1150,1651,4
199,29/09/2020,1439,1702,2
200,30/09/2020,1435,1735,10
201,01/10/2020,1370,1242,2
202,02/10/2020,1431,1497,4
203,03/10/2020,983,1431,2
204,04/10/2020,1261,1314,3
205,05/10/2020,907,1565,9
206,06/10/2020,1265,1255,1
207,07/10/2020,1304,1422,2
208,08/10/2020,1244,1006,2
209,09/10/2020,1155,1424,5
210,10/10/2020,1140,1226,10
211,11/10/2020,1302,1217,2
212,12/10/2020,732,1369,9
213,13/10/2020,1223,1030,6
214,14/10/2020,1326,1375,6
215,15/10/2020,1276,804,5
216,16/10/2020,1062,1454,9
217,17/10/2020,1173,1259,9
218,18/10/2020,1152,1079,6
219,19/10/2020,912,1195,7
220,20/10/2020,1837,1100,8
221,21/10/2020,1277,1319,8
222,22/10/2020,1058,985,7
223,23/10/2020,1093,1244,8
224,24/10/2020,1054,1084,8
225,25/10/2020,749,1399,7
226,26/10/2020,513,1087,9
227,27/10/2020,678,1237,7
228,28/10/2020,780,1073,4
229,29/10/2020,783,1068,7
230,30/10/2020,1018,1240,8
231,31/10/2020,800,1186,6
232,01/11/2020,777,1195,7
233,02/11/2020,577,974,4
234,03/11/2020,846,875,7
235,04/11/2020,541,976,5
236,05/11/2020,741,467,8
237,06/11/2020,746,613,8
238,07/11/2020,819,1000,7
239,08/11/2020,801,825,8
240,09/11/2020,865,851,7
241,10/11/2020,798,1014,5
242,11/11/2020,702,821,6
243,12/11/2020,523,536,5
244,13/11/2020,581,870,7
245,14/11/2020,588,422,5
246,15/11/2020,247,614,5
247,16/11/2020,517,597,5
248,17/11/2020,513,749,5
249,18/11/2020,734,601,7
250,19/11/2020,794,681,8
251,20/11/2020,495,661,3
252,21/11/2020,278,462,4
253,22/11/2020,385,606,5
254,23/11/2020,412,480,6
255,24/11/2020,653,746,6
256,25/11/2020,763,350,4
257,26/11/2020,682,595,6
258,27/11/2020,698,654,5
259,28/11/2020,713,668,5
260,29/11/2020,606,537,6
261,30/11/2020,457,547,5
262,01/12/2020,482,567,4
263,02/12/2020,680,636,6
264,03/12/2020,571,502,7
265,04/12/2020,619,605,6
266,05/12/2020,573,758,5
267,06/12/2020,585,572,3
268,07/12/2020,439,679,2
269,08/12/2020,684,674,3
270,09/12/2020,690,707,3
271,10/12/2020,595,442,4
272,11/12/2020,618,674,5
273,12/12/2020,596,575,5
274,13/12/2020,500,548,4
275,14/12/2020,425,635,4
276,15/12/2020,572,624,4
277,16/12/2020,565,466,3
278,17/12/2020,588,495,5
279,18/12/2020,535,581,4
280,19/12/2020,712,793,6
281,20/12/2020,599,584,5
282,21/12/2020,287,443,6
283,22/12/2020,497,577,4
284,23/12/2020,640,309,5
285,24/12/2020,668,522,4
286,25/12/2020,640,489,2
287,26/12/2020,474,730,6
288,27/12/2020,545,703,4
289,28/12/2020,309,617,3
290,29/12/2020,622,523,3
291,30/12/2020,474,558,4
292,31/12/2020,392,299,4
293,01/01/2021,463,404,3
294,02/01/2021,397,490,3
295,03/01/2021,282,631,2
296,04/01/2021,344,430,3
297,05/01/2021,411,456,7
298,06/01/2021,408,424,5
299,07/01/2021,377,423,4
300,08/01/2021,452,504,4
301,09/01/2021,493,411,2
302,10/01/2021,359,408,4
303,11/01/2021,213,378,5
304,12/01/2021,344,214,4
305,13/01/2021,294,391,2
306,14/01/2021,314,238,2
307,15/01/2021,346,371,2
308,16/01/2021,239,328,4
309,17/01/2021,211,383,4
310,18/01/2021,144,344,3
311,19/01/2021,189,595,1
312,20/01/2021,209,257,3
313,21/01/2021,168,315,4
314,22/01/2021,168,458,4
315,23/01/2021,149,203,4
316,24/01/2021,131,267,3
317,25/01/2021,82,222,4
318,26/01/2021,160,170,3
319,27/01/2021,86,710,4
320,28/01/2021,134,281,2
321,29/01/2021,121,278,3
322,30/01/2021,123,187,4
323,31/01/2021,116,162,2
324,01/02/2021,75,118,2
325,02/02/2021,118,173,4
326,03/02/2021,92,138,3
327,04/02/2021,64,109,2
328,05/02/2021,90,201,2
329,06/02/2021,88,84,1
330,07/02/2021,53,84,1
331,08/02/2021,56,129,1
332,09/02/2021,92,120,1
333,10/02/2021,64,60,2
334,11/02/2021,57,113,1
335,12/02/2021,78,86,1
336,13/02/2021,44,80,2
337,14/02/2021,51,78,1
338,15/02/2021,44,79,2
339,16/02/2021,56,78,1
340,17/02/2021,38,82,1
341,18/02/2021,63,68,2
342,19/02/2021,67,75,1
343,20/02/2021,57,57,2
344,21/02/2021,94,58,1
345,22/02/2021,84,59,1
346,23/02/2021,59,71,1
347,24/02/2021,54,92,1
348,25/02/2021,61,91,1
349,26/02/2021,46,92,1
350,27/02/2021,45,71,1
351,28/02/2021,25,30,0
352,01/03/2021,22,51,0
353,02/03/2021,41,42,0
354,03/03/2021,31,50,1
355,04/03/2021,40,40,1
356,05/03/2021,38,44,1
357,06/03/2021,22,28,1
358,07/03/2021,30,50,1
359,08/03/2021,21,43,1
360,09/03/2021,41,33,0
361,10/03/2021,44,38,1
362,11/03/2021,45,24,0
363,12/03/2021,28,27,1
364,13/03/2021,38,28,1
365,14/03/2021,50,44,1
366,15/03/2021,26,35,1
367,16/03/2021,49,29,1
368,17/03/2021,58,40,1
369,18/03/2021,107,64,1
370,19/03/2021,90,58,1
371,20/03/2021,88,51,1
372,21/03/2021,126,74,2
373,22/03/2021,90,50,2
374,23/03/2021,111,46,2
375,24/03/2021,170,65,2
376,25/03/2021,258,58,2
377,26/03/2021,211,133,2
378,27/03/2021,195,78,2
379,28/03/2021,351,119,1
380,29/03/2021,239,97,1
