,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,1,0,0
6,20/03/2020,4,0,0
7,21/03/2020,0,0,0
8,22/03/2020,1,0,0
9,23/03/2020,1,0,0
10,24/03/2020,0,0,0
11,25/03/2020,0,0,0
12,26/03/2020,0,0,0
13,27/03/2020,1,0,0
14,28/03/2020,0,0,0
15,29/03/2020,0,0,0
16,30/03/2020,5,0,0
17,31/03/2020,2,0,0
18,01/04/2020,2,0,0
19,02/04/2020,1,0,0
20,03/04/2020,0,0,0
21,04/04/2020,0,3,0
22,05/04/2020,0,2,0
23,06/04/2020,0,0,0
24,07/04/2020,0,2,0
25,08/04/2020,0,0,0
26,09/04/2020,0,0,0
27,10/04/2020,1,0,0
28,11/04/2020,0,0,0
29,12/04/2020,2,0,0
30,13/04/2020,0,0,0
31,14/04/2020,0,0,0
32,15/04/2020,0,2,0
33,16/04/2020,0,0,0
34,17/04/2020,0,0,0
35,18/04/2020,2,0,0
36,19/04/2020,3,4,0
37,20/04/2020,0,1,0
38,21/04/2020,1,0,0
39,22/04/2020,0,0,0
40,23/04/2020,0,0,0
41,24/04/2020,0,1,0
42,25/04/2020,1,0,0
43,26/04/2020,8,2,0
44,27/04/2020,9,0,0
45,28/04/2020,11,0,0
46,29/04/2020,12,0,0
47,30/04/2020,6,1,0
48,01/05/2020,14,0,0
49,02/05/2020,6,1,0
50,03/05/2020,3,0,1
51,04/05/2020,5,2,0
52,05/05/2020,17,0,0
53,06/05/2020,5,0,0
54,07/05/2020,11,0,0
55,08/05/2020,11,0,1
56,09/05/2020,23,3,0
57,10/05/2020,4,0,1
58,11/05/2020,8,4,0
59,12/05/2020,6,2,0
60,13/05/2020,4,0,0
61,14/05/2020,0,7,0
62,15/05/2020,0,3,0
63,16/05/2020,0,11,0
64,17/05/2020,0,0,0
65,18/05/2020,5,3,0
66,19/05/2020,3,3,0
67,20/05/2020,3,79,0
68,21/05/2020,16,42,0
69,22/05/2020,1,0,0
70,23/05/2020,6,1,0
71,24/05/2020,37,0,1
72,25/05/2020,4,8,0
73,26/05/2020,12,0,0
74,27/05/2020,1,0,0
75,28/05/2020,10,2,0
76,29/05/2020,0,0,0
77,30/05/2020,0,10,0
78,31/05/2020,4,0,0
79,01/06/2020,4,15,0
80,02/06/2020,4,0,1
81,03/06/2020,0,0,0
82,04/06/2020,1,8,0
83,05/06/2020,7,51,0
84,06/06/2020,3,0,0
85,07/06/2020,2,1,0
86,08/06/2020,6,11,0
87,09/06/2020,6,0,0
88,10/06/2020,2,4,0
89,11/06/2020,4,4,0
90,12/06/2020,13,2,0
91,13/06/2020,5,0,0
92,14/06/2020,2,0,0
93,15/06/2020,5,6,1
94,16/06/2020,8,1,0
95,17/06/2020,5,4,0
96,18/06/2020,4,0,0
97,19/06/2020,7,9,0
98,20/06/2020,23,1,0
99,21/06/2020,2,0,0
100,22/06/2020,5,6,0
101,23/06/2020,7,0,0
102,24/06/2020,2,0,0
103,25/06/2020,3,7,0
104,26/06/2020,2,6,0
105,27/06/2020,3,0,0
106,28/06/2020,3,1,0
107,29/06/2020,3,13,0
108,30/06/2020,6,15,0
109,01/07/2020,6,3,0
110,02/07/2020,4,22,0
111,03/07/2020,4,4,0
112,04/07/2020,5,2,0
113,05/07/2020,7,0,0
114,06/07/2020,21,6,0
115,07/07/2020,5,0,1
116,08/07/2020,15,1,0
117,09/07/2020,16,1,0
118,10/07/2020,13,5,0
119,11/07/2020,13,5,1
120,12/07/2020,10,4,0
121,13/07/2020,29,6,0
122,14/07/2020,12,23,2
123,15/07/2020,19,13,1
124,16/07/2020,16,17,0
125,17/07/2020,25,4,0
126,18/07/2020,31,5,1
127,19/07/2020,26,3,0
128,20/07/2020,20,30,0
129,21/07/2020,14,0,0
130,22/07/2020,29,8,1
131,23/07/2020,20,5,0
132,24/07/2020,23,4,0
133,25/07/2020,29,20,0
134,26/07/2020,35,17,0
135,27/07/2020,23,3,1
136,28/07/2020,24,24,0
137,29/07/2020,44,12,0
138,30/07/2020,38,36,0
139,31/07/2020,35,20,1
140,01/08/2020,28,16,3
141,02/08/2020,38,15,1
142,03/08/2020,43,8,0
143,04/08/2020,46,9,1
144,05/08/2020,64,0,0
145,06/08/2020,57,62,0
146,07/08/2020,47,43,3
147,08/08/2020,52,52,1
148,09/08/2020,89,32,1
149,10/08/2020,80,100,0
150,11/08/2020,75,11,1
151,12/08/2020,81,8,1
152,13/08/2020,91,53,1
153,14/08/2020,86,15,0
154,15/08/2020,81,27,0
155,16/08/2020,93,19,1
156,17/08/2020,114,46,1
157,18/08/2020,89,60,0
158,19/08/2020,91,108,1
159,20/08/2020,119,39,0
160,21/08/2020,116,36,2
161,22/08/2020,145,45,0
162,23/08/2020,142,21,4
163,24/08/2020,117,154,0
164,25/08/2020,174,67,3
165,26/08/2020,167,87,1
166,27/08/2020,188,177,2
167,28/08/2020,160,130,2
168,29/08/2020,261,141,0
169,30/08/2020,170,48,7
170,31/08/2020,191,135,4
171,01/09/2020,204,120,1
172,02/09/2020,239,119,2
173,03/09/2020,276,213,4
174,04/09/2020,203,222,5
175,05/09/2020,234,185,1
176,06/09/2020,261,149,2
177,07/09/2020,232,295,3
178,08/09/2020,377,226,1
179,09/09/2020,332,180,2
180,10/09/2020,283,191,3
181,11/09/2020,305,269,3
182,12/09/2020,250,264,6
183,13/09/2020,449,306,1
184,14/09/2020,254,130,5
185,15/09/2020,347,202,1
186,16/09/2020,366,181,5
187,17/09/2020,288,379,5
188,18/09/2020,260,353,4
189,19/09/2020,290,351,6
190,20/09/2020,286,372,4
191,21/09/2020,216,273,3
192,22/09/2020,248,383,4
193,23/09/2020,180,255,10
194,24/09/2020,242,293,7
195,25/09/2020,244,335,1
196,26/09/2020,168,260,0
197,27/09/2020,173,166,2
198,28/09/2020,125,222,6
199,29/09/2020,138,273,5
200,30/09/2020,122,215,4
201,01/10/2020,119,196,2
202,02/10/2020,155,153,5
203,03/10/2020,148,234,3
204,04/10/2020,85,202,2
205,05/10/2020,133,199,3
206,06/10/2020,129,238,3
207,07/10/2020,113,155,2
208,08/10/2020,102,154,4
209,09/10/2020,63,161,2
210,10/10/2020,96,157,2
211,11/10/2020,85,125,1
212,12/10/2020,94,111,1
213,13/10/2020,71,109,5
214,14/10/2020,72,112,2
215,15/10/2020,74,113,2
216,16/10/2020,55,120,5
217,17/10/2020,50,108,1
218,18/10/2020,64,94,1
219,19/10/2020,40,63,0
220,20/10/2020,57,107,1
221,21/10/2020,54,118,0
222,22/10/2020,51,82,3
223,23/10/2020,72,85,2
224,24/10/2020,57,78,2
225,25/10/2020,61,80,2
226,26/10/2020,47,63,4
227,27/10/2020,67,49,1
228,28/10/2020,60,80,1
229,29/10/2020,80,43,1
230,30/10/2020,59,67,0
231,31/10/2020,67,82,1
232,01/11/2020,58,81,0
233,02/11/2020,52,76,1
234,03/11/2020,80,43,1
235,04/11/2020,94,51,1
236,05/11/2020,92,60,0
237,06/11/2020,133,63,1
238,07/11/2020,98,53,2
239,08/11/2020,109,46,2
240,09/11/2020,115,86,3
241,10/11/2020,90,66,4
242,11/11/2020,95,57,2
243,12/11/2020,109,64,1
244,13/11/2020,93,84,2
245,14/11/2020,0,0,0
246,15/11/2020,168,87,2
247,16/11/2020,82,116,2
248,17/11/2020,136,160,2
249,18/11/2020,145,89,1
250,19/11/2020,155,130,1
251,20/11/2020,150,133,1
252,21/11/2020,119,102,3
253,22/11/2020,80,119,2
254,23/11/2020,98,72,3
255,24/11/2020,79,66,2
256,25/11/2020,87,77,1
257,26/11/2020,116,80,4
258,27/11/2020,106,85,0
259,28/11/2020,89,160,4
260,29/11/2020,96,69,2
261,30/11/2020,67,144,1
262,01/12/2020,128,103,1
263,02/12/2020,105,106,3
264,03/12/2020,75,173,3
265,04/12/2020,111,161,3
266,05/12/2020,98,141,2
267,06/12/2020,101,60,2
268,07/12/2020,86,85,2
269,08/12/2020,126,82,3
270,09/12/2020,83,147,1
271,10/12/2020,88,103,1
272,11/12/2020,92,134,1
273,12/12/2020,70,92,1
274,13/12/2020,66,114,1
275,14/12/2020,76,127,1
276,15/12/2020,62,139,2
277,16/12/2020,67,75,0
278,17/12/2020,62,105,0
279,18/12/2020,74,122,1
280,19/12/2020,65,105,1
281,20/12/2020,29,84,2
282,21/12/2020,55,101,2
283,22/12/2020,56,79,2
284,23/12/2020,82,76,1
285,24/12/2020,43,50,1
286,25/12/2020,36,52,0
287,26/12/2020,78,68,1
288,27/12/2020,63,56,0
289,28/12/2020,65,46,1
290,29/12/2020,64,81,0
291,30/12/2020,67,30,0
292,31/12/2020,66,78,1
293,01/01/2021,51,64,1
294,02/01/2021,66,117,1
295,03/01/2021,16,54,1
296,04/01/2021,55,68,1
297,05/01/2021,90,116,1
298,06/01/2021,78,61,1
299,07/01/2021,43,57,2
300,08/01/2021,54,55,1
301,09/01/2021,50,59,1
302,10/01/2021,44,31,0
303,11/01/2021,47,29,0
304,12/01/2021,36,24,1
305,13/01/2021,37,14,1
306,14/01/2021,23,41,1
307,15/01/2021,26,33,0
308,16/01/2021,39,67,0
309,17/01/2021,34,43,0
310,18/01/2021,27,53,0
311,19/01/2021,31,49,0
312,20/01/2021,28,42,0
313,21/01/2021,16,40,1
314,22/01/2021,25,33,1
315,23/01/2021,22,31,1
316,24/01/2021,32,22,1
317,25/01/2021,61,54,0
318,26/01/2021,0,0,0
319,27/01/2021,40,37,0
320,28/01/2021,36,24,0
321,29/01/2021,27,26,0
322,30/01/2021,17,25,0
323,31/01/2021,26,12,0
324,01/02/2021,32,21,0
325,02/02/2021,22,15,1
326,03/02/2021,36,31,1
327,04/02/2021,21,19,1
328,05/02/2021,24,23,1
329,06/02/2021,0,0,0
330,07/02/2021,47,63,2
331,08/02/2021,26,25,1
332,09/02/2021,21,21,1
333,10/02/2021,17,26,1
334,11/02/2021,13,30,1
335,12/02/2021,19,17,0
336,13/02/2021,17,35,1
337,14/02/2021,18,13,1
338,15/02/2021,26,24,0
339,16/02/2021,29,24,1
340,17/02/2021,29,19,1
341,18/02/2021,30,22,0
342,19/02/2021,19,13,0
343,20/02/2021,26,12,1
344,21/02/2021,28,11,0
345,22/02/2021,38,18,1
346,23/02/2021,37,15,0
347,24/02/2021,41,17,1
348,25/02/2021,49,20,0
349,26/02/2021,69,26,0
350,27/02/2021,60,25,0
351,28/02/2021,51,26,1
352,01/03/2021,69,19,1
353,02/03/2021,67,24,1
354,03/03/2021,56,24,1
355,04/03/2021,78,36,0
356,05/03/2021,76,34,0
357,06/03/2021,122,34,0
358,07/03/2021,80,45,0
359,08/03/2021,79,63,1
360,09/03/2021,105,52,0
361,10/03/2021,87,48,1
362,11/03/2021,108,65,0
363,12/03/2021,135,58,0
364,13/03/2021,144,47,1
365,14/03/2021,120,64,0
366,15/03/2021,148,70,0
367,16/03/2021,147,113,1
368,17/03/2021,201,70,0
369,18/03/2021,211,75,0
370,19/03/2021,214,82,1
371,20/03/2021,203,82,1
372,21/03/2021,239,83,1
373,22/03/2021,208,100,1
374,23/03/2021,214,126,1
375,24/03/2021,249,136,1
376,25/03/2021,226,115,3
377,26/03/2021,248,138,4
378,27/03/2021,294,152,2
379,28/03/2021,296,192,3
380,29/03/2021,274,161,0
381,30/03/2021,265,178,2
382,31/03/2021,266,179,0
383,01/04/2021,257,223,1
384,02/04/2021,287,139,1
385,03/04/2021,310,245,1
386,04/04/2021,341,352,1
387,05/04/2021,285,372,1
388,06/04/2021,319,342,2
389,07/04/2021,399,313,2
390,08/04/2021,324,329,1
391,09/04/2021,422,320,4
392,10/04/2021,398,343,3
393,11/04/2021,402,357,3
394,12/04/2021,424,375,1
