,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,1,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,0,0,0
10,24/03/2020,0,0,0
11,25/03/2020,2,0,0
12,26/03/2020,3,0,0
13,27/03/2020,0,0,0
14,28/03/2020,1,0,0
15,29/03/2020,0,0,0
16,30/03/2020,1,0,0
17,31/03/2020,1,2,0
18,01/04/2020,0,0,0
19,02/04/2020,0,1,0
20,03/04/2020,0,0,0
21,04/04/2020,1,0,0
22,05/04/2020,0,5,0
23,06/04/2020,0,0,0
24,07/04/2020,0,1,0
25,08/04/2020,0,0,0
26,09/04/2020,8,0,0
27,10/04/2020,0,0,0
28,11/04/2020,7,0,0
29,12/04/2020,6,1,0
30,13/04/2020,0,0,0
31,14/04/2020,2,3,0
32,15/04/2020,0,4,0
33,16/04/2020,3,6,0
34,17/04/2020,0,1,0
35,18/04/2020,0,1,0
36,19/04/2020,0,0,0
37,20/04/2020,0,0,0
38,21/04/2020,0,0,0
39,22/04/2020,0,3,0
40,23/04/2020,0,2,0
41,24/04/2020,0,0,0
42,25/04/2020,1,2,0
43,26/04/2020,0,0,0
44,27/04/2020,0,0,0
45,28/04/2020,1,2,0
46,29/04/2020,0,0,0
47,30/04/2020,2,2,0
48,01/05/2020,3,0,0
49,02/05/2020,0,0,0
50,03/05/2020,14,0,0
51,04/05/2020,1,0,0
52,05/05/2020,1,0,0
53,06/05/2020,0,0,0
54,07/05/2020,0,0,0
55,08/05/2020,0,2,0
56,09/05/2020,0,5,0
57,10/05/2020,0,6,0
58,11/05/2020,0,4,0
59,12/05/2020,0,1,0
60,13/05/2020,0,1,0
61,14/05/2020,1,1,0
62,15/05/2020,6,0,0
63,16/05/2020,1,2,0
64,17/05/2020,18,1,0
65,18/05/2020,10,0,0
66,19/05/2020,5,0,0
67,20/05/2020,14,0,0
68,21/05/2020,14,0,0
69,22/05/2020,44,3,0
70,23/05/2020,42,2,0
71,24/05/2020,38,0,0
72,25/05/2020,40,3,0
73,26/05/2020,68,12,0
74,27/05/2020,4,4,0
75,28/05/2020,34,0,0
76,29/05/2020,17,17,1
77,30/05/2020,32,2,0
78,31/05/2020,51,12,0
79,01/06/2020,49,7,0
80,02/06/2020,15,9,1
81,03/06/2020,64,40,0
82,04/06/2020,147,36,0
83,05/06/2020,90,25,0
84,06/06/2020,60,28,2
85,07/06/2020,150,7,0
86,08/06/2020,124,69,0
87,09/06/2020,14,12,1
88,10/06/2020,51,4,1
89,11/06/2020,136,70,0
90,12/06/2020,47,123,0
91,13/06/2020,105,87,0
92,14/06/2020,121,88,3
93,15/06/2020,44,124,0
94,16/06/2020,69,91,0
95,17/06/2020,80,165,0
96,18/06/2020,82,103,0
97,19/06/2020,72,103,1
98,20/06/2020,116,63,1
99,21/06/2020,121,53,0
100,22/06/2020,47,66,1
101,23/06/2020,83,40,0
102,24/06/2020,34,74,0
103,25/06/2020,37,128,0
104,26/06/2020,89,156,1
105,27/06/2020,65,52,0
106,28/06/2020,84,125,0
107,29/06/2020,101,88,0
108,30/06/2020,63,100,0
109,01/07/2020,82,53,1
110,02/07/2020,73,59,0
111,03/07/2020,52,52,0
112,04/07/2020,96,112,0
113,05/07/2020,46,52,0
114,06/07/2020,98,66,0
115,07/07/2020,110,84,0
116,08/07/2020,111,107,0
117,09/07/2020,140,68,1
118,10/07/2020,166,125,2
119,11/07/2020,65,42,0
120,12/07/2020,184,83,2
121,13/07/2020,184,49,0
122,14/07/2020,114,73,1
123,15/07/2020,177,49,0
124,16/07/2020,198,127,1
125,17/07/2020,249,61,3
126,18/07/2020,243,146,0
127,19/07/2020,161,117,0
128,20/07/2020,191,169,4
129,21/07/2020,133,170,1
130,22/07/2020,268,116,0
131,23/07/2020,371,157,5
132,24/07/2020,449,180,2
133,25/07/2020,363,116,3
134,26/07/2020,431,261,4
135,27/07/2020,367,228,2
136,28/07/2020,306,267,1
137,29/07/2020,314,197,4
138,30/07/2020,256,285,1
139,31/07/2020,336,309,3
140,01/08/2020,235,380,1
141,02/08/2020,181,381,3
142,03/08/2020,212,265,3
143,04/08/2020,382,357,8
144,05/08/2020,295,258,2
145,06/08/2020,523,217,6
146,07/08/2020,388,231,10
147,08/08/2020,447,263,3
148,09/08/2020,293,227,6
149,10/08/2020,477,208,3
150,11/08/2020,360,222,5
151,12/08/2020,567,269,5
152,13/08/2020,478,150,8
153,14/08/2020,529,199,13
154,15/08/2020,486,189,4
155,16/08/2020,576,189,8
156,17/08/2020,404,363,8
157,18/08/2020,808,249,8
158,19/08/2020,752,338,6
159,20/08/2020,1052,554,8
160,21/08/2020,873,283,8
161,22/08/2020,704,372,10
162,23/08/2020,704,537,7
163,24/08/2020,1136,493,9
164,25/08/2020,1287,308,15
165,26/08/2020,1209,413,10
166,27/08/2020,1438,462,14
167,28/08/2020,1245,502,6
168,29/08/2020,1513,709,11
169,30/08/2020,1346,485,7
170,31/08/2020,1411,686,8
171,01/09/2020,1884,578,10
172,02/09/2020,2296,653,12
173,03/09/2020,2284,730,16
174,04/09/2020,2667,658,22
175,05/09/2020,2529,879,19
176,06/09/2020,2100,711,24
177,07/09/2020,2017,979,15
178,08/09/2020,2834,615,12
179,09/09/2020,2818,1146,70
180,10/09/2020,2748,1917,16
181,11/09/2020,2963,1268,25
182,12/09/2020,3120,855,21
183,13/09/2020,2228,3953,16
184,14/09/2020,3336,1178,18
185,15/09/2020,3450,1129,15
186,16/09/2020,3189,1647,23
187,17/09/2020,3809,5226,17
188,18/09/2020,3842,3281,17
189,19/09/2020,2617,1689,19
190,20/09/2020,1949,1572,13
191,21/09/2020,1998,1911,13
192,22/09/2020,2736,2437,28
193,23/09/2020,2434,4772,10
194,24/09/2020,2272,2060,24
195,25/09/2020,2942,8027,25
196,26/09/2020,3896,4095,40
197,27/09/2020,2272,1269,31
198,28/09/2020,3725,2313,29
199,29/09/2020,2197,3977,39
200,30/09/2020,2947,3204,41
201,01/10/2020,2551,2981,29
202,02/10/2020,2637,3396,16
203,03/10/2020,2610,2982,29
204,04/10/2020,1924,2654,14
205,05/10/2020,2681,3336,36
206,06/10/2020,2888,3484,23
207,07/10/2020,2846,3277,30
208,08/10/2020,2873,2199,24
209,09/10/2020,2958,2908,38
210,10/10/2020,2688,2719,39
211,11/10/2020,2114,2117,18
212,12/10/2020,2875,2769,33
213,13/10/2020,2619,2810,20
214,14/10/2020,2830,2198,33
215,15/10/2020,2819,2395,46
216,16/10/2020,2472,2926,40
217,17/10/2020,2515,3014,14
218,18/10/2020,1894,2285,39
219,19/10/2020,2376,3091,56
220,20/10/2020,2507,2727,50
221,21/10/2020,2360,2230,44
222,22/10/2020,2491,2996,52
223,23/10/2020,2450,3010,58
224,24/10/2020,2011,2677,55
225,25/10/2020,1368,1499,25
226,26/10/2020,1649,3256,43
227,27/10/2020,2046,2426,20
228,28/10/2020,1929,1400,55
229,29/10/2020,2005,1788,53
230,30/10/2020,1718,1650,49
231,31/10/2020,1964,2161,63
232,01/11/2020,1543,1458,49
233,02/11/2020,1700,1854,58
234,03/11/2020,1724,1810,58
235,04/11/2020,2262,1209,50
236,05/11/2020,1734,1350,44
237,06/11/2020,1758,1753,52
238,07/11/2020,1571,1359,22
239,08/11/2020,1375,2257,13
240,09/11/2020,1586,2709,17
241,10/11/2020,1679,2157,18
242,11/11/2020,1721,2195,25
243,12/11/2020,1817,1962,20
244,13/11/2020,1548,2370,18
245,14/11/2020,716,645,17
246,15/11/2020,530,702,16
247,16/11/2020,1110,1594,26
248,17/11/2020,1721,1718,19
249,18/11/2020,2048,1816,23
250,19/11/2020,2149,1472,26
251,20/11/2020,1842,1427,19
252,21/11/2020,2284,1420,22
253,22/11/2020,1748,995,19
254,23/11/2020,2061,1514,14
255,24/11/2020,1829,919,21
256,25/11/2020,1877,0,16
257,26/11/2020,1753,2454,18
258,27/11/2020,1879,3985,12
259,28/11/2020,1890,2734,17
260,29/11/2020,1273,1600,10
261,30/11/2020,1324,2309,21
262,01/12/2020,1893,2164,31
263,02/12/2020,1648,1205,27
264,03/12/2020,1555,1982,22
265,04/12/2020,1579,1513,15
266,05/12/2020,1583,1380,21
267,06/12/2020,1229,702,12
268,07/12/2020,1423,1861,21
269,08/12/2020,1467,1525,15
270,09/12/2020,1421,1146,13
271,10/12/2020,1518,1934,16
272,11/12/2020,1491,2477,14
273,12/12/2020,1632,1322,16
274,13/12/2020,1259,816,13
275,14/12/2020,1615,1735,19
276,15/12/2020,1605,2880,19
277,16/12/2020,1661,1820,10
278,17/12/2020,1584,1634,11
279,18/12/2020,1413,1325,7
280,19/12/2020,1368,1807,9
281,20/12/2020,953,1426,9
282,21/12/2020,1258,1738,18
283,22/12/2020,1380,1548,13
284,23/12/2020,1337,1566,15
285,24/12/2020,1232,1692,22
286,25/12/2020,853,1233,14
287,26/12/2020,1045,1764,12
288,27/12/2020,825,1134,18
289,28/12/2020,1188,1901,26
290,29/12/2020,1134,1607,17
291,30/12/2020,1069,1588,14
292,31/12/2020,1035,1518,21
293,01/01/2021,932,1019,4
294,02/01/2021,1147,1963,11
295,03/01/2021,714,1237,14
296,04/01/2021,1147,1349,12
297,05/01/2021,1021,1651,25
298,06/01/2021,1050,1042,10
299,07/01/2021,1010,1253,7
300,08/01/2021,960,759,15
301,09/01/2021,1014,770,15
302,10/01/2021,661,962,6
303,11/01/2021,853,1255,15
304,12/01/2021,729,1207,12
305,13/01/2021,671,930,10
306,14/01/2021,607,970,10
307,15/01/2021,521,1009,7
308,16/01/2021,566,615,7
309,17/01/2021,323,351,7
310,18/01/2021,471,1301,7
311,19/01/2021,383,436,10
312,20/01/2021,594,718,10
313,21/01/2021,560,711,8
314,22/01/2021,440,763,8
315,23/01/2021,377,637,8
316,24/01/2021,298,366,8
317,25/01/2021,484,539,13
318,26/01/2021,321,182,14
319,27/01/2021,439,944,3
320,28/01/2021,6451,6479,35
321,29/01/2021,370,455,7
322,30/01/2021,413,502,9
323,31/01/2021,265,195,3
324,01/02/2021,322,520,5
325,02/02/2021,330,276,5
326,03/02/2021,351,202,7
327,04/02/2021,373,387,6
328,05/02/2021,336,263,8
329,06/02/2021,260,297,3
330,07/02/2021,186,210,6
331,08/02/2021,265,362,3
332,09/02/2021,206,222,2
333,10/02/2021,222,312,9
334,11/02/2021,254,848,4
335,12/02/2021,229,410,7
336,13/02/2021,229,256,5
337,14/02/2021,169,165,1
338,15/02/2021,274,488,5
339,16/02/2021,250,378,6
340,17/02/2021,311,202,5
341,18/02/2021,276,278,2
342,19/02/2021,259,222,3
343,20/02/2021,263,198,2
344,21/02/2021,153,138,5
345,22/02/2021,274,382,6
346,23/02/2021,274,292,3
347,24/02/2021,247,309,4
348,25/02/2021,220,258,8
349,26/02/2021,279,310,7
350,27/02/2021,240,295,4
351,28/02/2021,141,132,3
352,01/03/2021,256,143,7
353,02/03/2021,216,258,2
354,03/03/2021,267,138,4
355,04/03/2021,235,203,3
356,05/03/2021,274,445,3
357,06/03/2021,290,384,1
358,07/03/2021,222,120,3
359,08/03/2021,320,220,1
360,09/03/2021,390,281,5
361,10/03/2021,456,126,8
362,11/03/2021,378,183,3
363,12/03/2021,447,402,5
364,13/03/2021,543,344,6
365,14/03/2021,475,235,4
366,15/03/2021,645,546,7
367,16/03/2021,856,281,12
368,17/03/2021,887,243,6
369,18/03/2021,1066,335,5
370,19/03/2021,1097,360,9
371,20/03/2021,1273,322,11
372,21/03/2021,1000,241,10
373,22/03/2021,1525,750,12
374,23/03/2021,1910,604,20
375,24/03/2021,2106,634,29
376,25/03/2021,2419,1020,15
