,Date,Confirmed,Recovered,Deceased
0,14/03/2020,7,1,1
1,15/03/2020,0,1,0
2,16/03/2020,0,0,0
3,17/03/2020,1,0,0
4,18/03/2020,2,0,0
5,19/03/2020,4,1,0
6,20/03/2020,6,2,0
7,21/03/2020,7,0,0
8,22/03/2020,0,0,0
9,23/03/2020,3,0,0
10,24/03/2020,0,1,0
11,25/03/2020,5,0,0
12,26/03/2020,1,0,0
13,27/03/2020,4,0,0
14,28/03/2020,9,0,0
15,29/03/2020,23,0,1
16,30/03/2020,25,0,0
17,31/03/2020,23,0,0
18,01/04/2020,32,0,0
19,02/04/2020,141,2,2
20,03/04/2020,93,0,2
21,04/04/2020,59,8,0
22,05/04/2020,58,0,1
23,06/04/2020,22,0,0
24,07/04/2020,51,4,2
25,08/04/2020,93,1,0
26,09/04/2020,51,4,3
27,10/04/2020,183,2,2
28,11/04/2020,166,0,5
29,12/04/2020,85,1,5
30,13/04/2020,356,3,4
31,14/04/2020,51,0,2
32,15/04/2020,17,10,2
33,16/04/2020,62,11,6
34,17/04/2020,67,20,4
35,18/04/2020,186,135,1
36,19/04/2020,110,83,2
37,20/04/2020,78,141,2
38,21/04/2020,75,180,0
39,22/04/2020,92,113,1
40,23/04/2020,128,84,2
41,24/04/2020,138,49,3
42,25/04/2020,111,12,1
43,26/04/2020,293,8,0
44,27/04/2020,190,0,0
45,28/04/2020,206,201,0
46,29/04/2020,125,14,2
47,30/04/2020,76,2,3
48,01/05/2020,223,73,2
49,02/05/2020,384,89,3
50,03/05/2020,427,106,0
51,04/05/2020,349,69,0
52,05/05/2020,206,37,0
53,06/05/2020,428,74,1
54,07/05/2020,448,389,1
55,08/05/2020,338,89,2
56,09/05/2020,224,0,0
57,10/05/2020,381,49,5
58,11/05/2020,310,60,0
59,12/05/2020,406,383,13
60,13/05/2020,359,346,20
61,14/05/2020,472,187,9
62,15/05/2020,425,473,8
63,16/05/2020,438,408,6
64,17/05/2020,422,276,19
65,18/05/2020,299,283,12
66,19/05/2020,500,265,6
67,20/05/2020,534,442,10
68,21/05/2020,571,375,18
69,22/05/2020,660,330,14
70,23/05/2020,591,370,23
71,24/05/2020,508,273,30
72,25/05/2020,635,231,15
73,26/05/2020,412,183,12
74,27/05/2020,792,310,15
75,28/05/2020,1024,231,13
76,29/05/2020,1105,351,82
77,30/05/2020,1163,229,18
78,31/05/2020,1295,403,57
79,01/06/2020,990,268,50
80,02/06/2020,1298,497,33
81,03/06/2020,1513,299,59
82,04/06/2020,1359,356,44
83,05/06/2020,1330,417,49
84,06/06/2020,1320,349,53
85,07/06/2020,1282,335,51
86,08/06/2020,1007,358,62
87,09/06/2020,1366,504,31
88,10/06/2020,1501,384,79
89,11/06/2020,1877,486,101
90,12/06/2020,2137,667,129
91,13/06/2020,2134,1547,57
92,14/06/2020,2224,878,56
93,15/06/2020,1647,604,73
94,16/06/2020,1859,73,437
95,17/06/2020,2414,957,67
96,18/06/2020,2877,3884,65
97,19/06/2020,3137,2228,66
98,20/06/2020,3630,7725,77
99,21/06/2020,3000,1719,63
100,22/06/2020,2909,3589,58
101,23/06/2020,3947,2711,68
102,24/06/2020,3788,2124,64
103,25/06/2020,3390,3328,64
104,26/06/2020,3460,2326,63
105,27/06/2020,2948,2210,66
106,28/06/2020,2889,3306,65
107,29/06/2020,2084,3628,57
108,30/06/2020,2199,2113,62
109,01/07/2020,2442,1644,61
110,02/07/2020,2373,3015,61
111,03/07/2020,2520,2617,59
112,04/07/2020,2505,2632,81
113,05/07/2020,2244,3083,63
114,06/07/2020,1379,749,48
115,07/07/2020,2008,2129,50
116,08/07/2020,2033,3982,48
117,09/07/2020,2187,4027,45
118,10/07/2020,2089,2468,42
119,11/07/2020,1781,2998,34
120,12/07/2020,1573,2276,37
121,13/07/2020,1246,1344,40
122,14/07/2020,1606,1924,35
