,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,0,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,0,0,0
10,24/03/2020,0,0,0
11,25/03/2020,3,0,0
12,26/03/2020,0,0,0
13,27/03/2020,0,0,0
14,28/03/2020,0,0,0
15,29/03/2020,2,0,0
16,30/03/2020,0,0,0
17,31/03/2020,0,0,0
18,01/04/2020,0,0,0
19,02/04/2020,0,0,0
20,03/04/2020,1,0,0
21,04/04/2020,1,0,0
22,05/04/2020,0,0,0
23,06/04/2020,0,0,0
24,07/04/2020,0,0,0
25,08/04/2020,0,0,0
26,09/04/2020,0,0,0
27,10/04/2020,0,1,0
28,11/04/2020,0,4,0
29,12/04/2020,0,0,0
30,13/04/2020,0,0,0
31,14/04/2020,0,0,0
32,15/04/2020,0,1,0
33,16/04/2020,0,0,0
34,17/04/2020,0,0,0
35,18/04/2020,0,0,0
36,19/04/2020,0,1,0
37,20/04/2020,0,0,0
38,21/04/2020,0,0,0
39,22/04/2020,0,0,0
40,23/04/2020,0,0,0
41,24/04/2020,0,0,0
42,25/04/2020,0,0,0
43,26/04/2020,0,0,0
44,27/04/2020,0,0,0
45,28/04/2020,0,0,0
46,29/04/2020,0,0,0
47,30/04/2020,0,0,0
48,01/05/2020,0,0,0
49,02/05/2020,0,0,0
50,03/05/2020,0,0,0
51,04/05/2020,0,0,0
52,05/05/2020,0,0,0
53,06/05/2020,0,0,0
54,07/05/2020,0,0,0
55,08/05/2020,0,0,0
56,09/05/2020,0,0,0
57,10/05/2020,0,0,0
58,11/05/2020,0,0,0
59,12/05/2020,0,0,0
60,13/05/2020,0,0,0
61,14/05/2020,8,0,0
62,15/05/2020,0,0,0
63,16/05/2020,5,0,0
64,17/05/2020,9,0,0
65,18/05/2020,9,0,0
66,19/05/2020,8,0,0
67,20/05/2020,4,0,0
68,21/05/2020,2,0,0
69,22/05/2020,2,9,0
70,23/05/2020,1,0,0
71,24/05/2020,11,0,0
72,25/05/2020,1,3,0
73,26/05/2020,0,9,0
74,27/05/2020,1,9,0
75,28/05/2020,1,1,0
76,29/05/2020,0,3,0
77,30/05/2020,1,1,0
78,31/05/2020,1,2,0
79,01/06/2020,2,6,0
80,02/06/2020,6,7,0
81,03/06/2020,47,0,0
82,04/06/2020,40,0,0
83,05/06/2020,30,8,0
84,06/06/2020,71,0,0
85,07/06/2020,33,0,0
86,08/06/2020,30,2,0
87,09/06/2020,29,0,0
88,10/06/2020,28,0,0
89,11/06/2020,30,0,0
90,12/06/2020,46,2,0
91,13/06/2020,60,1,0
92,14/06/2020,41,4,0
93,15/06/2020,28,11,0
94,16/06/2020,37,0,0
95,17/06/2020,27,11,0
96,18/06/2020,49,13,0
97,19/06/2020,20,9,0
98,20/06/2020,29,11,0
99,21/06/2020,64,6,0
100,22/06/2020,46,17,1
101,23/06/2020,45,53,1
102,24/06/2020,42,84,0
103,25/06/2020,44,46,0
104,26/06/2020,44,35,0
105,27/06/2020,89,50,0
106,28/06/2020,70,58,1
107,29/06/2020,53,46,0
108,30/06/2020,64,72,0
109,01/07/2020,72,74,1
110,02/07/2020,95,64,0
111,03/07/2020,94,38,0
112,04/07/2020,108,53,2
113,05/07/2020,77,111,1
114,06/07/2020,52,125,0
115,07/07/2020,90,95,1
116,08/07/2020,136,51,0
117,09/07/2020,112,66,1
118,10/07/2020,100,74,0
119,11/07/2020,117,81,3
120,12/07/2020,85,59,2
121,13/07/2020,130,53,3
122,14/07/2020,170,67,1
123,15/07/2020,198,67,0
124,16/07/2020,157,143,1
125,17/07/2020,196,129,2
126,18/07/2020,180,92,0
127,19/07/2020,173,180,1
128,20/07/2020,196,143,1
129,21/07/2020,174,88,3
130,22/07/2020,149,92,2
131,23/07/2020,174,114,1
132,24/07/2020,190,210,0
133,25/07/2020,146,182,4
134,26/07/2020,175,230,2
135,27/07/2020,258,133,1
136,28/07/2020,168,185,0
137,29/07/2020,202,189,3
138,30/07/2020,215,221,3
139,31/07/2020,209,206,3
140,01/08/2020,280,227,3
141,02/08/2020,337,230,5
142,03/08/2020,286,208,3
143,04/08/2020,259,238,4
144,05/08/2020,348,173,4
145,06/08/2020,191,166,2
146,07/08/2020,333,142,4
147,08/08/2020,259,207,2
148,09/08/2020,506,193,3
149,10/08/2020,317,213,5
150,11/08/2020,415,272,6
151,12/08/2020,480,161,3
152,13/08/2020,570,271,2
153,14/08/2020,476,245,2
154,15/08/2020,369,331,5
155,16/08/2020,300,287,6
156,17/08/2020,355,283,7
157,18/08/2020,339,298,5
158,19/08/2020,342,357,8
159,20/08/2020,424,350,2
160,21/08/2020,385,477,9
161,22/08/2020,306,479,5
162,23/08/2020,209,453,4
163,24/08/2020,139,437,4
164,25/08/2020,392,315,9
165,26/08/2020,497,287,8
166,27/08/2020,456,356,6
167,28/08/2020,523,429,4
168,29/08/2020,547,433,3
169,30/08/2020,451,457,5
170,31/08/2020,414,391,9
171,01/09/2020,588,273,2
172,02/09/2020,636,209,10
173,03/09/2020,713,302,8
174,04/09/2020,508,386,8
175,05/09/2020,592,534,9
176,06/09/2020,374,558,7
177,07/09/2020,344,588,9
178,08/09/2020,457,448,11
179,09/09/2020,621,281,6
180,10/09/2020,639,436,6
181,11/09/2020,555,473,8
182,12/09/2020,740,511,10
183,13/09/2020,407,553,4
184,14/09/2020,306,519,14
185,15/09/2020,613,446,11
186,16/09/2020,628,351,4
187,17/09/2020,644,399,8
188,18/09/2020,596,470,8
189,19/09/2020,643,446,7
190,20/09/2020,407,537,9
191,21/09/2020,324,429,9
192,22/09/2020,590,736,8
193,23/09/2020,536,395,8
194,24/09/2020,673,490,7
195,25/09/2020,519,724,3
196,26/09/2020,503,688,5
197,27/09/2020,384,701,10
198,28/09/2020,438,612,6
199,29/09/2020,381,709,12
200,30/09/2020,641,344,9
201,01/10/2020,524,400,12
202,02/10/2020,513,479,2
203,03/10/2020,445,523,8
204,04/10/2020,428,506,6
205,05/10/2020,391,423,4
206,06/10/2020,519,594,8
207,07/10/2020,432,394,9
208,08/10/2020,432,458,7
209,09/10/2020,489,415,7
210,10/10/2020,343,460,8
211,11/10/2020,432,426,8
212,12/10/2020,308,495,4
213,13/10/2020,408,554,3
214,14/10/2020,356,479,5
215,15/10/2020,332,430,6
216,16/10/2020,321,449,6
217,17/10/2020,309,425,7
218,18/10/2020,187,360,6
219,19/10/2020,159,519,5
220,20/10/2020,285,361,6
221,21/10/2020,308,408,2
222,22/10/2020,247,348,7
223,23/10/2020,227,390,4
224,24/10/2020,218,348,2
225,25/10/2020,211,321,6
226,26/10/2020,290,343,6
227,27/10/2020,215,345,3
228,28/10/2020,221,196,7
229,29/10/2020,233,194,5
230,30/10/2020,215,241,5
231,31/10/2020,210,269,2
232,01/11/2020,142,237,5
233,02/11/2020,186,208,7
234,03/11/2020,235,239,2
235,04/11/2020,183,249,8
236,05/11/2020,172,238,4
237,06/11/2020,203,207,3
238,07/11/2020,169,183,8
239,08/11/2020,149,207,2
240,09/11/2020,144,232,4
241,10/11/2020,180,199,4
242,11/11/2020,109,152,5
243,12/11/2020,107,192,0
244,13/11/2020,156,167,2
245,14/11/2020,84,145,1
246,15/11/2020,58,123,3
247,16/11/2020,125,285,1
248,17/11/2020,154,191,4
249,18/11/2020,162,178,3
250,19/11/2020,136,157,0
251,20/11/2020,152,198,2
252,21/11/2020,116,147,3
253,22/11/2020,78,167,2
254,23/11/2020,75,104,0
255,24/11/2020,167,85,2
256,25/11/2020,125,61,4
257,26/11/2020,148,111,2
258,27/11/2020,150,152,1
259,28/11/2020,198,163,0
260,29/11/2020,115,135,1
261,30/11/2020,159,150,1
262,01/12/2020,161,128,2
263,02/12/2020,117,64,3
264,03/12/2020,124,119,3
265,04/12/2020,94,124,0
266,05/12/2020,115,118,1
267,06/12/2020,112,131,1
268,07/12/2020,90,154,3
269,08/12/2020,159,146,0
270,09/12/2020,101,132,2
271,10/12/2020,95,159,0
272,11/12/2020,104,130,0
273,12/12/2020,70,144,2
274,13/12/2020,57,101,1
275,14/12/2020,112,147,1
276,15/12/2020,92,124,3
277,16/12/2020,91,104,3
278,17/12/2020,88,89,3
279,18/12/2020,104,116,2
280,19/12/2020,127,110,0
281,20/12/2020,88,91,3
282,21/12/2020,79,108,2
283,22/12/2020,96,88,2
284,23/12/2020,125,70,2
285,24/12/2020,90,88,1
286,25/12/2020,80,101,0
287,26/12/2020,61,87,3
288,27/12/2020,72,79,0
289,28/12/2020,105,91,3
290,29/12/2020,112,116,1
291,30/12/2020,97,114,2
292,31/12/2020,85,75,2
293,01/01/2021,69,78,0
294,02/01/2021,95,104,0
295,03/01/2021,65,83,2
296,04/01/2021,40,88,2
297,05/01/2021,80,70,1
298,06/01/2021,92,82,0
299,07/01/2021,119,90,0
300,08/01/2021,83,105,0
301,09/01/2021,81,89,2
302,10/01/2021,66,100,1
303,11/01/2021,35,66,2
304,12/01/2021,92,94,0
305,13/01/2021,96,78,1
306,14/01/2021,103,67,2
307,15/01/2021,80,61,1
308,16/01/2021,83,69,3
309,17/01/2021,60,59,0
310,18/01/2021,53,66,0
311,19/01/2021,112,115,0
312,20/01/2021,87,84,0
313,21/01/2021,55,54,1
314,22/01/2021,70,80,1
315,23/01/2021,85,63,3
316,24/01/2021,53,102,0
317,25/01/2021,57,113,1
318,26/01/2021,70,62,1
319,27/01/2021,53,90,0
320,28/01/2021,85,52,2
321,29/01/2021,78,103,1
322,30/01/2021,93,76,0
323,31/01/2021,53,60,2
324,01/02/2021,60,86,0
325,02/02/2021,106,62,0
326,03/02/2021,63,70,0
327,04/02/2021,79,56,2
328,05/02/2021,56,78,0
329,06/02/2021,65,56,0
330,07/02/2021,42,48,2
331,08/02/2021,57,85,0
332,09/02/2021,59,98,2
333,10/02/2021,72,64,2
334,11/02/2021,45,59,0
335,12/02/2021,39,127,1
336,13/02/2021,41,51,1
337,14/02/2021,42,79,1
338,15/02/2021,40,59,2
339,16/02/2021,48,66,3
340,17/02/2021,46,39,2
341,18/02/2021,52,51,0
342,19/02/2021,45,56,1
343,20/02/2021,57,62,0
344,21/02/2021,39,44,0
345,22/02/2021,29,53,0
346,23/02/2021,57,41,1
347,24/02/2021,52,35,1
348,25/02/2021,71,33,2
349,26/02/2021,100,41,3
350,27/02/2021,61,50,0
351,28/02/2021,54,45,1
352,01/03/2021,40,62,1
353,02/03/2021,47,48,0
354,03/03/2021,70,42,0
355,04/03/2021,69,38,2
356,05/03/2021,79,42,1
357,06/03/2021,70,45,0
358,07/03/2021,48,60,0
359,08/03/2021,54,110,0
360,09/03/2021,75,41,3
361,10/03/2021,69,57,0
362,11/03/2021,69,39,1
363,12/03/2021,82,40,1
364,13/03/2021,93,70,1
365,14/03/2021,66,83,1
366,15/03/2021,89,62,1
367,16/03/2021,94,73,4
368,17/03/2021,73,59,1
369,18/03/2021,98,41,1
370,19/03/2021,100,60,2
371,20/03/2021,154,56,0
372,21/03/2021,98,79,3
373,22/03/2021,85,81,0
374,23/03/2021,133,58,3
375,24/03/2021,140,73,0
376,25/03/2021,189,66,1
377,26/03/2021,113,111,1
378,27/03/2021,170,69,1
379,28/03/2021,131,104,2
380,29/03/2021,128,101,2
381,30/03/2021,127,136,1
382,31/03/2021,200,62,1
383,01/04/2021,265,104,1
384,02/04/2021,280,81,1
385,03/04/2021,219,151,2
386,04/04/2021,265,167,1
387,05/04/2021,247,142,2
388,06/04/2021,387,95,1
389,07/04/2021,527,138,2
390,08/04/2021,582,107,2
391,09/04/2021,428,159,3
392,10/04/2021,540,167,1
393,11/04/2021,525,170,2
394,12/04/2021,476,231,2
