,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,2,0,0
6,20/03/2020,5,0,0
7,21/03/2020,7,0,0
8,22/03/2020,4,0,1
9,23/03/2020,12,0,0
10,24/03/2020,4,0,0
11,25/03/2020,4,0,0
12,26/03/2020,5,0,2
13,27/03/2020,4,0,0
14,28/03/2020,8,0,1
15,29/03/2020,8,1,1
16,30/03/2020,7,2,1
17,31/03/2020,4,2,0
18,01/04/2020,13,0,0
19,02/04/2020,1,5,1
20,03/04/2020,7,0,2
21,04/04/2020,13,3,1
22,05/04/2020,20,8,1
23,06/04/2020,18,1,1
24,07/04/2020,29,3,2
25,08/04/2020,11,0,2
26,09/04/2020,76,1,2
27,10/04/2020,116,7,1
28,11/04/2020,90,11,3
29,12/04/2020,48,0,2
30,13/04/2020,56,10,2
31,14/04/2020,78,5,2
32,15/04/2020,116,5,5
33,16/04/2020,163,9,3
34,17/04/2020,170,13,5
35,18/04/2020,277,7,12
36,19/04/2020,367,12,10
37,20/04/2020,196,26,8
38,21/04/2020,239,8,19
39,22/04/2020,229,40,13
40,23/04/2020,217,79,9
41,24/04/2020,191,7,15
42,25/04/2020,256,17,6
43,26/04/2020,230,31,18
44,27/04/2020,247,81,11
45,28/04/2020,226,40,19
46,29/04/2020,308,93,16
47,30/04/2020,313,86,17
48,01/05/2020,326,123,22
49,02/05/2020,333,160,26
50,03/05/2020,374,146,28
51,04/05/2020,376,153,29
52,05/05/2020,441,186,49
53,06/05/2020,380,119,28
54,07/05/2020,388,209,29
55,08/05/2020,390,163,24
56,09/05/2020,394,219,23
57,10/05/2020,398,454,21
58,11/05/2020,347,235,20
59,12/05/2020,362,466,24
60,13/05/2020,364,316,29
61,14/05/2020,324,191,20
62,15/05/2020,340,282,20
63,16/05/2020,1057,273,19
64,17/05/2020,391,191,34
65,18/05/2020,366,305,35
66,19/05/2020,395,239,25
67,20/05/2020,398,176,30
68,21/05/2020,371,269,24
69,22/05/2020,363,392,29
70,23/05/2020,396,289,27
71,24/05/2020,394,243,29
72,25/05/2020,405,224,30
73,26/05/2020,361,501,27
74,27/05/2020,376,410,23
75,28/05/2020,367,454,22
76,29/05/2020,372,608,20
77,30/05/2020,412,621,27
78,31/05/2020,438,689,31
79,01/06/2020,423,861,25
80,02/06/2020,415,1114,29
81,03/06/2020,485,318,30
82,04/06/2020,492,455,33
83,05/06/2020,510,344,35
84,06/06/2020,498,313,29
85,07/06/2020,480,319,30
86,08/06/2020,477,321,31
87,09/06/2020,470,409,33
88,10/06/2020,510,370,34
89,11/06/2020,513,366,38
90,12/06/2020,495,392,31
91,13/06/2020,517,390,33
92,14/06/2020,511,442,29
93,15/06/2020,514,339,28
94,16/06/2020,524,418,28
95,17/06/2020,520,348,27
96,18/06/2020,510,389,31
97,19/06/2020,540,340,27
98,20/06/2020,539,535,20
99,21/06/2020,580,655,25
100,22/06/2020,563,560,21
101,23/06/2020,549,604,26
102,24/06/2020,572,575,25
103,25/06/2020,577,410,18
104,26/06/2020,580,532,18
105,27/06/2020,615,379,18
106,28/06/2020,624,391,19
107,29/06/2020,626,440,19
108,30/06/2020,620,422,20
109,01/07/2020,675,368,21
110,02/07/2020,681,563,19
111,03/07/2020,687,340,18
112,04/07/2020,712,473,21
113,05/07/2020,725,486,18
114,06/07/2020,735,423,17
115,07/07/2020,778,421,17
116,08/07/2020,783,569,16
117,09/07/2020,861,429,15
118,10/07/2020,875,441,14
119,11/07/2020,872,502,10
120,12/07/2020,879,513,13
121,13/07/2020,902,608,10
122,14/07/2020,915,749,14
123,15/07/2020,925,791,10
124,16/07/2020,919,828,10
125,17/07/2020,949,770,17
126,18/07/2020,960,1062,19
127,19/07/2020,965,877,20
128,20/07/2020,998,777,20
129,21/07/2020,1026,744,34
130,22/07/2020,1020,837,28
131,23/07/2020,1078,718,28
132,24/07/2020,1068,872,26
133,25/07/2020,1081,782,22
134,26/07/2020,1110,753,21
135,27/07/2020,1052,1015,22
136,28/07/2020,1108,1032,24
137,29/07/2020,1144,783,24
138,30/07/2020,1159,879,22
139,31/07/2020,1153,833,22
140,01/08/2020,1136,875,24
141,02/08/2020,1101,805,22
142,03/08/2020,1009,974,22
143,04/08/2020,1020,898,25
144,05/08/2020,1073,1046,23
145,06/08/2020,1034,917,27
146,07/08/2020,1074,1370,22
147,08/08/2020,1101,1135,23
148,09/08/2020,1078,1311,25
149,10/08/2020,1056,1138,20
150,11/08/2020,1118,1140,23
151,12/08/2020,1152,977,18
152,13/08/2020,1092,1046,18
153,14/08/2020,1087,1083,15
154,15/08/2020,1094,1015,19
155,16/08/2020,1120,959,20
156,17/08/2020,1033,1083,15
157,18/08/2020,1126,1131,20
158,19/08/2020,1145,1120,17
159,20/08/2020,1175,1123,16
160,21/08/2020,1204,1324,14
161,22/08/2020,1212,980,14
162,23/08/2020,1101,972,14
163,24/08/2020,1067,1021,13
164,25/08/2020,1096,1011,20
165,26/08/2020,1197,1047,17
166,27/08/2020,1190,1193,17
167,28/08/2020,1272,1050,14
168,29/08/2020,1282,1111,13
169,30/08/2020,1272,1095,17
170,31/08/2020,1280,1025,14
171,01/09/2020,1310,1131,14
172,02/09/2020,1305,1141,12
173,03/09/2020,1325,1126,16
174,04/09/2020,1320,1218,14
175,05/09/2020,1311,1148,16
176,06/09/2020,1335,1212,14
177,07/09/2020,1330,1276,15
178,08/09/2020,1295,1445,13
179,09/09/2020,1329,1336,16
180,10/09/2020,1332,1415,15
181,11/09/2020,1344,1240,16
182,12/09/2020,1365,1335,15
183,13/09/2020,1326,1205,15
184,14/09/2020,1334,1255,17
185,15/09/2020,1349,1444,17
186,16/09/2020,1364,1447,12
187,17/09/2020,1379,1652,14
188,18/09/2020,1410,1293,16
189,19/09/2020,1432,1470,16
190,20/09/2020,1407,1204,17
191,21/09/2020,1430,1316,17
192,22/09/2020,1402,1321,16
193,23/09/2020,1372,1289,15
194,24/09/2020,1408,1510,14
195,25/09/2020,1442,1279,12
196,26/09/2020,1417,1419,13
197,27/09/2020,1411,1231,10
198,28/09/2020,1404,1336,12
199,29/09/2020,1381,1383,11
200,30/09/2020,1390,1372,11
201,01/10/2020,1350,1334,10
202,02/10/2020,1310,1250,15
203,03/10/2020,1343,1304,12
204,04/10/2020,1302,1246,9
205,05/10/2020,1327,1405,13
206,06/10/2020,1335,1473,10
207,07/10/2020,1311,1414,9
208,08/10/2020,1278,1266,10
209,09/10/2020,1243,1518,9
210,10/10/2020,1221,1456,10
211,11/10/2020,1181,1413,9
212,12/10/2020,1169,1442,8
213,13/10/2020,1158,1375,10
214,14/10/2020,1175,1414,11
215,15/10/2020,1185,1329,11
216,16/10/2020,1191,1279,11
217,17/10/2020,1161,1270,9
218,18/10/2020,1091,1233,9
219,19/10/2020,996,1147,8
220,20/10/2020,1126,1128,8
221,21/10/2020,1137,1180,9
222,22/10/2020,1136,1201,7
223,23/10/2020,1112,1264,6
224,24/10/2020,1021,1013,6
225,25/10/2020,919,963,7
226,26/10/2020,908,1102,4
227,27/10/2020,992,1238,5
228,28/10/2020,980,1107,6
229,29/10/2020,987,1083,4
230,30/10/2020,969,1027,6
231,31/10/2020,935,1014,5
232,01/11/2020,860,1128,5
233,02/11/2020,875,1004,4
234,03/11/2020,954,1197,6
235,04/11/2020,975,1022,6
236,05/11/2020,990,1055,7
237,06/11/2020,1035,1321,4
238,07/11/2020,1046,931,5
239,08/11/2020,1020,819,7
240,09/11/2020,971,993,5
241,10/11/2020,1049,879,5
242,11/11/2020,1125,1352,6
243,12/11/2020,1120,1038,6
244,13/11/2020,1152,1078,6
245,14/11/2020,1124,995,6
246,15/11/2020,1070,1001,6
247,16/11/2020,926,1040,5
248,17/11/2020,1125,1116,7
249,18/11/2020,1281,1274,8
250,19/11/2020,1340,1113,7
251,20/11/2020,1420,1040,7
252,21/11/2020,1515,1271,9
253,22/11/2020,1495,1167,13
254,23/11/2020,1487,1234,17
255,24/11/2020,1510,1286,16
256,25/11/2020,1540,1283,14
257,26/11/2020,1560,1302,16
258,27/11/2020,1607,1388,16
259,28/11/2020,1598,1523,15
260,29/11/2020,1564,1451,16
261,30/11/2020,1502,1401,20
262,01/12/2020,1477,1547,15
263,02/12/2020,1512,1570,14
264,03/12/2020,1540,1427,13
265,04/12/2020,1510,1627,18
266,05/12/2020,1514,1535,15
267,06/12/2020,1455,1485,17
268,07/12/2020,1380,1568,14
269,08/12/2020,1325,1531,15
270,09/12/2020,1318,1550,13
271,10/12/2020,1270,1465,12
272,11/12/2020,1223,1403,13
273,12/12/2020,1204,1338,12
274,13/12/2020,1175,1347,11
275,14/12/2020,1120,1389,11
276,15/12/2020,1110,1236,11
277,16/12/2020,1160,1384,10
278,17/12/2020,1115,1305,8
279,18/12/2020,1075,1155,9
280,19/12/2020,1026,1252,7
281,20/12/2020,1010,1190,7
282,21/12/2020,960,1268,7
283,22/12/2020,988,1209,7
284,23/12/2020,958,1309,6
285,24/12/2020,990,1181,8
286,25/12/2020,910,1114,6
287,26/12/2020,890,1002,7
288,27/12/2020,850,920,7
289,28/12/2020,810,1016,6
290,29/12/2020,804,999,7
291,30/12/2020,799,834,7
292,31/12/2020,780,916,4
293,01/01/2021,734,907,3
294,02/01/2021,741,922,5
295,03/01/2021,715,938,4
296,04/01/2021,698,898,3
297,05/01/2021,655,868,4
298,06/01/2021,665,897,4
299,07/01/2021,667,899,3
300,08/01/2021,685,892,3
301,09/01/2021,675,851,5
302,10/01/2021,671,806,4
303,11/01/2021,615,746,3
304,12/01/2021,602,855,3
305,13/01/2021,583,792,4
306,14/01/2021,570,737,3
307,15/01/2021,535,738,3
308,16/01/2021,505,764,3
309,17/01/2021,518,704,2
310,18/01/2021,495,700,2
311,19/01/2021,485,709,2
312,20/01/2021,490,707,2
313,21/01/2021,471,727,1
314,22/01/2021,451,700,2
315,23/01/2021,423,702,1
316,24/01/2021,410,704,1
317,25/01/2021,390,707,3
318,26/01/2021,380,637,2
319,27/01/2021,353,462,1
320,28/01/2021,346,602,2
321,29/01/2021,335,463,1
322,30/01/2021,323,441,2
323,31/01/2021,316,335,0
324,01/02/2021,298,406,1
325,02/02/2021,285,422,1
326,03/02/2021,283,528,2
327,04/02/2021,275,330,1
328,05/02/2021,267,425,1
329,06/02/2021,252,401,1
330,07/02/2021,244,355,1
331,08/02/2021,232,450,1
332,09/02/2021,234,353,1
333,10/02/2021,255,495,0
334,11/02/2021,285,302,2
335,12/02/2021,268,281,1
336,13/02/2021,279,283,0
337,14/02/2021,247,270,1
338,15/02/2021,249,280,0
339,16/02/2021,263,271,1
340,17/02/2021,278,273,1
341,18/02/2021,263,270,0
342,19/02/2021,266,277,1
343,20/02/2021,258,270,0
344,21/02/2021,283,264,1
345,22/02/2021,315,272,1
346,23/02/2021,348,294,0
347,24/02/2021,380,296,1
348,25/02/2021,424,301,1
349,26/02/2021,460,315,0
350,27/02/2021,451,328,1
351,28/02/2021,407,301,1
352,01/03/2021,427,360,1
353,02/03/2021,454,361,0
354,03/03/2021,475,358,1
355,04/03/2021,480,369,0
356,05/03/2021,515,405,1
357,06/03/2021,571,403,1
358,07/03/2021,575,459,1
359,08/03/2021,555,482,1
360,09/03/2021,581,453,2
361,10/03/2021,675,484,0
362,11/03/2021,710,451,0
363,12/03/2021,715,495,2
364,13/03/2021,775,579,2
365,14/03/2021,810,586,2
366,15/03/2021,890,594,1
367,16/03/2021,954,703,2
368,17/03/2021,1122,775,3
369,18/03/2021,1276,899,3
370,19/03/2021,1415,948,4
371,20/03/2021,1565,969,6
372,21/03/2021,1580,989,7
373,22/03/2021,1640,1110,4
374,23/03/2021,1730,1255,4
