,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,0,0,0
6,20/03/2020,2,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,1,0,1
10,24/03/2020,0,0,0
11,25/03/2020,0,0,0
12,26/03/2020,0,0,0
13,27/03/2020,0,1,0
14,28/03/2020,0,1,0
15,29/03/2020,0,0,0
16,30/03/2020,0,0,0
17,31/03/2020,0,0,0
18,01/04/2020,0,0,0
19,02/04/2020,3,0,0
20,03/04/2020,0,0,1
21,04/04/2020,7,0,0
22,05/04/2020,1,0,0
23,06/04/2020,4,0,0
24,07/04/2020,9,1,0
25,08/04/2020,0,0,0
26,09/04/2020,1,0,0
27,10/04/2020,0,0,0
28,11/04/2020,4,6,0
29,12/04/2020,0,4,0
30,13/04/2020,0,0,0
31,14/04/2020,1,1,0
32,15/04/2020,2,0,0
33,16/04/2020,0,3,0
34,17/04/2020,3,0,0
35,18/04/2020,1,0,0
36,19/04/2020,0,0,0
37,20/04/2020,0,0,0
38,21/04/2020,0,0,0
39,22/04/2020,0,0,0
40,23/04/2020,1,2,0
41,24/04/2020,0,0,0
42,25/04/2020,0,4,0
43,26/04/2020,0,0,0
44,27/04/2020,0,3,0
45,28/04/2020,0,0,0
46,29/04/2020,0,0,0
47,30/04/2020,0,3,0
48,01/05/2020,0,2,0
49,02/05/2020,0,3,0
50,03/05/2020,0,1,0
51,04/05/2020,1,0,0
52,05/05/2020,1,0,1
53,06/05/2020,1,0,0
54,07/05/2020,3,0,0
55,08/05/2020,4,0,0
56,09/05/2020,2,1,0
57,10/05/2020,6,0,0
58,11/05/2020,1,0,0
59,12/05/2020,8,0,0
60,13/05/2020,1,0,0
61,14/05/2020,6,0,0
62,15/05/2020,2,0,0
63,16/05/2020,2,4,0
64,17/05/2020,2,1,0
65,18/05/2020,10,2,0
66,19/05/2020,2,5,1
67,20/05/2020,18,3,0
68,21/05/2020,42,5,0
69,22/05/2020,16,0,0
70,23/05/2020,17,2,0
71,24/05/2020,18,2,0
72,25/05/2020,20,4,0
73,26/05/2020,24,0,0
74,27/05/2020,26,3,2
75,28/05/2020,8,7,0
76,29/05/2020,14,10,0
77,30/05/2020,18,24,0
78,31/05/2020,18,9,0
79,01/06/2020,9,2,0
80,02/06/2020,5,18,0
81,03/06/2020,14,10,0
82,04/06/2020,24,29,0
83,05/06/2020,10,10,0
84,06/06/2020,7,5,0
85,07/06/2020,11,28,0
86,08/06/2020,10,5,0
87,09/06/2020,16,14,0
88,10/06/2020,14,13,1
89,11/06/2020,19,26,0
90,12/06/2020,16,17,0
91,13/06/2020,16,16,0
92,14/06/2020,16,17,0
93,15/06/2020,38,16,0
94,16/06/2020,4,19,0
95,17/06/2020,25,7,0
96,18/06/2020,10,5,0
97,19/06/2020,32,12,0
98,20/06/2020,29,20,0
99,21/06/2020,17,12,0
100,22/06/2020,54,12,0
101,23/06/2020,48,3,0
102,24/06/2020,31,34,0
103,25/06/2020,33,8,1
104,26/06/2020,25,20,0
105,27/06/2020,30,7,0
106,28/06/2020,22,17,0
107,29/06/2020,26,38,0
108,30/06/2020,11,19,1
109,01/07/2020,26,42,0
110,02/07/2020,35,15,0
111,03/07/2020,19,39,0
112,04/07/2020,13,25,1
113,05/07/2020,17,28,0
114,06/07/2020,14,26,0
115,07/07/2020,6,27,0
116,08/07/2020,18,43,0
117,09/07/2020,39,13,0
118,10/07/2020,31,39,0
119,11/07/2020,11,23,0
120,12/07/2020,31,21,0
121,13/07/2020,30,11,0
122,14/07/2020,66,11,0
123,15/07/2020,32,28,0
124,16/07/2020,36,5,0
125,17/07/2020,40,40,0
126,18/07/2020,40,19,0
127,19/07/2020,64,29,0
128,20/07/2020,110,8,0
129,21/07/2020,33,10,1
130,22/07/2020,61,28,0
131,23/07/2020,109,31,0
132,24/07/2020,120,9,1
133,25/07/2020,95,28,0
134,26/07/2020,127,25,1
135,27/07/2020,94,18,0
136,28/07/2020,60,18,0
137,29/07/2020,73,98,0
138,30/07/2020,103,55,0
139,31/07/2020,58,72,0
140,01/08/2020,70,43,0
141,02/08/2020,69,57,0
142,03/08/2020,115,99,0
143,04/08/2020,61,52,0
144,05/08/2020,37,52,0
145,06/08/2020,131,103,0
146,07/08/2020,103,89,0
147,08/08/2020,114,127,0
148,09/08/2020,107,100,1
149,10/08/2020,92,24,2
150,11/08/2020,34,68,1
151,12/08/2020,139,89,0
152,13/08/2020,180,73,1
153,14/08/2020,58,116,0
154,15/08/2020,119,81,0
155,16/08/2020,163,88,0
156,17/08/2020,18,114,0
157,18/08/2020,61,89,0
158,19/08/2020,176,69,2
159,20/08/2020,127,93,2
160,21/08/2020,190,149,2
161,22/08/2020,167,107,4
162,23/08/2020,106,120,0
163,24/08/2020,100,123,0
164,25/08/2020,53,164,1
165,26/08/2020,167,62,2
166,27/08/2020,180,198,1
167,28/08/2020,136,141,0
168,29/08/2020,144,117,1
169,30/08/2020,164,142,1
170,31/08/2020,171,65,3
171,01/09/2020,139,173,4
172,02/09/2020,161,69,1
173,03/09/2020,199,98,5
174,04/09/2020,215,107,2
175,05/09/2020,188,21,4
176,06/09/2020,397,197,1
177,07/09/2020,245,221,1
178,08/09/2020,171,85,4
179,09/09/2020,316,142,3
180,10/09/2020,319,80,3
181,11/09/2020,318,158,5
182,12/09/2020,445,123,2
183,13/09/2020,326,152,4
184,14/09/2020,368,68,5
185,15/09/2020,412,250,8
186,16/09/2020,460,114,1
187,17/09/2020,395,388,7
188,18/09/2020,432,135,12
189,19/09/2020,286,403,5
190,20/09/2020,221,91,4
191,21/09/2020,309,288,7
192,22/09/2020,331,655,5
193,23/09/2020,280,446,5
194,24/09/2020,337,295,10
195,25/09/2020,293,296,7
196,26/09/2020,317,182,7
197,27/09/2020,195,629,11
198,28/09/2020,266,268,5
199,29/09/2020,290,364,3
200,30/09/2020,229,399,3
201,01/10/2020,243,218,9
202,02/10/2020,235,388,7
203,03/10/2020,241,197,8
204,04/10/2020,156,168,7
205,05/10/2020,182,292,7
206,06/10/2020,250,265,5
207,07/10/2020,282,418,2
208,08/10/2020,213,267,7
209,09/10/2020,199,278,7
210,10/10/2020,267,400,3
211,11/10/2020,164,190,2
212,12/10/2020,170,219,1
213,13/10/2020,184,312,3
214,14/10/2020,246,232,1
215,15/10/2020,295,153,5
216,16/10/2020,219,219,2
217,17/10/2020,275,234,3
218,18/10/2020,170,217,3
219,19/10/2020,168,201,4
220,20/10/2020,222,216,2
221,21/10/2020,264,219,5
222,22/10/2020,223,238,5
223,23/10/2020,196,202,1
224,24/10/2020,173,183,5
225,25/10/2020,157,272,1
226,26/10/2020,216,192,2
227,27/10/2020,231,214,5
228,28/10/2020,332,205,2
229,29/10/2020,327,199,6
230,30/10/2020,101,139,5
231,31/10/2020,482,321,6
232,01/11/2020,205,102,8
233,02/11/2020,334,339,10
234,03/11/2020,334,165,8
235,04/11/2020,433,110,11
236,05/11/2020,444,201,6
237,06/11/2020,88,215,4
238,07/11/2020,915,255,6
239,08/11/2020,674,150,6
240,09/11/2020,711,228,7
241,10/11/2020,611,424,12
242,11/11/2020,610,359,9
243,12/11/2020,765,199,6
244,13/11/2020,825,239,11
245,14/11/2020,322,337,8
246,15/11/2020,383,209,11
247,16/11/2020,443,540,8
248,17/11/2020,584,574,12
249,18/11/2020,661,518,13
250,19/11/2020,796,704,12
251,20/11/2020,588,726,11
252,21/11/2020,915,657,18
253,22/11/2020,627,644,19
254,23/11/2020,454,785,22
255,24/11/2020,948,463,12
256,25/11/2020,837,99,13
257,26/11/2020,931,913,14
258,27/11/2020,830,490,13
259,28/11/2020,650,270,11
260,29/11/2020,1026,940,12
261,30/11/2020,515,855,10
262,01/12/2020,709,761,21
263,02/12/2020,633,1027,11
264,03/12/2020,837,544,18
265,04/12/2020,803,578,13
266,05/12/2020,905,945,13
267,06/12/2020,553,520,11
268,07/12/2020,739,1106,7
269,08/12/2020,504,808,14
270,09/12/2020,729,819,12
271,10/12/2020,773,375,8
272,11/12/2020,651,770,20
273,12/12/2020,597,737,10
274,13/12/2020,424,740,8
275,14/12/2020,386,676,12
276,15/12/2020,435,577,11
277,16/12/2020,484,1046,12
278,17/12/2020,463,532,10
279,18/12/2020,482,639,9
280,19/12/2020,385,390,3
281,20/12/2020,319,1083,6
282,21/12/2020,294,596,9
283,22/12/2020,332,423,4
284,23/12/2020,437,594,5
285,24/12/2020,374,317,5
286,25/12/2020,292,623,3
287,26/12/2020,222,266,11
288,27/12/2020,158,610,6
289,28/12/2020,242,394,2
290,29/12/2020,214,552,4
291,30/12/2020,220,755,6
292,31/12/2020,163,341,3
293,01/01/2021,193,412,2
294,02/01/2021,149,339,2
295,03/01/2021,67,433,6
296,04/01/2021,122,304,2
297,05/01/2021,102,307,4
298,06/01/2021,105,260,2
299,07/01/2021,131,191,1
300,08/01/2021,136,171,2
301,09/01/2021,84,175,3
302,10/01/2021,86,202,1
303,11/01/2021,69,164,2
304,12/01/2021,75,174,0
305,13/01/2021,93,71,2
306,14/01/2021,62,81,0
307,15/01/2021,51,95,0
308,16/01/2021,71,83,1
309,17/01/2021,70,126,2
310,18/01/2021,35,103,1
311,19/01/2021,41,81,0
312,20/01/2021,63,72,0
313,21/01/2021,39,55,3
314,22/01/2021,41,81,0
315,23/01/2021,27,73,1
316,24/01/2021,21,52,2
317,25/01/2021,35,63,0
318,26/01/2021,12,59,0
319,27/01/2021,39,68,1
320,28/01/2021,60,52,0
321,29/01/2021,44,40,0
322,30/01/2021,94,52,2
323,31/01/2021,42,32,3
324,01/02/2021,25,37,0
325,02/02/2021,26,38,1
326,03/02/2021,59,14,1
327,04/02/2021,47,16,1
328,05/02/2021,71,48,0
329,06/02/2021,87,51,1
330,07/02/2021,45,77,1
331,08/02/2021,29,35,0
332,09/02/2021,68,72,3
333,10/02/2021,83,49,1
334,11/02/2021,36,30,1
335,12/02/2021,30,17,1
336,13/02/2021,59,38,1
337,14/02/2021,21,132,2
338,15/02/2021,21,34,0
339,16/02/2021,19,47,0
340,17/02/2021,34,50,0
341,18/02/2021,16,69,0
342,19/02/2021,32,35,0
343,20/02/2021,22,68,0
344,21/02/2021,19,36,1
345,22/02/2021,18,25,0
346,23/02/2021,20,29,0
347,24/02/2021,34,23,0
348,25/02/2021,42,27,0
349,26/02/2021,44,27,0
350,27/02/2021,55,24,0
351,28/02/2021,47,21,0
352,01/03/2021,132,15,1
353,02/03/2021,23,20,0
354,03/03/2021,77,19,0
355,04/03/2021,65,20,0
356,05/03/2021,72,22,1
357,06/03/2021,45,45,0
358,07/03/2021,59,34,0
359,08/03/2021,79,73,3
360,09/03/2021,42,36,2
361,10/03/2021,108,129,1
362,11/03/2021,92,29,0
363,12/03/2021,88,44,0
364,13/03/2021,70,30,1
365,14/03/2021,78,60,2
366,15/03/2021,75,74,4
367,16/03/2021,119,55,1
368,17/03/2021,167,52,0
369,18/03/2021,171,61,2
370,19/03/2021,182,98,3
371,20/03/2021,148,67,1
372,21/03/2021,141,83,1
373,22/03/2021,200,68,3
374,23/03/2021,157,84,4
375,24/03/2021,266,65,2
376,25/03/2021,315,64,2
377,26/03/2021,351,128,1
378,27/03/2021,416,174,3
379,28/03/2021,277,157,3
380,29/03/2021,321,165,3
381,30/03/2021,339,139,6
382,31/03/2021,285,139,3
383,01/04/2021,409,157,4
384,02/04/2021,406,285,4
385,03/04/2021,418,308,4
386,04/04/2021,404,256,10
387,05/04/2021,567,268,6
388,06/04/2021,428,456,5
389,07/04/2021,653,226,9
390,08/04/2021,621,260,6
391,09/04/2021,662,501,7
392,10/04/2021,943,373,12
393,11/04/2021,570,506,0
