,Date,Confirmed,Recovered,Deceased
0,14/03/2020,14,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,1,0,0
4,18/03/2020,1,0,0
5,19/03/2020,1,0,0
6,20/03/2020,2,0,0
7,21/03/2020,2,0,0
8,22/03/2020,0,0,0
9,23/03/2020,7,11,0
10,24/03/2020,2,0,0
11,25/03/2020,1,0,0
12,26/03/2020,1,0,0
13,27/03/2020,1,0,0
14,28/03/2020,2,0,0
15,29/03/2020,0,0,0
16,30/03/2020,1,6,0
17,31/03/2020,7,0,0
18,01/04/2020,0,10,0
19,02/04/2020,6,0,0
20,03/04/2020,9,0,0
21,04/04/2020,26,1,0
22,05/04/2020,6,0,0
23,06/04/2020,20,0,2
24,07/04/2020,33,2,0
25,08/04/2020,24,1,0
26,09/04/2020,3,0,0
27,10/04/2020,6,4,0
28,11/04/2020,3,0,0
29,12/04/2020,16,8,1
30,13/04/2020,1,7,0
31,14/04/2020,2,4,0
32,15/04/2020,6,2,0
33,16/04/2020,11,8,0
34,17/04/2020,8,21,0
35,18/04/2020,9,14,0
36,19/04/2020,18,4,0
37,20/04/2020,1,37,0
38,21/04/2020,4,6,0
39,22/04/2020,9,11,0
40,23/04/2020,6,12,0
41,24/04/2020,5,16,0
42,25/04/2020,12,5,0
43,26/04/2020,9,8,0
44,27/04/2020,5,14,0
45,28/04/2020,7,11,0
46,29/04/2020,3,1,0
47,30/04/2020,28,10,1
48,01/05/2020,18,6,0
49,02/05/2020,19,1,1
50,03/05/2020,66,3,0
51,04/05/2020,75,9,1
52,05/05/2020,31,2,0
53,06/05/2020,46,4,1
54,07/05/2020,31,0,0
55,08/05/2020,22,19,1
56,09/05/2020,28,11,1
57,10/05/2020,28,10,1
58,11/05/2020,27,37,1
59,12/05/2020,50,5,0
60,13/05/2020,13,76,0
61,14/05/2020,25,21,0
62,15/05/2020,36,25,2
63,16/05/2020,33,50,0
64,17/05/2020,23,48,1
65,18/05/2020,18,36,0
66,19/05/2020,36,29,0
67,20/05/2020,29,21,0
68,21/05/2020,37,33,0
69,22/05/2020,37,25,2
70,23/05/2020,64,44,0
71,24/05/2020,53,15,0
72,25/05/2020,29,37,0
73,26/05/2020,92,22,0
74,27/05/2020,76,14,2
75,28/05/2020,123,43,1
76,29/05/2020,217,59,0
77,30/05/2020,202,31,1
78,31/05/2020,168,77,0
79,01/06/2020,265,7,1
80,02/06/2020,296,14,2
81,03/06/2020,302,20,0
82,04/06/2020,327,34,1
83,05/06/2020,316,86,0
84,06/06/2020,355,71,0
85,07/06/2020,496,194,4
86,08/06/2020,406,226,11
87,09/06/2020,355,107,6
88,10/06/2020,370,381,7
89,11/06/2020,389,73,12
90,12/06/2020,366,214,6
91,13/06/2020,415,328,8
92,14/06/2020,459,200,10
93,15/06/2020,514,562,12
94,16/06/2020,550,183,18
95,17/06/2020,560,204,12
96,18/06/2020,386,604,4
97,19/06/2020,525,333,10
98,20/06/2020,480,239,5
99,21/06/2020,412,429,11
100,22/06/2020,390,359,9
101,23/06/2020,495,582,9
102,24/06/2020,490,427,10
103,25/06/2020,453,455,10
104,26/06/2020,421,636,13
105,27/06/2020,543,456,7
106,28/06/2020,402,445,5
107,29/06/2020,381,585,9
108,30/06/2020,338,470,4
109,01/07/2020,393,527,4
110,02/07/2020,568,520,11
111,03/07/2020,494,672,4
