,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,0,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,0,0,0
10,24/03/2020,0,0,0
11,25/03/2020,0,0,0
12,26/03/2020,0,0,0
13,27/03/2020,0,0,0
14,28/03/2020,0,0,0
15,29/03/2020,0,0,0
16,30/03/2020,0,0,0
17,31/03/2020,1,0,0
18,01/04/2020,0,0,0
19,02/04/2020,1,0,0
20,03/04/2020,0,0,0
21,04/04/2020,0,0,0
22,05/04/2020,1,0,0
23,06/04/2020,1,0,0
24,07/04/2020,0,0,0
25,08/04/2020,0,0,0
26,09/04/2020,9,0,1
27,10/04/2020,1,0,0
28,11/04/2020,3,0,0
29,12/04/2020,2,0,1
30,13/04/2020,5,0,0
31,14/04/2020,3,0,0
32,15/04/2020,1,0,0
33,16/04/2020,1,0,0
34,17/04/2020,3,0,0
35,18/04/2020,1,0,0
36,19/04/2020,8,0,0
37,20/04/2020,5,4,0
38,21/04/2020,0,0,0
39,22/04/2020,0,0,0
40,23/04/2020,7,4,1
41,24/04/2020,6,0,0
42,25/04/2020,8,0,0
43,26/04/2020,15,5,0
44,27/04/2020,21,4,0
45,28/04/2020,2,2,0
46,29/04/2020,2,0,0
47,30/04/2020,3,0,0
48,01/05/2020,3,2,0
49,02/05/2020,2,1,0
50,03/05/2020,0,5,0
51,04/05/2020,0,0,0
52,05/05/2020,10,6,0
53,06/05/2020,2,4,0
54,07/05/2020,5,4,0
55,08/05/2020,22,0,0
56,09/05/2020,2,37,0
57,10/05/2020,1,0,0
58,11/05/2020,4,0,0
59,12/05/2020,11,1,0
60,13/05/2020,5,8,0
61,14/05/2020,26,0,0
62,15/05/2020,8,10,0
63,16/05/2020,6,16,0
64,17/05/2020,6,0,0
65,18/05/2020,5,14,0
66,19/05/2020,20,0,0
67,20/05/2020,42,2,0
68,21/05/2020,13,7,0
69,22/05/2020,20,0,0
70,23/05/2020,27,5,0
71,24/05/2020,20,7,1
72,25/05/2020,35,0,0
73,26/05/2020,21,5,0
74,27/05/2020,7,0,0
75,28/05/2020,6,0,0
76,29/05/2020,82,63,1
77,30/05/2020,73,40,0
78,31/05/2020,41,0,0
79,01/06/2020,26,40,0
80,02/06/2020,61,0,0
81,03/06/2020,42,1,0
82,04/06/2020,63,69,1
83,05/06/2020,95,69,1
84,06/06/2020,106,38,0
85,07/06/2020,75,17,0
86,08/06/2020,187,29,0
87,09/06/2020,126,40,1
88,10/06/2020,135,33,0
89,11/06/2020,48,38,0
90,12/06/2020,57,55,0
91,13/06/2020,55,131,0
92,14/06/2020,52,89,0
93,15/06/2020,30,95,1
94,16/06/2020,46,121,0
95,17/06/2020,57,30,1
96,18/06/2020,23,47,1
97,19/06/2020,42,137,0
98,20/06/2020,63,69,0
99,21/06/2020,74,2,0
100,22/06/2020,42,63,0
101,23/06/2020,53,51,0
102,24/06/2020,26,55,1
103,25/06/2020,44,30,0
104,26/06/2020,31,42,0
105,27/06/2020,45,77,0
106,28/06/2020,25,69,0
107,29/06/2020,62,56,3
108,30/06/2020,64,35,0
109,01/07/2020,35,47,0
110,02/07/2020,60,57,0
111,03/07/2020,112,13,0
112,04/07/2020,42,34,3
113,05/07/2020,68,10,1
114,06/07/2020,47,23,1
115,07/07/2020,164,36,2
116,08/07/2020,116,66,0
117,09/07/2020,134,40,1
118,10/07/2020,250,14,0
119,11/07/2020,145,32,1
120,12/07/2020,97,52,7
121,13/07/2020,203,43,2
122,14/07/2020,262,77,3
123,15/07/2020,337,57,2
124,16/07/2020,221,28,4
125,17/07/2020,313,64,4
126,18/07/2020,289,79,2
127,19/07/2020,167,62,1
128,20/07/2020,225,117,4
129,21/07/2020,418,107,8
130,22/07/2020,487,106,3
131,23/07/2020,482,206,3
132,24/07/2020,400,100,9
133,25/07/2020,277,167,7
134,26/07/2020,508,183,0
135,27/07/2020,454,101,7
136,28/07/2020,760,179,4
137,29/07/2020,331,77,5
138,30/07/2020,505,115,4
139,31/07/2020,915,167,3
140,01/08/2020,790,170,8
141,02/08/2020,455,169,4
142,03/08/2020,941,112,7
143,04/08/2020,570,405,4
144,05/08/2020,978,627,7
145,06/08/2020,708,768,9
146,07/08/2020,726,897,6
147,08/08/2020,986,834,9
148,09/08/2020,688,673,17
149,10/08/2020,630,750,12
150,11/08/2020,683,807,5
151,12/08/2020,788,1642,8
152,13/08/2020,693,816,7
153,14/08/2020,1175,665,15
154,15/08/2020,547,503,5
155,16/08/2020,552,566,15
156,17/08/2020,843,601,11
157,18/08/2020,1241,361,10
158,19/08/2020,967,857,13
159,20/08/2020,638,754,8
160,21/08/2020,1258,1052,11
161,22/08/2020,907,814,13
162,23/08/2020,1075,950,8
163,24/08/2020,940,889,17
164,25/08/2020,1056,725,12
165,26/08/2020,1137,736,15
166,27/08/2020,1365,633,15
167,28/08/2020,1137,1019,12
168,29/08/2020,1299,1078,9
169,30/08/2020,1323,1232,12
170,31/08/2020,3221,695,7
171,01/09/2020,2177,1006,11
172,02/09/2020,1029,1598,10
173,03/09/2020,1618,1139,6
174,04/09/2020,1559,1157,3
175,05/09/2020,1758,2287,15
176,06/09/2020,1266,1854,7
177,07/09/2020,1557,1366,13
178,08/09/2020,2676,1812,14
179,09/09/2020,1601,1297,16
180,10/09/2020,1182,1456,5
181,11/09/2020,961,1213,15
182,12/09/2020,1420,1746,10
183,13/09/2020,1014,1509,13
184,14/09/2020,1263,1529,6
185,15/09/2020,1702,1638,10
186,16/09/2020,1635,1607,8
187,17/09/2020,1026,1450,11
188,18/09/2020,1478,1245,12
189,19/09/2020,1282,1645,13
190,20/09/2020,1492,1247,2
191,21/09/2020,1321,1599,9
192,22/09/2020,1275,1484,15
193,23/09/2020,1141,1532,7
194,24/09/2020,1349,1386,4
195,25/09/2020,1271,1570,9
196,26/09/2020,1226,1324,9
197,27/09/2020,974,958,9
198,28/09/2020,1508,1806,9
199,29/09/2020,1123,1295,12
200,30/09/2020,1111,1444,13
201,01/10/2020,1013,1119,8
202,02/10/2020,736,967,8
203,03/10/2020,877,1176,5
204,04/10/2020,933,907,9
205,05/10/2020,816,1332,4
206,06/10/2020,847,1246,10
207,07/10/2020,829,1087,10
208,08/10/2020,784,1263,8
209,09/10/2020,768,1215,6
210,10/10/2020,697,1151,3
211,11/10/2020,574,766,3
212,12/10/2020,510,890,11
213,13/10/2020,701,853,7
214,14/10/2020,633,1053,6
215,15/10/2020,583,873,8
216,16/10/2020,473,818,5
217,17/10/2020,542,501,8
218,18/10/2020,385,452,7
219,19/10/2020,490,769,3
220,20/10/2020,572,605,7
221,21/10/2020,647,619,2
222,22/10/2020,549,625,8
223,23/10/2020,435,499,3
224,24/10/2020,383,470,2
225,25/10/2020,258,378,2
226,26/10/2020,220,392,6
227,27/10/2020,318,506,4
228,28/10/2020,345,452,4
229,29/10/2020,395,461,3
230,30/10/2020,323,421,0
231,31/10/2020,474,367,1
232,01/11/2020,326,398,1
233,02/11/2020,403,512,1
234,03/11/2020,397,490,5
235,04/11/2020,301,505,3
236,05/11/2020,355,484,0
237,06/11/2020,356,401,1
238,07/11/2020,340,411,2
239,08/11/2020,203,298,0
240,09/11/2020,246,458,8
241,10/11/2020,252,456,5
242,11/11/2020,284,314,3
243,12/11/2020,269,606,4
244,13/11/2020,288,661,4
245,14/11/2020,154,328,1
246,15/11/2020,129,291,2
247,16/11/2020,166,360,4
248,17/11/2020,261,343,3
249,18/11/2020,251,280,3
250,19/11/2020,230,264,3
251,20/11/2020,185,189,2
252,21/11/2020,175,333,6
253,22/11/2020,137,273,5
254,23/11/2020,219,303,3
255,24/11/2020,233,191,2
256,25/11/2020,237,316,3
257,26/11/2020,230,218,3
258,27/11/2020,189,195,1
259,28/11/2020,209,216,1
260,29/11/2020,198,214,0
261,30/11/2020,167,288,1
262,01/12/2020,181,227,5
263,02/12/2020,206,262,2
264,03/12/2020,233,208,6
265,04/12/2020,219,206,1
266,05/12/2020,196,288,1
267,06/12/2020,92,134,7
268,07/12/2020,179,214,2
269,08/12/2020,182,188,0
270,09/12/2020,191,202,3
271,10/12/2020,173,220,2
272,11/12/2020,174,168,2
273,12/12/2020,189,273,0
274,13/12/2020,144,179,4
275,14/12/2020,212,201,1
276,15/12/2020,209,211,1
277,16/12/2020,190,180,3
278,17/12/2020,211,164,3
279,18/12/2020,274,195,1
280,19/12/2020,247,234,2
281,20/12/2020,172,182,0
282,21/12/2020,173,205,1
283,22/12/2020,209,246,3
284,23/12/2020,202,204,0
285,24/12/2020,177,213,2
286,25/12/2020,168,176,0
287,26/12/2020,189,179,2
288,27/12/2020,125,134,1
289,28/12/2020,152,154,1
290,29/12/2020,230,203,5
291,30/12/2020,223,185,2
292,31/12/2020,240,218,3
293,01/01/2021,128,105,0
294,02/01/2021,151,205,4
295,03/01/2021,137,159,1
296,04/01/2021,160,232,1
297,05/01/2021,151,255,2
298,06/01/2021,194,165,2
299,07/01/2021,195,195,1
300,08/01/2021,207,188,2
301,09/01/2021,236,205,2
302,10/01/2021,145,169,2
303,11/01/2021,144,229,1
304,12/01/2021,127,153,0
305,13/01/2021,152,152,0
306,14/01/2021,144,173,0
307,15/01/2021,96,133,1
308,16/01/2021,119,158,1
309,17/01/2021,87,111,0
310,18/01/2021,100,131,4
311,19/01/2021,101,141,3
312,20/01/2021,125,170,0
313,21/01/2021,67,136,1
314,22/01/2021,75,127,2
315,23/01/2021,78,177,1
316,24/01/2021,54,109,2
317,25/01/2021,74,122,1
318,26/01/2021,65,65,0
319,27/01/2021,70,117,2
320,28/01/2021,62,112,3
321,29/01/2021,45,86,1
322,30/01/2021,49,100,1
323,31/01/2021,41,63,1
324,01/02/2021,42,81,1
325,02/02/2021,59,81,2
326,03/02/2021,46,80,2
327,04/02/2021,58,64,0
328,05/02/2021,41,47,0
329,06/02/2021,41,54,0
330,07/02/2021,38,34,1
331,08/02/2021,38,31,0
332,09/02/2021,61,35,0
333,10/02/2021,45,42,3
334,11/02/2021,45,53,0
335,12/02/2021,36,51,0
336,13/02/2021,41,29,1
337,14/02/2021,41,29,1
338,15/02/2021,38,33,2
339,16/02/2021,32,39,-1
340,17/02/2021,45,39,0
341,18/02/2021,38,37,0
342,19/02/2021,51,51,0
343,20/02/2021,37,45,0
344,21/02/2021,31,36,1
345,22/02/2021,41,45,1
346,23/02/2021,50,51,0
347,24/02/2021,32,47,1
348,25/02/2021,76,40,0
349,26/02/2021,68,43,0
350,27/02/2021,42,41,1
351,28/02/2021,44,40,2
352,01/03/2021,37,46,0
353,02/03/2021,51,38,0
354,03/03/2021,31,56,0
355,04/03/2021,61,47,1
356,05/03/2021,44,49,0
357,06/03/2021,44,64,0
358,07/03/2021,42,38,2
359,08/03/2021,53,44,0
360,09/03/2021,62,40,0
361,10/03/2021,62,36,0
362,11/03/2021,31,40,0
363,12/03/2021,57,59,0
364,13/03/2021,43,37,0
365,14/03/2021,61,28,0
366,15/03/2021,67,59,0
367,16/03/2021,76,54,1
368,17/03/2021,82,60,0
369,18/03/2021,97,72,0
370,19/03/2021,105,75,1
371,20/03/2021,123,54,0
372,21/03/2021,83,48,1
373,22/03/2021,110,69,1
374,23/03/2021,130,71,1
375,24/03/2021,194,77,2
376,25/03/2021,278,72,0
377,26/03/2021,308,81,3
378,27/03/2021,340,99,4
379,28/03/2021,314,76,3
380,29/03/2021,155,58,0
381,30/03/2021,418,130,3
382,31/03/2021,693,122,0
383,01/04/2021,690,162,1
384,02/04/2021,694,137,1
385,03/04/2021,873,161,7
386,04/04/2021,787,148,8
387,05/04/2021,1086,438,10
388,06/04/2021,1264,298,4
