,Date,Confirmed,Recovered,Deceased
0,14/03/2020,2,0,0
1,15/03/2020,0,0,0
2,16/03/2020,1,0,0
3,17/03/2020,0,0,0
4,18/03/2020,1,0,0
5,19/03/2020,0,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,0,0,0
10,24/03/2020,2,0,0
11,25/03/2020,5,1,0
12,26/03/2020,3,0,1
13,27/03/2020,6,0,0
14,28/03/2020,13,0,0
15,29/03/2020,5,0,0
16,30/03/2020,11,0,0
17,31/03/2020,6,0,1
18,01/04/2020,7,1,0
19,02/04/2020,8,1,0
20,03/04/2020,5,0,0
21,04/04/2020,17,0,0
22,05/04/2020,14,1,0
23,06/04/2020,3,0,0
24,07/04/2020,16,0,1
25,08/04/2020,33,2,0
26,09/04/2020,26,0,1
27,10/04/2020,23,0,0
28,11/04/2020,17,0,0
29,12/04/2020,21,0,0
30,13/04/2020,25,10,0
31,14/04/2020,8,14,0
32,15/04/2020,22,6,0
33,16/04/2020,14,2,0
34,17/04/2020,14,4,1
35,18/04/2020,13,9,0
36,19/04/2020,13,5,0
37,20/04/2020,14,15,0
38,21/04/2020,12,10,0
39,22/04/2020,27,11,0
40,23/04/2020,27,0,0
41,24/04/2020,20,17,0
42,25/04/2020,40,3,1
43,26/04/2020,29,25,0
44,27/04/2020,23,27,1
45,28/04/2020,19,12,1
46,29/04/2020,16,16,0
47,30/04/2020,33,24,0
48,01/05/2020,25,31,0
49,02/05/2020,27,7,0
50,03/05/2020,35,33,0
51,04/05/2020,25,16,0
52,05/05/2020,15,17,0
53,06/05/2020,34,2,0
54,07/05/2020,18,13,1
55,08/05/2020,30,29,0
56,09/05/2020,13,4,0
57,10/05/2020,25,15,0
58,11/05/2020,18,44,1
59,12/05/2020,55,28,0
60,13/05/2020,37,11,1
61,14/05/2020,12,19,0
62,15/05/2020,30,28,0
63,16/05/2020,108,29,1
64,17/05/2020,62,33,1
65,18/05/2020,106,34,2
66,19/05/2020,28,38,2
67,20/05/2020,73,31,1
68,21/05/2020,59,6,2
69,22/05/2020,40,36,0
70,23/05/2020,80,54,1
71,24/05/2020,52,35,0
72,25/05/2020,47,0,2
73,26/05/2020,91,24,1
74,27/05/2020,162,21,2
75,28/05/2020,115,5,1
76,29/05/2020,128,16,1
77,30/05/2020,177,33,0
78,31/05/2020,105,19,0
79,01/06/2020,155,19,3
80,02/06/2020,117,7,2
81,03/06/2020,139,54,1
82,04/06/2020,285,41,1
83,05/06/2020,182,38,1
84,06/06/2020,143,40,3
85,07/06/2020,620,90,2
86,08/06/2020,198,108,4
87,09/06/2020,61,182,3
88,10/06/2020,161,165,3
89,11/06/2020,67,149,1
90,12/06/2020,156,266,1
91,13/06/2020,148,183,2
92,14/06/2020,163,120,4
93,15/06/2020,179,215,3
94,16/06/2020,78,177,1
95,17/06/2020,108,133,1
96,18/06/2020,149,230,7
97,19/06/2020,125,50,4
98,20/06/2020,154,142,6
99,21/06/2020,122,46,1
100,22/06/2020,132,149,3
101,23/06/2020,148,111,2
102,24/06/2020,186,176,1
103,25/06/2020,127,149,2
104,26/06/2020,213,113,1
105,27/06/2020,204,145,2
106,28/06/2020,127,91,1
107,29/06/2020,144,269,1
108,30/06/2020,260,137,6
109,01/07/2020,198,134,4
110,02/07/2020,154,118,10
111,03/07/2020,170,101,4
112,04/07/2020,227,68,8
113,05/07/2020,183,112,5
114,06/07/2020,246,63,6
115,07/07/2020,256,81,5
116,08/07/2020,330,168,6
117,09/07/2020,240,128,5
118,10/07/2020,387,91,5
119,11/07/2020,268,109,10
120,12/07/2020,357,84,10
121,13/07/2020,314,116,8
122,14/07/2020,346,128,8
123,15/07/2020,493,114,11
124,16/07/2020,490,109,16
125,17/07/2020,601,112,9
126,18/07/2020,441,607,5
127,19/07/2020,701,646,8
128,20/07/2020,751,463,10
129,21/07/2020,608,181,9
130,22/07/2020,453,152,10
131,23/07/2020,718,102,9
132,24/07/2020,353,508,14
133,25/07/2020,523,300,9
134,26/07/2020,615,411,7
135,27/07/2020,470,474,9
136,28/07/2020,489,483,12
137,29/07/2020,540,437,15
138,30/07/2020,450,520,17
139,31/07/2020,490,375,12
140,01/08/2020,613,654,11
141,02/08/2020,444,256,8
142,03/08/2020,590,905,11
143,04/08/2020,390,824,10
144,05/08/2020,559,388,9
145,06/08/2020,499,464,10
146,07/08/2020,473,510,13
147,08/08/2020,463,449,10
148,09/08/2020,507,336,13
149,10/08/2020,470,372,6
150,11/08/2020,564,604,12
151,12/08/2020,482,544,8
152,13/08/2020,536,779,11
153,14/08/2020,540,640,11
154,15/08/2020,532,734,7
155,16/08/2020,449,267,15
156,17/08/2020,422,353,6
157,18/08/2020,434,590,13
158,19/08/2020,708,611,11
159,20/08/2020,683,728,6
160,21/08/2020,654,580,15
161,22/08/2020,610,593,15
162,23/08/2020,666,434,9
163,24/08/2020,428,373,7
164,25/08/2020,701,389,14
165,26/08/2020,704,599,19
166,27/08/2020,655,528,14
167,28/08/2020,696,651,7
168,29/08/2020,546,648,7
169,30/08/2020,786,490,9
170,31/08/2020,535,505,9
171,01/09/2020,525,469,14
172,02/09/2020,641,595,15
173,03/09/2020,1079,680,11
174,04/09/2020,1047,676,12
175,05/09/2020,1251,489,15
176,06/09/2020,1316,403,14
177,07/09/2020,1013,433,17
178,08/09/2020,1355,491,14
179,09/09/2020,1617,620,17
180,10/09/2020,1592,344,13
181,11/09/2020,1578,474,9
182,12/09/2020,1698,596,10
183,13/09/2020,1686,452,14
184,14/09/2020,1229,644,17
185,15/09/2020,1329,681,19
186,16/09/2020,1590,747,18
187,17/09/2020,1467,712,19
188,18/09/2020,1330,784,15
189,19/09/2020,1492,960,21
190,20/09/2020,1457,692,14
191,21/09/2020,1036,1158,23
192,22/09/2020,1235,1619,18
193,23/09/2020,1249,2796,20
194,24/09/2020,1104,1549,22
195,25/09/2020,1218,1478,21
196,26/09/2020,1217,1937,20
197,27/09/2020,1141,1365,7
198,28/09/2020,824,1408,14
199,29/09/2020,1081,1250,18
200,30/09/2020,975,1355,17
201,01/10/2020,1093,1680,17
202,02/10/2020,1090,1400,14
203,03/10/2020,975,1399,19
204,04/10/2020,878,1053,11
205,05/10/2020,632,1386,10
206,06/10/2020,738,1706,16
207,07/10/2020,621,2188,14
208,08/10/2020,696,1336,9
209,09/10/2020,636,959,15
210,10/10/2020,635,976,7
211,11/10/2020,569,890,9
212,12/10/2020,398,861,11
213,13/10/2020,677,796,7
214,14/10/2020,701,816,12
215,15/10/2020,648,1323,6
216,16/10/2020,697,838,8
217,17/10/2020,610,809,6
