,Date,Confirmed,Recovered,Deceased
0,14/03/2020,6,0,1
1,15/03/2020,0,0,0
2,16/03/2020,1,0,0
3,17/03/2020,2,0,0
4,18/03/2020,5,0,0
5,19/03/2020,1,0,0
6,20/03/2020,0,1,0
7,21/03/2020,5,0,0
8,22/03/2020,6,0,0
9,23/03/2020,7,1,0
10,24/03/2020,8,1,0
11,25/03/2020,10,0,0
12,26/03/2020,4,0,1
13,27/03/2020,9,2,1
14,28/03/2020,17,0,0
15,29/03/2020,2,0,0
16,30/03/2020,5,1,0
17,31/03/2020,13,2,0
18,01/04/2020,9,1,0
19,02/04/2020,14,2,0
20,03/04/2020,4,0,1
21,04/04/2020,16,0,0
22,05/04/2020,7,1,0
23,06/04/2020,12,8,0
24,07/04/2020,12,5,0
25,08/04/2020,6,3,1
26,09/04/2020,16,2,1
27,10/04/2020,10,4,0
28,11/04/2020,8,5,0
29,12/04/2020,17,15,0
30,13/04/2020,15,6,2
31,14/04/2020,13,11,2
32,15/04/2020,19,9,2
33,16/04/2020,36,2,1
34,17/04/2020,44,6,0
35,18/04/2020,25,16,1
36,19/04/2020,6,7,2
37,20/04/2020,18,1,0
38,21/04/2020,10,17,1
39,22/04/2020,9,2,0
40,23/04/2020,18,14,0
41,24/04/2020,29,7,1
42,25/04/2020,26,6,0
43,26/04/2020,3,24,1
44,27/04/2020,9,11,1
45,28/04/2020,11,14,0
46,29/04/2020,12,9,1
47,30/04/2020,30,13,1
48,01/05/2020,24,22,0
49,02/05/2020,12,20,3
50,03/05/2020,13,22,0
51,04/05/2020,37,28,2
52,05/05/2020,22,10,2
53,06/05/2020,20,23,0
54,07/05/2020,12,12,1
55,08/05/2020,48,10,0
56,09/05/2020,41,10,0
57,10/05/2020,54,36,1
58,11/05/2020,14,4,0
59,12/05/2020,63,7,0
60,13/05/2020,34,18,2
61,14/05/2020,28,9,2
62,15/05/2020,69,20,1
63,16/05/2020,36,16,0
64,17/05/2020,55,13,1
65,18/05/2020,99,21,0
66,19/05/2020,149,13,3
67,20/05/2020,67,13,1
68,21/05/2020,143,15,0
69,22/05/2020,138,26,0
70,23/05/2020,216,11,1
71,24/05/2020,130,46,0
72,25/05/2020,93,51,2
73,26/05/2020,101,59,0
74,27/05/2020,135,17,3
75,28/05/2020,115,53,0
76,29/05/2020,248,60,1
77,30/05/2020,141,103,1
78,31/05/2020,299,221,2
79,01/06/2020,187,100,1
80,02/06/2020,388,75,0
81,03/06/2020,267,111,1
82,04/06/2020,257,106,4
83,05/06/2020,515,83,0
84,06/06/2020,378,280,2
85,07/06/2020,239,159,2
86,08/06/2020,308,309,3
87,09/06/2020,161,164,2
88,10/06/2020,120,257,3
89,11/06/2020,204,114,3
90,12/06/2020,271,464,7
91,13/06/2020,308,208,3
92,14/06/2020,176,312,5
93,15/06/2020,213,174,2
94,16/06/2020,317,322,7
95,17/06/2020,204,348,8
96,18/06/2020,210,176,12
97,19/06/2020,337,230,9
98,20/06/2020,416,183,9
99,21/06/2020,453,226,5
100,22/06/2020,249,111,5
101,23/06/2020,322,274,8
102,24/06/2020,397,149,14
103,25/06/2020,442,519,6
104,26/06/2020,445,246,10
105,27/06/2020,918,371,11
106,28/06/2020,1267,220,16
107,29/06/2020,1105,176,19
108,30/06/2020,947,235,20
109,01/07/2020,1272,145,7
110,02/07/2020,1502,271,19
111,03/07/2020,1694,471,21
112,04/07/2020,1839,439,42
113,05/07/2020,1925,603,37
114,06/07/2020,1843,680,30
115,07/07/2020,1498,571,15
116,08/07/2020,2062,778,54
117,09/07/2020,2228,957,17
118,10/07/2020,2313,1003,57
119,11/07/2020,2798,880,70
120,12/07/2020,2627,693,71
121,13/07/2020,2738,838,73
122,14/07/2020,2496,1142,87
123,15/07/2020,3176,1076,87
124,16/07/2020,4169,1263,104
125,17/07/2020,3693,1028,115
126,18/07/2020,4537,1018,93
127,19/07/2020,4120,1290,91
128,20/07/2020,3648,730,72
129,21/07/2020,3649,1664,61
130,22/07/2020,4764,1780,55
131,23/07/2020,5030,2071,97
132,24/07/2020,5007,2037,110
133,25/07/2020,5072,2403,72
134,26/07/2020,5199,2088,82
135,27/07/2020,5324,1847,75
136,28/07/2020,5536,2819,102
137,29/07/2020,5503,2397,90
138,30/07/2020,6128,3793,83
139,31/07/2020,5483,3094,84
140,01/08/2020,5172,3860,98
141,02/08/2020,5532,4077,84
142,03/08/2020,4752,4775,98
143,04/08/2020,6259,6772,110
144,05/08/2020,5619,5407,100
145,06/08/2020,6805,5602,93
146,07/08/2020,6670,3951,100
147,08/08/2020,7178,5006,93
148,09/08/2020,5985,4670,107
149,10/08/2020,4267,5218,114
150,11/08/2020,6257,6473,86
151,12/08/2020,7883,7034,113
152,13/08/2020,6706,8609,103
153,14/08/2020,7908,6940,104
154,15/08/2020,8818,6629,114
155,16/08/2020,7040,6680,116
156,17/08/2020,6317,7071,115
157,18/08/2020,7665,8387,139
158,19/08/2020,8642,7201,126
159,20/08/2020,7385,6231,102
160,21/08/2020,7571,6561,93
161,22/08/2020,7330,7626,93
162,23/08/2020,5938,4996,68
