,Date,Confirmed,Recovered,Deceased
0,14/03/2020,19,3,0
1,15/03/2020,5,0,0
2,16/03/2020,3,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,1,0,0
6,20/03/2020,12,0,0
7,21/03/2020,12,0,0
8,22/03/2020,15,0,0
9,23/03/2020,28,0,0
10,24/03/2020,14,1,0
11,25/03/2020,9,0,0
12,26/03/2020,19,7,0
13,27/03/2020,39,0,0
14,28/03/2020,6,1,1
15,29/03/2020,20,4,0
16,30/03/2020,32,4,0
17,31/03/2020,7,4,1
18,01/04/2020,24,2,0
19,02/04/2020,21,2,0
20,03/04/2020,9,14,0
21,04/04/2020,11,8,0
22,05/04/2020,8,6,0
23,06/04/2020,13,3,0
24,07/04/2020,9,12,0
25,08/04/2020,9,13,0
26,09/04/2020,12,13,0
27,10/04/2020,7,27,0
28,11/04/2020,10,19,1
29,12/04/2020,2,36,0
30,13/04/2020,3,19,0
31,14/04/2020,8,13,0
32,15/04/2020,1,7,0
33,16/04/2020,7,27,0
34,17/04/2020,1,10,0
35,18/04/2020,4,2,0
36,19/04/2020,2,13,0
37,20/04/2020,6,21,0
38,21/04/2020,19,16,0
39,22/04/2020,11,1,0
40,23/04/2020,10,8,0
41,24/04/2020,3,15,1
42,25/04/2020,7,7,0
43,26/04/2020,11,4,0
44,27/04/2020,13,13,0
45,28/04/2020,4,4,0
46,29/04/2020,10,10,0
47,30/04/2020,2,14,0
48,01/05/2020,0,9,0
49,02/05/2020,2,8,0
50,03/05/2020,0,1,0
51,04/05/2020,0,61,0
52,05/05/2020,3,0,0
53,06/05/2020,0,7,0
54,07/05/2020,0,5,0
55,08/05/2020,1,10,0
56,09/05/2020,2,1,0
57,10/05/2020,7,4,0
58,11/05/2020,7,0,0
59,12/05/2020,5,0,0
60,13/05/2020,10,1,0
61,14/05/2020,26,3,0
62,15/05/2020,16,0,0
63,16/05/2020,11,4,0
64,17/05/2020,14,0,0
65,18/05/2020,29,0,0
66,19/05/2020,12,0,0
67,20/05/2020,24,5,0
68,21/05/2020,24,8,0
69,22/05/2020,42,2,1
70,23/05/2020,62,3,0
71,24/05/2020,53,5,1
72,25/05/2020,49,12,0
73,26/05/2020,67,10,1
74,27/05/2020,40,10,0
75,28/05/2020,85,3,1
76,29/05/2020,62,10,1
77,30/05/2020,58,10,1
78,31/05/2020,61,15,0
79,01/06/2020,57,18,1
80,02/06/2020,86,19,1
81,03/06/2020,82,24,0
82,04/06/2020,94,39,3
83,05/06/2020,111,22,0
84,06/06/2020,108,50,1
85,07/06/2020,107,41,0
86,08/06/2020,91,11,1
87,09/06/2020,91,34,0
88,10/06/2020,65,57,1
89,11/06/2020,83,62,1
90,12/06/2020,78,32,1
91,13/06/2020,85,46,0
92,14/06/2020,54,56,0
93,15/06/2020,82,73,1
94,16/06/2020,79,60,0
95,17/06/2020,75,90,0
96,18/06/2020,97,89,1
97,19/06/2020,118,96,0
98,20/06/2020,127,57,0
99,21/06/2020,133,93,0
100,22/06/2020,138,88,0
101,23/06/2020,141,60,1
102,24/06/2020,152,81,0
103,25/06/2020,123,53,0
104,26/06/2020,150,65,0
105,27/06/2020,195,102,0
106,28/06/2020,118,42,0
107,29/06/2020,122,79,1
108,30/06/2020,131,75,1
109,01/07/2020,151,132,1
110,02/07/2020,160,202,0
111,03/07/2020,211,201,0
112,04/07/2020,240,209,0
113,05/07/2020,225,126,0
114,06/07/2020,193,167,2
115,07/07/2020,272,111,0
116,08/07/2020,301,107,0
117,09/07/2020,339,149,0
118,10/07/2020,416,112,0
119,11/07/2020,488,143,2
120,12/07/2020,435,132,2
121,13/07/2020,449,162,2
122,14/07/2020,608,181,1
123,15/07/2020,623,196,1
124,16/07/2020,722,228,2
125,17/07/2020,791,132,1
126,18/07/2020,593,204,2
127,19/07/2020,821,172,2
128,20/07/2020,794,245,1
129,21/07/2020,720,274,1
130,22/07/2020,1038,272,1
131,23/07/2020,1078,432,5
132,24/07/2020,885,968,4
133,25/07/2020,1103,1049,5
134,26/07/2020,927,689,2
135,27/07/2020,702,745,2
136,28/07/2020,1167,679,4
137,29/07/2020,903,641,1
138,30/07/2020,506,794,2
139,31/07/2020,1310,864,3
140,01/08/2020,1129,752,8
141,02/08/2020,1169,688,1
142,03/08/2020,961,815,2
143,04/08/2020,1083,1021,3
144,05/08/2020,1195,1234,7
145,06/08/2020,1298,800,3
146,07/08/2020,1251,814,5
147,08/08/2020,1420,1715,4
148,09/08/2020,1211,970,2
149,10/08/2020,1184,784,7
150,11/08/2020,1417,1426,5
151,12/08/2020,1212,880,6
152,13/08/2020,1564,766,3
153,14/08/2020,1569,1304,10
154,15/08/2020,1608,803,7
155,16/08/2020,1530,1099,10
156,17/08/2020,1725,1131,13
157,18/08/2020,1758,1365,6
158,19/08/2020,2333,1217,7
159,20/08/2020,1968,1217,9
160,21/08/2020,1983,1419,12
