,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,0,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,0,0,0
10,24/03/2020,0,0,0
11,25/03/2020,0,0,0
12,26/03/2020,0,0,0
13,27/03/2020,0,0,0
14,28/03/2020,0,0,0
15,29/03/2020,0,0,0
16,30/03/2020,0,0,0
17,31/03/2020,0,0,0
18,01/04/2020,0,0,0
19,02/04/2020,0,0,0
20,03/04/2020,0,0,0
21,04/04/2020,0,0,0
22,05/04/2020,0,0,0
23,06/04/2020,0,0,0
24,07/04/2020,0,0,0
25,08/04/2020,0,0,0
26,09/04/2020,0,0,0
27,10/04/2020,0,0,0
28,11/04/2020,0,0,0
29,12/04/2020,0,0,0
30,13/04/2020,0,0,0
31,14/04/2020,0,0,0
32,15/04/2020,0,0,0
33,16/04/2020,0,0,0
34,17/04/2020,0,0,0
35,18/04/2020,0,0,0
36,19/04/2020,0,0,0
37,20/04/2020,0,0,0
38,21/04/2020,0,0,0
39,22/04/2020,0,0,0
40,23/04/2020,0,0,0
41,24/04/2020,0,0,0
42,25/04/2020,0,0,0
43,26/04/2020,0,0,0
44,27/04/2020,0,0,0
45,28/04/2020,0,0,0
46,29/04/2020,0,0,0
47,30/04/2020,0,0,0
48,01/05/2020,0,0,0
49,02/05/2020,0,0,0
50,03/05/2020,0,0,0
51,04/05/2020,0,0,0
52,05/05/2020,0,0,0
53,06/05/2020,0,0,0
54,07/05/2020,0,0,0
55,08/05/2020,0,0,0
56,09/05/2020,0,0,0
57,10/05/2020,0,0,0
58,11/05/2020,0,0,0
59,12/05/2020,0,0,0
60,13/05/2020,0,0,0
61,14/05/2020,0,0,0
62,15/05/2020,0,0,0
63,16/05/2020,0,0,0
64,17/05/2020,0,0,0
65,18/05/2020,0,0,0
66,19/05/2020,0,0,0
67,20/05/2020,0,0,0
68,21/05/2020,0,0,0
69,22/05/2020,0,0,0
70,23/05/2020,0,0,0
71,24/05/2020,0,0,0
72,25/05/2020,0,0,0
73,26/05/2020,0,0,0
74,27/05/2020,0,0,0
75,28/05/2020,0,0,0
76,29/05/2020,0,0,0
77,30/05/2020,0,0,0
78,31/05/2020,0,0,0
79,01/06/2020,0,0,0
80,02/06/2020,0,0,0
81,03/06/2020,0,0,0
82,04/06/2020,0,0,0
83,05/06/2020,0,0,0
84,06/06/2020,0,0,0
85,07/06/2020,0,0,0
86,08/06/2020,0,0,0
87,09/06/2020,0,0,0
88,10/06/2020,0,0,0
89,11/06/2020,0,0,0
90,12/06/2020,0,0,0
91,13/06/2020,0,0,0
92,14/06/2020,0,0,0
93,15/06/2020,0,0,0
94,16/06/2020,0,0,0
95,17/06/2020,0,0,0
96,18/06/2020,0,0,0
97,19/06/2020,0,0,0
98,20/06/2020,0,0,0
99,21/06/2020,0,0,0
100,22/06/2020,0,0,0
101,23/06/2020,0,0,0
102,24/06/2020,0,0,0
103,25/06/2020,0,0,0
104,26/06/2020,0,0,0
105,27/06/2020,0,0,0
106,28/06/2020,0,0,0
107,29/06/2020,0,0,0
108,30/06/2020,0,0,0
109,01/07/2020,0,0,0
110,02/07/2020,0,0,0
111,03/07/2020,0,0,0
112,04/07/2020,0,0,0
113,05/07/2020,0,0,0
114,06/07/2020,0,0,0
115,07/07/2020,0,0,0
116,08/07/2020,0,0,0
117,09/07/2020,0,0,0
118,10/07/2020,0,0,0
119,11/07/2020,0,0,0
120,12/07/2020,0,0,0
121,13/07/2020,0,0,0
122,14/07/2020,0,0,0
123,15/07/2020,0,0,0
124,16/07/2020,0,0,0
125,17/07/2020,0,0,0
126,18/07/2020,0,0,0
127,19/07/2020,0,0,0
128,20/07/2020,0,0,0
129,21/07/2020,0,0,0
130,22/07/2020,0,0,0
131,23/07/2020,0,0,0
132,24/07/2020,0,0,0
133,25/07/2020,0,0,0
134,26/07/2020,0,0,0
135,27/07/2020,0,0,0
136,28/07/2020,0,0,0
137,29/07/2020,0,0,0
138,30/07/2020,0,0,0
139,31/07/2020,0,0,0
140,01/08/2020,0,0,0
141,02/08/2020,0,0,0
142,03/08/2020,0,0,0
143,04/08/2020,0,0,0
144,05/08/2020,0,0,0
145,06/08/2020,0,0,0
146,07/08/2020,0,0,0
147,08/08/2020,0,0,0
148,09/08/2020,0,0,0
149,10/08/2020,0,0,0
150,11/08/2020,0,0,0
151,12/08/2020,0,0,0
152,13/08/2020,0,0,0
153,14/08/2020,0,0,0
154,15/08/2020,0,0,0
155,16/08/2020,0,0,0
156,17/08/2020,0,0,0
157,18/08/2020,0,0,0
158,19/08/2020,0,0,0
159,20/08/2020,0,0,0
160,21/08/2020,0,0,0
161,22/08/2020,0,0,0
162,23/08/2020,0,0,0
163,24/08/2020,0,0,0
164,25/08/2020,0,0,0
165,26/08/2020,0,0,0
166,27/08/2020,0,0,0
167,28/08/2020,0,0,0
168,29/08/2020,0,0,0
169,30/08/2020,0,0,0
170,31/08/2020,0,0,0
171,01/09/2020,0,0,0
172,02/09/2020,0,0,0
173,03/09/2020,0,0,0
174,04/09/2020,0,0,0
175,05/09/2020,0,0,0
176,06/09/2020,0,0,0
177,07/09/2020,0,0,0
178,08/09/2020,0,0,0
179,09/09/2020,0,0,0
180,10/09/2020,0,0,0
181,11/09/2020,0,0,0
182,12/09/2020,0,0,0
183,13/09/2020,0,0,0
184,14/09/2020,0,0,0
185,15/09/2020,0,0,0
186,16/09/2020,0,0,0
187,17/09/2020,0,0,0
188,18/09/2020,0,0,0
189,19/09/2020,0,0,0
190,20/09/2020,0,0,0
191,21/09/2020,0,0,0
192,22/09/2020,0,0,0
193,23/09/2020,0,0,0
194,24/09/2020,0,0,0
195,25/09/2020,0,0,0
196,26/09/2020,0,0,0
197,27/09/2020,0,0,0
198,28/09/2020,0,0,0
199,29/09/2020,0,0,0
200,30/09/2020,0,0,0
201,01/10/2020,0,0,0
202,02/10/2020,0,0,0
203,03/10/2020,0,0,0
204,04/10/2020,0,0,0
205,05/10/2020,0,0,0
206,06/10/2020,0,0,0
207,07/10/2020,0,0,0
208,08/10/2020,0,0,0
209,09/10/2020,0,0,0
210,10/10/2020,0,0,0
211,11/10/2020,0,0,0
212,12/10/2020,0,0,0
213,13/10/2020,0,0,0
214,14/10/2020,0,0,0
215,15/10/2020,0,0,0
216,16/10/2020,0,0,0
217,17/10/2020,0,0,0
218,18/10/2020,0,0,0
219,19/10/2020,0,0,0
220,20/10/2020,0,0,0
221,21/10/2020,0,0,0
222,22/10/2020,0,0,0
223,23/10/2020,0,0,0
224,24/10/2020,0,0,0
225,25/10/2020,0,0,0
226,26/10/2020,0,0,0
227,27/10/2020,0,0,0
228,28/10/2020,0,0,0
229,29/10/2020,0,0,0
230,30/10/2020,0,0,0
231,31/10/2020,0,0,0
232,01/11/2020,0,0,0
233,02/11/2020,0,0,0
234,03/11/2020,0,0,0
235,04/11/2020,0,0,0
236,05/11/2020,0,0,0
237,06/11/2020,0,0,0
238,07/11/2020,0,0,0
239,08/11/2020,0,0,0
240,09/11/2020,0,0,0
241,10/11/2020,0,0,0
242,11/11/2020,0,0,0
243,12/11/2020,0,0,0
244,13/11/2020,0,0,0
245,14/11/2020,0,0,0
246,15/11/2020,0,0,0
247,16/11/2020,0,0,0
248,17/11/2020,0,0,0
249,18/11/2020,0,0,0
250,19/11/2020,0,0,0
251,20/11/2020,0,0,0
252,21/11/2020,0,0,0
253,22/11/2020,0,0,0
254,23/11/2020,0,0,0
255,24/11/2020,0,0,0
256,25/11/2020,0,0,0
257,26/11/2020,0,0,0
258,27/11/2020,0,0,0
259,28/11/2020,0,0,0
260,29/11/2020,0,0,0
261,30/11/2020,0,0,0
262,01/12/2020,0,0,0
263,02/12/2020,0,0,0
264,03/12/2020,0,0,0
265,04/12/2020,0,0,0
266,05/12/2020,0,0,0
267,06/12/2020,0,0,0
268,07/12/2020,0,0,0
269,08/12/2020,0,0,0
270,09/12/2020,0,0,0
271,10/12/2020,0,0,0
272,11/12/2020,0,0,0
273,12/12/2020,0,0,0
274,13/12/2020,0,0,0
275,14/12/2020,0,0,0
276,15/12/2020,0,0,0
277,16/12/2020,0,0,0
278,17/12/2020,0,0,0
279,18/12/2020,0,0,0
280,19/12/2020,0,0,0
281,20/12/2020,0,0,0
282,21/12/2020,0,0,0
283,22/12/2020,0,0,0
284,23/12/2020,0,0,0
285,24/12/2020,0,0,0
286,25/12/2020,0,0,0
287,26/12/2020,0,0,0
288,27/12/2020,0,0,0
289,28/12/2020,0,0,0
290,29/12/2020,0,0,0
291,30/12/2020,0,0,0
292,31/12/2020,0,0,0
293,01/01/2021,0,0,0
294,02/01/2021,0,0,0
295,03/01/2021,0,0,0
296,04/01/2021,0,0,0
297,05/01/2021,0,0,0
298,06/01/2021,0,0,0
299,07/01/2021,0,0,0
300,08/01/2021,0,0,0
301,09/01/2021,0,0,0
302,10/01/2021,0,0,0
303,11/01/2021,0,0,0
304,12/01/2021,0,0,0
305,13/01/2021,0,0,0
306,14/01/2021,0,0,0
307,15/01/2021,0,0,0
308,16/01/2021,0,0,0
309,17/01/2021,0,0,0
310,18/01/2021,14,0,0
311,19/01/2021,7,0,0
312,20/01/2021,9,0,0
313,21/01/2021,18,0,0
314,22/01/2021,2,0,0
315,23/01/2021,7,0,0
316,24/01/2021,0,0,0
317,25/01/2021,10,0,0
318,26/01/2021,2,0,0
319,27/01/2021,0,0,0
320,28/01/2021,0,0,0
321,29/01/2021,1,14,0
322,30/01/2021,9,16,0
323,31/01/2021,8,19,0
324,01/02/2021,12,7,0
325,02/02/2021,20,0,0
326,03/02/2021,3,5,0
327,04/02/2021,4,0,0
328,05/02/2021,15,2,0
329,06/02/2021,10,0,0
330,07/02/2021,2,0,0
331,08/02/2021,1,11,0
332,09/02/2021,12,16,0
333,10/02/2021,15,25,0
334,11/02/2021,6,1,0
335,12/02/2021,1,0,0
336,13/02/2021,36,15,0
337,14/02/2021,9,2,0
338,15/02/2021,1,7,0
339,16/02/2021,17,15,0
340,17/02/2021,10,6,0
341,18/02/2021,2,3,0
342,19/02/2021,9,14,0
343,20/02/2021,5,11,0
344,21/02/2021,3,12,0
345,22/02/2021,15,11,0
346,23/02/2021,21,21,0
347,24/02/2021,6,0,0
348,25/02/2021,9,7,1
349,26/02/2021,2,8,0
350,27/02/2021,26,8,0
351,28/02/2021,23,1,0
352,01/03/2021,15,7,0
353,02/03/2021,10,1,0
354,03/03/2021,7,16,0
355,04/03/2021,12,24,0
356,05/03/2021,43,2,0
357,06/03/2021,5,2,0
358,07/03/2021,13,14,0
359,08/03/2021,8,2,0
360,09/03/2021,15,12,0
361,10/03/2021,15,14,0
362,11/03/2021,45,19,0
363,12/03/2021,18,6,0
364,13/03/2021,16,14,0
365,14/03/2021,1,6,0
366,15/03/2021,2,16,0
367,16/03/2021,19,41,0
368,17/03/2021,14,2,0
369,18/03/2021,5,11,0
370,19/03/2021,3,19,0
371,20/03/2021,0,27,0
372,21/03/2021,18,20,0
373,22/03/2021,25,44,0
374,23/03/2021,6,11,0
375,24/03/2021,2,1,0
376,25/03/2021,9,3,0
377,26/03/2021,6,18,0
378,27/03/2021,0,11,0
379,28/03/2021,1,32,0
380,29/03/2021,0,12,0
381,30/03/2021,3,9,0
382,31/03/2021,5,2,0
383,01/04/2021,3,8,0
384,02/04/2021,7,2,0
385,03/04/2021,7,11,0
386,04/04/2021,1,3,0
387,05/04/2021,3,8,0
388,06/04/2021,7,0,0
389,07/04/2021,19,4,0
390,08/04/2021,8,3,0
391,09/04/2021,6,9,0
392,10/04/2021,10,5,0
393,11/04/2021,5,3,0
394,12/04/2021,14,1,0
