,Date,Confirmed,Recovered,Deceased
0,14/03/2020,14,0,0
1,15/03/2020,18,0,0
2,16/03/2020,6,0,0
3,17/03/2020,3,0,1
4,18/03/2020,3,0,0
5,19/03/2020,4,0,0
6,20/03/2020,4,0,0
7,21/03/2020,12,0,0
8,22/03/2020,10,0,1
9,23/03/2020,23,0,0
10,24/03/2020,10,0,0
11,25/03/2020,15,1,0
12,26/03/2020,3,0,1
13,27/03/2020,31,18,1
14,28/03/2020,30,6,2
15,29/03/2020,17,0,1
16,30/03/2020,17,14,2
17,31/03/2020,82,0,1
18,01/04/2020,33,0,3
19,02/04/2020,88,3,8
20,03/04/2020,64,8,5
21,04/04/2020,148,2,6
22,05/04/2020,112,4,13
23,06/04/2020,121,14,7
24,07/04/2020,150,9,12
25,08/04/2020,117,38,8
26,09/04/2020,229,8,25
27,10/04/2020,210,63,12
28,11/04/2020,187,20,17
29,12/04/2020,221,9,22
30,13/04/2020,352,12,11
31,14/04/2020,346,30,18
32,15/04/2020,236,36,9
33,16/04/2020,285,5,7
34,17/04/2020,120,31,7
35,18/04/2020,327,34,10
36,19/04/2020,552,142,12
37,20/04/2020,466,65,9
38,21/04/2020,552,150,19
39,22/04/2020,431,67,18
40,23/04/2020,778,51,14
41,24/04/2020,390,117,18
42,25/04/2020,811,119,22
43,26/04/2020,440,112,19
44,27/04/2020,522,94,27
45,28/04/2020,728,106,31
46,29/04/2020,597,205,32
47,30/04/2020,583,180,27
48,01/05/2020,1008,106,26
49,02/05/2020,790,121,36
50,03/05/2020,678,115,27
51,04/05/2020,1567,350,35
52,05/05/2020,984,354,34
53,06/05/2020,1233,275,34
54,07/05/2020,1216,207,43
55,08/05/2020,1089,169,37
56,09/05/2020,1165,330,48
57,10/05/2020,1943,399,53
58,11/05/2020,1230,587,36
59,12/05/2020,1026,339,53
60,13/05/2020,1495,422,54
61,14/05/2020,1602,542,44
62,15/05/2020,1576,475,49
63,16/05/2020,1606,524,67
64,17/05/2020,2347,600,63
65,18/05/2020,2005,749,51
66,19/05/2020,2078,1202,76
67,20/05/2020,2161,679,65
68,21/05/2020,2345,1408,64
69,22/05/2020,2940,857,63
70,23/05/2020,2608,821,60
71,24/05/2020,3041,1196,58
72,25/05/2020,2436,1186,60
73,26/05/2020,2091,1168,97
74,27/05/2020,2190,964,105
75,28/05/2020,2598,698,85
76,29/05/2020,2682,8381,116
77,30/05/2020,2940,1084,99
78,31/05/2020,2487,1248,89
79,01/06/2020,2358,779,76
80,02/06/2020,2287,1225,103
81,03/06/2020,2560,996,122
82,04/06/2020,2933,1352,123
83,05/06/2020,2436,1466,139
84,06/06/2020,2739,2243,120
85,07/06/2020,3007,1924,91
86,08/06/2020,2554,1661,109
87,09/06/2020,2258,1664,120
88,10/06/2020,3254,1877,149
89,11/06/2020,3607,1562,152
90,12/06/2020,3493,1718,127
91,13/06/2020,3427,1550,113
92,14/06/2020,3390,1632,120
93,15/06/2020,2786,5071,178
94,16/06/2020,2701,1802,1409
95,17/06/2020,3307,1315,114
96,18/06/2020,3752,1672,100
97,19/06/2020,3827,1935,142
98,20/06/2020,3874,1380,91
99,21/06/2020,3870,1591,186
100,22/06/2020,3721,1962,113
101,23/06/2020,3214,1925,248
102,24/06/2020,3889,4161,208
103,25/06/2020,4842,3661,192
104,26/06/2020,5024,2362,175
105,27/06/2020,6368,4430,167
106,28/06/2020,5493,2330,156
107,29/06/2020,5257,2385,181
108,30/06/2020,4878,1951,245
109,01/07/2020,5537,2243,198
110,02/07/2020,6328,8018,125
111,03/07/2020,6364,3515,198
112,04/07/2020,7074,3395,295
113,05/07/2020,6555,3658,151
114,06/07/2020,5368,3522,204
115,07/07/2020,5134,3296,224
116,08/07/2020,6603,4634,198
117,09/07/2020,6875,4067,219
118,10/07/2020,7862,5366,226
119,11/07/2020,8139,4360,223
120,12/07/2020,7827,3340,173
121,13/07/2020,6497,4182,193
122,14/07/2020,6741,4500,213
123,15/07/2020,7975,3606,233
124,16/07/2020,8641,5527,266
125,17/07/2020,8308,2217,258
126,18/07/2020,8348,5306,144
127,19/07/2020,9518,3906,258
128,20/07/2020,8240,5460,176
129,21/07/2020,8336,7188,246
130,22/07/2020,10576,5552,280
131,23/07/2020,9895,6484,298
132,24/07/2020,9615,5714,278
133,25/07/2020,9251,7227,257
134,26/07/2020,9431,6044,267
135,27/07/2020,7924,8706,227
136,28/07/2020,7717,10333,282
137,29/07/2020,9211,7478,298
138,30/07/2020,11147,8860,266
139,31/07/2020,10320,7543,265
140,01/08/2020,9601,10725,322
141,02/08/2020,9509,9926,260
142,03/08/2020,8968,10221,266
143,04/08/2020,7760,12326,300
144,05/08/2020,10309,6165,334
145,06/08/2020,11514,10854,316
146,07/08/2020,10483,10906,300
147,08/08/2020,12822,11081,275
148,09/08/2020,12248,13348,390
149,10/08/2020,9181,6711,293
150,11/08/2020,11088,10014,256
151,12/08/2020,12712,13408,344
152,13/08/2020,11813,9115,413
153,14/08/2020,12608,10484,364
154,15/08/2020,12020,6844,322
155,16/08/2020,11111,8837,288
156,17/08/2020,8493,11391,228
157,18/08/2020,11119,9356,422
158,19/08/2020,13165,9011,346
159,20/08/2020,14647,12243,326
160,21/08/2020,14161,11749,339
161,22/08/2020,14492,9241,297
162,23/08/2020,10441,8157,258
163,24/08/2020,11015,14219,212
164,25/08/2020,10425,12300,329
165,26/08/2020,14888,7637,295
166,27/08/2020,14857,9136,355
167,28/08/2020,14427,11607,331
168,29/08/2020,16286,11541,328
169,30/08/2020,16408,7690,296
170,31/08/2020,11852,11158,184
171,01/09/2020,15765,10978,320
172,02/09/2020,17433,13959,292
173,03/09/2020,18105,13988,391
174,04/09/2020,19218,13289,378
175,05/09/2020,20800,10801,312
176,06/09/2020,23350,7826,328
177,07/09/2020,16429,14922,423
178,08/09/2020,20131,13234,380
179,09/09/2020,23577,13906,380
180,10/09/2020,23446,14253,495
181,11/09/2020,24886,14308,442
182,12/09/2020,22084,13489,391
183,13/09/2020,22543,11549,416
184,14/09/2020,17066,15789,363
185,15/09/2020,20482,19423,515
186,16/09/2020,23365,17559,474
187,17/09/2020,24619,19522,468
188,18/09/2020,21656,22078,440
189,19/09/2020,20519,23501,425
190,20/09/2020,20627,26408,455
191,21/09/2020,15738,32007,344
192,22/09/2020,18390,20206,392
193,23/09/2020,21029,19476,479
194,24/09/2020,19164,17184,459
195,25/09/2020,17794,19592,416
196,26/09/2020,20419,23644,430
197,27/09/2020,18056,13565,380
198,28/09/2020,11921,19932,180
199,29/09/2020,14976,19212,430
200,30/09/2020,18317,19163,481
201,01/10/2020,16476,16104,394
202,02/10/2020,15591,13294,424
203,03/10/2020,14348,16835,278
204,04/10/2020,12548,15048,326
205,05/10/2020,10244,12982,263
206,06/10/2020,12258,17141,370
207,07/10/2020,14578,16715,355
208,08/10/2020,13395,15575,358
209,09/10/2020,12134,17323,302
210,10/10/2020,11416,26440,308
211,11/10/2020,10792,10461,305
212,12/10/2020,7089,15656,169
213,13/10/2020,8522,15356,187
214,14/10/2020,10552,19517,158
215,15/10/2020,10226,13714,337
216,16/10/2020,11447,13885,306
217,17/10/2020,10259,14238,463
218,18/10/2020,9060,11204,150
219,19/10/2020,5984,15069,125
220,20/10/2020,8151,7429,213
221,21/10/2020,8142,23371,180
222,22/10/2020,7539,16177,198
223,23/10/2020,7347,13247,184
224,24/10/2020,6417,10004,137
225,25/10/2020,6059,5648,112
226,26/10/2020,3645,9905,84
227,27/10/2020,5363,7836,115
228,28/10/2020,6738,8430,91
229,29/10/2020,5902,7883,156
230,30/10/2020,6190,8241,127
231,31/10/2020,5548,7303,74
232,01/11/2020,5369,3726,113
233,02/11/2020,4009,10225,104
234,03/11/2020,4909,6973,120
235,04/11/2020,5505,8728,300
236,05/11/2020,5246,11277,256
237,06/11/2020,6870,11060,161
238,07/11/2020,3959,6748,150
239,08/11/2020,5585,8232,125
240,09/11/2020,3277,0,85
241,10/11/2020,3791,10769,110
242,11/11/2020,4907,9164,125
243,12/11/2020,4496,7809,122
244,13/11/2020,4132,4543,127
245,14/11/2020,4237,2707,105
246,15/11/2020,2544,3065,60
247,16/11/2020,2535,3001,60
248,17/11/2020,2732,5123,68
249,18/11/2020,5011,6608,100
250,19/11/2020,5535,5860,154
251,20/11/2020,5640,6945,155
252,21/11/2020,5760,4088,62
253,22/11/2020,5753,4060,50
254,23/11/2020,4153,3729,30
255,24/11/2020,5439,4086,30
256,25/11/2020,6159,4844,65
257,26/11/2020,6406,4815,65
258,27/11/2020,6185,4089,85
259,28/11/2020,5965,3937,88
260,29/11/2020,5544,4362,85
261,30/11/2020,3837,4196,80
262,01/12/2020,4930,6290,95
263,02/12/2020,3350,3796,111
264,03/12/2020,5182,8066,115
265,04/12/2020,5229,6776,127
266,05/12/2020,4922,5834,95
267,06/12/2020,4757,7486,40
268,07/12/2020,3075,7345,40
269,08/12/2020,4026,6365,53
270,09/12/2020,4981,5111,75
271,10/12/2020,3824,5008,70
272,11/12/2020,4268,2774,87
273,12/12/2020,4259,3949,80
274,13/12/2020,3717,3083,70
275,14/12/2020,2949,4610,60
276,15/12/2020,3442,4395,70
277,16/12/2020,-5914,3887,95
278,17/12/2020,3880,4358,65
279,18/12/2020,3994,4467,75
280,19/12/2020,3940,3119,74
281,20/12/2020,3811,2064,98
282,21/12/2020,2834,6053,55
283,22/12/2020,3106,4122,75
284,23/12/2020,3913,7620,93
285,24/12/2020,3580,3171,89
286,25/12/2020,3431,1427,71
287,26/12/2020,2854,1526,60
288,27/12/2020,3314,2124,66
289,28/12/2020,2498,4501,50
290,29/12/2020,3018,5572,68
291,30/12/2020,3537,4913,90
292,31/12/2020,3509,3612,58
293,01/01/2021,3524,4279,59
294,02/01/2021,3218,2110,51
295,03/01/2021,3282,2064,35
296,04/01/2021,4875,10362,29
297,05/01/2021,3160,2828,64
298,06/01/2021,4382,2570,66
299,07/01/2021,3729,3350,72
300,08/01/2021,3693,2890,73
301,09/01/2021,3581,2401,57
302,10/01/2021,3558,2302,34
303,11/01/2021,2438,4286,40
304,12/01/2021,2936,3282,50
305,13/01/2021,3556,3009,70
306,14/01/2021,3579,3309,70
