,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,0,0,0
6,20/03/2020,4,0,0
7,21/03/2020,0,0,0
8,22/03/2020,2,0,0
9,23/03/2020,0,0,0
10,24/03/2020,1,0,0
11,25/03/2020,8,0,1
12,26/03/2020,5,0,0
13,27/03/2020,9,0,1
14,28/03/2020,10,0,0
15,29/03/2020,0,0,0
16,30/03/2020,8,0,2
17,31/03/2020,19,0,1
18,01/04/2020,32,0,1
19,02/04/2020,9,0,2
20,03/04/2020,47,0,0
21,04/04/2020,25,0,3
22,05/04/2020,14,3,2
23,06/04/2020,63,8,2
24,07/04/2020,34,10,6
25,08/04/2020,51,4,3
26,09/04/2020,70,0,9
27,10/04/2020,40,12,4
28,11/04/2020,78,1,4
29,12/04/2020,33,3,3
30,13/04/2020,52,10,7
31,14/04/2020,127,13,3
32,15/04/2020,197,0,0
33,16/04/2020,226,6,2
34,17/04/2020,146,0,14
35,18/04/2020,92,57,0
36,19/04/2020,5,4,3
37,20/04/2020,78,7,4
38,21/04/2020,67,10,4
39,22/04/2020,35,4,0
40,23/04/2020,100,51,3
41,24/04/2020,159,7,9
42,25/04/2020,99,71,7
43,26/04/2020,145,21,4
44,27/04/2020,75,55,7
45,28/04/2020,222,16,10
46,29/04/2020,173,88,10
47,30/04/2020,65,21,7
48,01/05/2020,90,42,8
49,02/05/2020,73,100,6
50,03/05/2020,49,174,5
51,04/05/2020,105,58,9
52,05/05/2020,107,144,11
53,06/05/2020,89,99,9
54,07/05/2020,114,132,8
55,08/05/2020,89,118,7
56,09/05/2020,116,131,11
57,10/05/2020,157,196,4
58,11/05/2020,171,71,6
59,12/05/2020,201,113,4
60,13/05/2020,187,144,7
61,14/05/2020,253,167,5
62,15/05/2020,169,112,2
63,16/05/2020,195,32,4
64,17/05/2020,187,88,5
65,18/05/2020,259,32,4
66,19/05/2020,229,196,6
67,20/05/2020,270,103,9
68,21/05/2020,246,110,4
69,22/05/2020,189,245,1
70,23/05/2020,201,178,9
71,24/05/2020,294,141,9
72,25/05/2020,194,163,10
73,26/05/2020,165,118,5
74,27/05/2020,237,238,8
75,28/05/2020,192,123,8
76,29/05/2020,192,219,13
77,30/05/2020,246,175,9
78,31/05/2020,198,398,7
79,01/06/2020,194,161,8
80,02/06/2020,137,218,6
81,03/06/2020,168,224,7
82,04/06/2020,174,192,6
83,05/06/2020,234,241,7
84,06/06/2020,232,230,15
85,07/06/2020,173,223,13
86,08/06/2020,237,205,2
87,09/06/2020,211,193,6
88,10/06/2020,200,163,7
89,11/06/2020,192,150,4
90,12/06/2020,202,159,9
91,13/06/2020,198,176,7
92,14/06/2020,161,300,12
93,15/06/2020,133,226,6
94,16/06/2020,148,249,11
95,17/06/2020,161,236,6
96,18/06/2020,182,244,4
97,19/06/2020,156,116,9
98,20/06/2020,142,132,6
99,21/06/2020,179,135,14
100,22/06/2020,175,200,6
101,23/06/2020,183,120,4
102,24/06/2020,187,138,9
103,25/06/2020,147,146,8
104,26/06/2020,203,185,4
105,27/06/2020,167,167,4
106,28/06/2020,221,113,7
107,29/06/2020,184,115,7
108,30/06/2020,223,196,8
109,01/07/2020,268,260,9
110,02/07/2020,245,160,8
111,03/07/2020,191,234,4
112,04/07/2020,307,185,5
113,05/07/2020,326,177,10
114,06/07/2020,354,168,9
115,07/07/2020,343,189,5
116,08/07/2020,409,219,7
117,09/07/2020,305,245,5
118,10/07/2020,316,249,4
119,11/07/2020,544,198,6
120,12/07/2020,431,197,9
121,13/07/2020,575,332,10
122,14/07/2020,798,367,10
123,15/07/2020,638,333,9
124,16/07/2020,735,219,7
125,17/07/2020,704,387,9
126,18/07/2020,681,350,8
127,19/07/2020,837,447,15
128,20/07/2020,710,373,17
129,21/07/2020,785,573,18
130,22/07/2020,747,579,14
131,23/07/2020,632,523,10
132,24/07/2020,736,507,11
133,25/07/2020,716,622,8
134,26/07/2020,874,644,12
135,27/07/2020,789,659,9
136,28/07/2020,628,552,10
137,29/07/2020,917,591,14
138,30/07/2020,834,723,13
139,31/07/2020,838,614,10
140,01/08/2020,808,698,9
141,02/08/2020,921,581,10
142,03/08/2020,750,549,14
143,04/08/2020,797,1315,12
144,05/08/2020,652,650,17
145,06/08/2020,830,838,17
146,07/08/2020,734,719,16
147,08/08/2020,859,732,15
148,09/08/2020,868,667,19
149,10/08/2020,866,654,19
150,11/08/2020,843,922,18
151,12/08/2020,870,643,15
152,13/08/2020,1014,596,17
153,14/08/2020,796,570,16
154,15/08/2020,1019,948,13
155,16/08/2020,1022,685,11
156,17/08/2020,930,987,23
157,18/08/2020,990,688,13
158,19/08/2020,976,762,18
159,20/08/2020,1142,1065,12
160,21/08/2020,1147,987,14
161,22/08/2020,1226,872,21
162,23/08/2020,1263,991,23
163,24/08/2020,1292,841,17
164,25/08/2020,1379,1079,19
165,26/08/2020,1064,936,17
166,27/08/2020,1317,1207,24
167,28/08/2020,1252,943,17
168,29/08/2020,1442,1017,22
169,30/08/2020,1558,1054,29
170,31/08/2020,1532,1190,20
171,01/09/2020,1525,1335,32
172,02/09/2020,1424,1132,27
173,03/09/2020,1672,1091,30
174,04/09/2020,1658,1042,30
175,05/09/2020,1636,1392,30
176,06/09/2020,1694,1238,29
177,07/09/2020,1885,1022,17
178,08/09/2020,1864,1600,20
179,09/09/2020,1869,1341,31
180,10/09/2020,2187,1435,21
181,11/09/2020,2240,1651,30
182,12/09/2020,2347,1462,37
183,13/09/2020,2281,1600,34
184,14/09/2020,2483,1713,29
185,15/09/2020,2323,1902,29
186,16/09/2020,2462,1922,24
187,17/09/2020,2391,2863,33
188,18/09/2020,2552,2554,24
189,19/09/2020,2607,2206,42
190,20/09/2020,2579,2216,27
191,21/09/2020,2523,2244,37
192,22/09/2020,2544,2412,28
193,23/09/2020,2346,2138,42
194,24/09/2020,2304,2327,45
195,25/09/2020,2227,2743,30
196,26/09/2020,2311,2252,29
197,27/09/2020,2310,2081,26
198,28/09/2020,1957,2441,35
199,29/09/2020,1877,2433,39
200,30/09/2020,2004,2289,35
201,01/10/2020,2041,2545,20
202,02/10/2020,2019,2332,36
203,03/10/2020,1811,2101,27
204,04/10/2020,1720,2120,35
205,05/10/2020,1460,2046,29
206,06/10/2020,1570,2161,25
207,07/10/2020,1639,2228,30
208,08/10/2020,1715,2420,29
209,09/10/2020,1607,2200,27
210,10/10/2020,1616,2147,25
211,11/10/2020,1575,1985,25
212,12/10/2020,1478,1702,21
213,13/10/2020,1463,1708,26
214,14/10/2020,5515,5729,15
215,15/10/2020,1308,1559,24
216,16/10/2020,1352,1556,25
217,17/10/2020,1222,1434,18
218,18/10/2020,1030,1427,20
219,19/10/2020,1015,1287,13
220,20/10/2020,975,1439,25
221,21/10/2020,1118,1222,17
222,22/10/2020,1045,1271,14
223,23/10/2020,953,1325,13
224,24/10/2020,1004,1268,20
225,25/10/2020,951,1181,10
226,26/10/2020,720,1095,5
227,27/10/2020,514,1010,8
228,28/10/2020,788,1032,15
229,29/10/2020,728,1117,16
230,30/10/2020,691,1074,12
231,31/10/2020,669,1024,10
232,01/11/2020,723,1107,7
233,02/11/2020,635,868,7
234,03/11/2020,667,912,9
235,04/11/2020,707,884,13
236,05/11/2020,734,817,5
237,06/11/2020,778,856,12
238,07/11/2020,865,792,13
239,08/11/2020,891,688,11
240,09/11/2020,809,681,6
241,10/11/2020,900,793,8
242,11/11/2020,883,691,13
243,12/11/2020,1046,692,10
244,13/11/2020,1048,833,11
245,14/11/2020,1012,876,7
246,15/11/2020,870,722,7
247,16/11/2020,597,745,2
248,17/11/2020,922,848,10
249,18/11/2020,1209,918,13
250,19/11/2020,1363,887,14
251,20/11/2020,1528,917,9
252,21/11/2020,1700,899,11
253,22/11/2020,1798,1212,13
254,23/11/2020,1701,1120,10
255,24/11/2020,1766,1112,11
256,25/11/2020,1773,996,14
257,26/11/2020,1668,1199,12
258,27/11/2020,1645,1152,15
259,28/11/2020,1634,1317,13
260,29/11/2020,1514,1508,13
261,30/11/2020,1383,1576,10
262,01/12/2020,1357,1683,10
263,02/12/2020,1439,1838,17
264,03/12/2020,1450,1569,13
265,04/12/2020,1324,1556,14
266,05/12/2020,1352,1449,12
267,06/12/2020,1455,1585,11
268,07/12/2020,1452,1390,10
269,08/12/2020,1345,1497,11
270,09/12/2020,1272,1323,8
271,10/12/2020,1319,1307,7
272,11/12/2020,1222,1347,9
273,12/12/2020,1282,1418,9
274,13/12/2020,1181,1278,13
275,14/12/2020,1058,1084,8
276,15/12/2020,1073,1347,13
277,16/12/2020,1079,1257,8
278,17/12/2020,1161,1326,9
279,18/12/2020,1181,1450,11
280,19/12/2020,1085,1410,15
281,20/12/2020,1069,1274,13
282,21/12/2020,1035,1290,9
283,22/12/2020,1005,1053,12
284,23/12/2020,1007,1223,12
285,24/12/2020,1038,1118,10
286,25/12/2020,1031,1234,12
287,26/12/2020,1006,1129,9
288,27/12/2020,946,1160,18
289,28/12/2020,876,1090,9
290,29/12/2020,853,1122,10
291,30/12/2020,866,1061,13
292,31/12/2020,844,866,11
293,01/01/2021,780,900,12
294,02/01/2021,731,855,9
295,03/01/2021,724,947,14
296,04/01/2021,621,857,7
297,05/01/2021,671,839,14
298,06/01/2021,730,633,8
299,07/01/2021,774,750,12
300,08/01/2021,614,809,9
301,09/01/2021,541,826,10
302,10/01/2021,620,816,10
303,11/01/2021,485,650,7
304,12/01/2021,471,615,8
305,13/01/2021,456,655,6
306,14/01/2021,420,598,8
307,15/01/2021,429,574,6
308,16/01/2021,365,793,5
309,17/01/2021,355,478,2
310,18/01/2021,304,540,3
311,19/01/2021,304,725,7
312,20/01/2021,280,997,7
313,21/01/2021,301,704,6
314,22/01/2021,347,463,4
315,23/01/2021,291,454,6
316,24/01/2021,252,388,3
317,25/01/2021,200,861,2
318,26/01/2021,228,515,2
319,27/01/2021,185,345,6
320,28/01/2021,226,321,3
321,29/01/2021,171,297,3
322,30/01/2021,219,283,2
323,31/01/2021,226,318,3
324,01/02/2021,151,260,2
325,02/02/2021,168,296,3
326,03/02/2021,258,250,1
327,04/02/2021,166,263,2
328,05/02/2021,162,299,1
329,06/02/2021,197,315,1
330,07/02/2021,184,217,0
331,08/02/2021,193,190,3
332,09/02/2021,167,219,2
333,10/02/2021,141,175,2
334,11/02/2021,169,199,1
335,12/02/2021,161,218,1
336,13/02/2021,194,227,0
337,14/02/2021,223,205,5
338,15/02/2021,203,194,4
339,16/02/2021,233,221,3
340,17/02/2021,251,243,1
341,18/02/2021,241,193,2
342,19/02/2021,297,250,2
343,20/02/2021,257,213,4
344,21/02/2021,299,238,4
345,22/02/2021,294,241,0
346,23/02/2021,246,200,1
347,24/02/2021,346,223,2
348,25/02/2021,368,201,2
349,26/02/2021,332,246,3
350,27/02/2021,390,241,1
351,28/02/2021,363,243,1
352,01/03/2021,336,219,1
353,02/03/2021,331,259,0
354,03/03/2021,417,293,0
355,04/03/2021,440,228,1
356,05/03/2021,457,308,0
357,06/03/2021,467,395,2
358,07/03/2021,429,347,3
359,08/03/2021,427,394,1
360,09/03/2021,457,382,2
361,10/03/2021,516,309,3
362,11/03/2021,530,347,4
363,12/03/2021,603,360,2
364,13/03/2021,675,496,2
365,14/03/2021,743,513,2
366,15/03/2021,797,510,3
367,16/03/2021,817,554,1
368,17/03/2021,832,500,2
369,18/03/2021,917,500,1
370,19/03/2021,1140,556,7
371,20/03/2021,1308,571,2
372,21/03/2021,1322,663,3
373,22/03/2021,1348,754,2
374,23/03/2021,1502,798,4
375,24/03/2021,1712,950,7
376,25/03/2021,1885,919,9
377,26/03/2021,2091,1048,9
378,27/03/2021,2142,1175,10
