,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,1,0,0
3,17/03/2020,0,0,0
4,18/03/2020,1,0,0
5,19/03/2020,0,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,0,0,0
10,24/03/2020,0,0,0
11,25/03/2020,0,0,0
12,26/03/2020,1,0,0
13,27/03/2020,0,0,0
14,28/03/2020,0,0,0
15,29/03/2020,0,0,0
16,30/03/2020,0,0,0
17,31/03/2020,1,0,0
18,01/04/2020,1,1,0
19,02/04/2020,0,0,0
20,03/04/2020,15,1,0
21,04/04/2020,1,0,0
22,05/04/2020,18,0,0
23,06/04/2020,1,0,0
24,07/04/2020,2,0,1
25,08/04/2020,0,0,0
26,09/04/2020,6,0,0
27,10/04/2020,2,10,0
28,11/04/2020,4,0,0
29,12/04/2020,0,0,0
30,13/04/2020,1,6,0
31,14/04/2020,5,0,0
32,15/04/2020,0,1,0
33,16/04/2020,0,0,0
34,17/04/2020,0,2,0
35,18/04/2020,1,3,0
36,19/04/2020,0,0,0
37,20/04/2020,13,0,0
38,21/04/2020,5,6,0
39,22/04/2020,4,2,0
40,23/04/2020,6,1,0
41,24/04/2020,5,0,0
42,25/04/2020,6,1,0
43,26/04/2020,3,1,0
44,27/04/2020,15,2,0
45,28/04/2020,0,1,0
46,29/04/2020,7,1,0
47,30/04/2020,18,2,0
48,01/05/2020,11,14,0
49,02/05/2020,6,1,0
50,03/05/2020,2,4,0
51,04/05/2020,7,0,0
52,05/05/2020,8,0,1
53,06/05/2020,28,1,0
54,07/05/2020,14,1,0
55,08/05/2020,51,1,0
56,09/05/2020,82,5,1
57,10/05/2020,25,0,0
58,11/05/2020,38,17,0
59,12/05/2020,22,31,0
60,13/05/2020,101,27,0
61,14/05/2020,134,15,0
62,15/05/2020,65,8,0
63,16/05/2020,0,30,0
64,17/05/2020,91,24,1
65,18/05/2020,48,57,0
66,19/05/2020,102,30,1
67,20/05/2020,74,36,1
68,21/05/2020,51,50,1
69,22/05/2020,86,43,0
70,23/05/2020,80,61,0
71,24/05/2020,67,53,0
72,25/05/2020,102,99,0
73,26/05/2020,79,84,0
74,27/05/2020,76,79,0
75,28/05/2020,67,75,0
76,29/05/2020,63,90,2
77,30/05/2020,96,73,0
78,31/05/2020,129,76,0
79,01/06/2020,156,119,0
80,02/06/2020,141,80,0
81,03/06/2020,143,91,0
82,04/06/2020,90,65,0
83,05/06/2020,130,123,1
84,06/06/2020,173,112,0
85,07/06/2020,75,178,1
86,08/06/2020,138,99,0
87,09/06/2020,146,140,0
88,10/06/2020,110,149,0
89,11/06/2020,136,72,1
90,12/06/2020,112,120,1
91,13/06/2020,225,120,0
92,14/06/2020,186,114,1
93,15/06/2020,146,146,0
94,16/06/2020,108,120,0
95,17/06/2020,175,73,0
96,18/06/2020,174,97,0
97,19/06/2020,165,153,0
98,20/06/2020,179,237,1
99,21/06/2020,304,186,4
100,22/06/2020,143,143,2
101,23/06/2020,167,125,3
102,24/06/2020,282,135,0
103,25/06/2020,210,168,0
104,26/06/2020,218,131,0
105,27/06/2020,170,184,1
106,28/06/2020,264,137,3
107,29/06/2020,245,203,2
108,30/06/2020,206,243,2
109,01/07/2020,251,164,1
110,02/07/2020,229,149,2
111,03/07/2020,561,203,2
112,04/07/2020,495,229,6
113,05/07/2020,469,290,3
114,06/07/2020,456,262,2
115,07/07/2020,571,217,6
116,08/07/2020,527,303,7
117,09/07/2020,577,401,6
118,10/07/2020,755,565,6
119,11/07/2020,570,388,6
120,12/07/2020,595,390,5
121,13/07/2020,616,505,7
122,14/07/2020,543,609,5
123,15/07/2020,618,612,5
124,16/07/2020,494,401,2
125,17/07/2020,718,453,6
126,18/07/2020,591,607,3
127,19/07/2020,736,516,7
128,20/07/2020,673,457,6
129,21/07/2020,647,400,8
130,22/07/2020,1078,440,6
131,23/07/2020,1264,643,6
132,24/07/2020,1594,808,8
133,25/07/2020,1320,728,10
134,26/07/2020,1376,864,11
135,27/07/2020,1503,581,7
136,28/07/2020,1215,687,8
137,29/07/2020,1068,878,6
138,30/07/2020,1203,807,10
139,31/07/2020,1499,772,9
140,01/08/2020,1602,756,11
141,02/08/2020,1434,681,11
142,03/08/2020,1384,1119,12
143,04/08/2020,1384,1409,10
144,05/08/2020,1337,1255,11
145,06/08/2020,1699,1150,11
146,07/08/2020,1833,1810,12
147,08/08/2020,1643,1544,15
148,09/08/2020,1734,1543,14
149,10/08/2020,1528,1236,16
150,11/08/2020,1341,1785,12
151,12/08/2020,1876,1673,9
152,13/08/2020,1981,1422,9
153,14/08/2020,1977,1305,10
154,15/08/2020,2496,1521,9
155,16/08/2020,2924,1550,10
156,17/08/2020,2244,1503,10
157,18/08/2020,2239,1535,9
158,19/08/2020,2589,1621,10
159,20/08/2020,2898,1641,8
160,21/08/2020,2698,1927,10
161,22/08/2020,2819,1773,9
162,23/08/2020,2993,2129,10
163,24/08/2020,2949,2519,10
164,25/08/2020,2752,2545,9
165,26/08/2020,3371,3343,13
166,27/08/2020,3384,2510,7
167,28/08/2020,3682,2503,8
168,29/08/2020,3252,2888,14
169,30/08/2020,3014,2519,12
170,31/08/2020,2602,4053,10
171,01/09/2020,3025,3484,11
172,02/09/2020,3219,3303,11
173,03/09/2020,3631,3278,8
174,04/09/2020,3267,2980,9
175,05/09/2020,3543,3443,7
176,06/09/2020,3810,2590,8
177,07/09/2020,3861,3034,10
178,08/09/2020,3490,2787,13
179,09/09/2020,3748,3110,11
180,10/09/2020,3991,2706,11
181,11/09/2020,3996,4061,14
182,12/09/2020,3777,3217,11
183,13/09/2020,3913,3363,10
184,14/09/2020,4198,3382,11
185,15/09/2020,3645,3714,8
186,16/09/2020,4270,4121,11
187,17/09/2020,4241,3607,13
188,18/09/2020,4180,4101,13
189,19/09/2020,4209,4090,9
190,20/09/2020,4330,4018,10
191,21/09/2020,4242,3704,9
192,22/09/2020,4189,3834,11
193,23/09/2020,4237,4052,15
194,24/09/2020,4340,3779,16
195,25/09/2020,4208,4388,15
196,26/09/2020,4356,4761,16
197,27/09/2020,3922,3378,14
198,28/09/2020,3235,4014,16
199,29/09/2020,3067,3896,15
200,30/09/2020,3443,4219,14
201,01/10/2020,3615,4380,17
202,02/10/2020,3600,4048,16
203,03/10/2020,3053,4066,17
204,04/10/2020,3326,4108,15
205,05/10/2020,2617,4098,17
206,06/10/2020,2673,3817,16
207,07/10/2020,2995,3455,18
208,08/10/2020,3144,3312,16
209,09/10/2020,2697,3404,17
210,10/10/2020,2854,3885,15
211,11/10/2020,2546,3342,16
212,12/10/2020,2423,2577,18
213,13/10/2020,2275,2796,17
214,14/10/2020,2604,2775,15
215,15/10/2020,2470,2772,17
216,16/10/2020,2138,2850,15
217,17/10/2020,2196,2842,17
218,18/10/2020,2019,2610,14
219,19/10/2020,1982,2738,17
220,20/10/2020,1904,2622,16
221,21/10/2020,1931,2716,13
222,22/10/2020,1913,2128,15
223,23/10/2020,1793,2377,18
224,24/10/2020,1695,2613,15
225,25/10/2020,1633,2071,16
226,26/10/2020,1480,2003,14
227,27/10/2020,1247,2010,13
228,28/10/2020,1540,2015,12
229,29/10/2020,1617,1908,13
230,30/10/2020,1547,1800,11
231,31/10/2020,1470,1911,12
232,01/11/2020,1709,1815,11
233,02/11/2020,1389,1527,9
234,03/11/2020,1201,1462,12
235,04/11/2020,1474,1520,12
236,05/11/2020,1385,1460,14
237,06/11/2020,1494,1641,15
238,07/11/2020,1372,1683,17
239,08/11/2020,1434,1311,15
240,09/11/2020,1219,1521,16
241,10/11/2020,987,1448,13
242,11/11/2020,1220,1340,15
243,12/11/2020,986,1264,14
244,13/11/2020,1018,1504,12
245,14/11/2020,902,1271,15
246,15/11/2020,753,1346,17
247,16/11/2020,749,1297,16
248,17/11/2020,644,1315,17
249,18/11/2020,868,1303,15
250,19/11/2020,868,1019,17
251,20/11/2020,757,1101,16
252,21/11/2020,778,1011,17
253,22/11/2020,638,905,15
254,23/11/2020,668,913,17
255,24/11/2020,642,648,14
256,25/11/2020,730,728,16
257,26/11/2020,644,737,17
258,27/11/2020,594,908,14
259,28/11/2020,550,802,12
260,29/11/2020,518,707,4
261,30/11/2020,418,809,5
262,01/12/2020,378,669,5
263,02/12/2020,480,660,6
264,03/12/2020,434,629,5
265,04/12/2020,377,642,5
266,05/12/2020,409,605,5
267,06/12/2020,393,570,6
268,07/12/2020,368,607,7
269,08/12/2020,349,523,6
270,09/12/2020,386,442,5
271,10/12/2020,343,458,5
272,11/12/2020,387,408,4
273,12/12/2020,335,405,4
274,13/12/2020,393,386,5
275,14/12/2020,332,389,4
276,15/12/2020,300,392,4
277,16/12/2020,407,358,5
278,17/12/2020,351,376,5
279,18/12/2020,358,363,4
280,19/12/2020,356,362,3
281,20/12/2020,372,338,4
282,21/12/2020,363,309,3
283,22/12/2020,319,388,4
284,23/12/2020,364,304,3
285,24/12/2020,263,324,4
286,25/12/2020,325,406,3
287,26/12/2020,334,371,4
288,27/12/2020,303,319,4
289,28/12/2020,234,324,3
290,29/12/2020,263,383,4
291,30/12/2020,305,328,3
292,31/12/2020,315,329,2
293,01/01/2021,245,301,3
294,02/01/2021,251,232,4
295,03/01/2021,192,244,3
296,04/01/2021,183,298,2
297,05/01/2021,198,271,2
298,06/01/2021,231,230,0
299,07/01/2021,230,282,1
300,08/01/2021,245,244,2
301,09/01/2021,206,269,1
302,10/01/2021,260,240,0
303,11/01/2021,244,228,1
304,12/01/2021,225,181,2
305,13/01/2021,210,170,1
306,14/01/2021,222,210,1
307,15/01/2021,186,256,2
308,16/01/2021,178,230,1
309,17/01/2021,183,228,1
310,18/01/2021,134,255,1
311,19/01/2021,122,250,1
312,20/01/2021,157,270,0
313,21/01/2021,143,224,1
314,22/01/2021,154,212,0
315,23/01/2021,130,205,1
316,24/01/2021,150,182,1
317,25/01/2021,130,140,1
318,26/01/2021,99,143,0
319,27/01/2021,138,108,0
320,28/01/2021,113,132,0
321,29/01/2021,70,157,0
322,30/01/2021,108,138,0
323,31/01/2021,114,141,0
324,01/02/2021,79,136,0
325,02/02/2021,60,138,0
326,03/02/2021,71,122,0
327,04/02/2021,87,112,1
328,05/02/2021,97,122,1
329,06/02/2021,82,109,1
330,07/02/2021,72,106,0
331,08/02/2021,72,83,1
332,09/02/2021,105,108,0
333,10/02/2021,92,81,0
334,11/02/2021,95,60,0
335,12/02/2021,58,71,0
336,13/02/2021,59,100,0
337,14/02/2021,73,103,0
338,15/02/2021,88,83,1
339,16/02/2021,60,63,1
340,17/02/2021,75,88,0
341,18/02/2021,63,100,1
342,19/02/2021,53,92,1
343,20/02/2021,65,73,0
344,21/02/2021,58,54,0
345,22/02/2021,69,59,0
346,23/02/2021,62,77,0
347,24/02/2021,68,90,0
348,25/02/2021,89,67,1
349,26/02/2021,94,63,0
350,27/02/2021,86,56,0
351,28/02/2021,87,52,1
352,01/03/2021,86,76,0
353,02/03/2021,74,56,1
354,03/03/2021,97,64,0
355,04/03/2021,81,71,0
356,05/03/2021,91,64,0
357,06/03/2021,54,88,0
358,07/03/2021,70,90,0
359,08/03/2021,59,88,0
360,09/03/2021,57,82,0
361,10/03/2021,69,72,0
362,11/03/2021,63,86,0
363,12/03/2021,64,91,1
364,13/03/2021,65,70,0
365,14/03/2021,71,91,0
366,15/03/2021,66,70,0
367,16/03/2021,65,66,0
368,17/03/2021,82,61,0
369,18/03/2021,84,66,0
370,19/03/2021,110,71,0
371,20/03/2021,120,72,0
372,21/03/2021,98,58,1
373,22/03/2021,146,82,0
374,23/03/2021,113,60,0
375,24/03/2021,170,71,0
376,25/03/2021,214,72,0
377,26/03/2021,234,73,0
378,27/03/2021,210,89,1
379,28/03/2021,290,120,0
