,Date,Confirmed,Recovered,Deceased
0,14/03/2020,1,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,1,0,0
5,19/03/2020,0,0,1
6,20/03/2020,1,0,0
7,21/03/2020,10,0,0
8,22/03/2020,8,0,0
9,23/03/2020,2,0,0
10,24/03/2020,6,0,0
11,25/03/2020,2,0,0
12,26/03/2020,2,0,0
13,27/03/2020,5,1,0
14,28/03/2020,0,0,0
15,29/03/2020,0,0,0
16,30/03/2020,3,0,2
17,31/03/2020,1,0,1
18,01/04/2020,4,0,0
19,02/04/2020,1,0,1
20,03/04/2020,6,0,0
21,04/04/2020,12,2,0
22,05/04/2020,3,1,2
23,06/04/2020,11,0,0
24,07/04/2020,20,10,1
25,08/04/2020,7,0,1
26,09/04/2020,24,4,1
27,10/04/2020,21,2,1
28,11/04/2020,7,0,1
29,12/04/2020,12,3,0
30,13/04/2020,6,2,0
31,14/04/2020,8,2,1
32,15/04/2020,2,0,0
33,16/04/2020,11,2,1
34,17/04/2020,14,1,0
35,18/04/2020,23,1,2
36,19/04/2020,10,6,0
37,20/04/2020,1,1,0
38,21/04/2020,6,11,0
39,22/04/2020,27,4,0
40,23/04/2020,5,13,1
41,24/04/2020,15,4,0
42,25/04/2020,10,2,0
43,26/04/2020,14,12,1
44,27/04/2020,8,14,1
45,28/04/2020,12,3,0
46,29/04/2020,33,0,0
47,30/04/2020,105,3,1
48,01/05/2020,105,4,0
49,02/05/2020,187,4,0
50,03/05/2020,330,5,1
51,04/05/2020,130,11,2
52,05/05/2020,219,5,2
53,06/05/2020,75,2,2
54,07/05/2020,118,14,1
55,08/05/2020,87,3,1
56,09/05/2020,31,5,2
57,10/05/2020,61,9,0
58,11/05/2020,54,2,0
59,12/05/2020,37,3,1
60,13/05/2020,10,29,0
61,14/05/2020,11,23,0
62,15/05/2020,-3,82,0
63,16/05/2020,14,952,0
64,17/05/2020,18,109,3
65,18/05/2020,16,181,2
66,19/05/2020,22,95,1
67,20/05/2020,3,152,0
68,21/05/2020,23,25,1
69,22/05/2020,1,28,0
70,23/05/2020,16,23,0
71,24/05/2020,15,28,1
72,25/05/2020,21,15,0
73,26/05/2020,25,5,0
74,27/05/2020,33,0,0
75,28/05/2020,19,28,0
76,29/05/2020,39,3,2
77,30/05/2020,36,18,2
78,31/05/2020,30,20,1
79,01/06/2020,38,13,-1
80,02/06/2020,41,17,2
81,03/06/2020,34,12,1
82,04/06/2020,39,14,0
83,05/06/2020,46,26,1
84,06/06/2020,54,23,2
85,07/06/2020,93,14,1
86,08/06/2020,55,22,2
87,09/06/2020,56,39,2
88,10/06/2020,86,65,0
89,11/06/2020,82,27,4
90,12/06/2020,99,23,4
91,13/06/2020,77,45,2
92,14/06/2020,77,29,2
93,15/06/2020,127,87,4
94,16/06/2020,104,18,1
95,17/06/2020,126,77,6
96,18/06/2020,118,32,5
97,19/06/2020,217,66,9
98,20/06/2020,120,42,6
99,21/06/2020,122,22,1
100,22/06/2020,161,125,2
101,23/06/2020,162,222,4
102,24/06/2020,230,52,8
103,25/06/2020,142,93,7
104,26/06/2020,188,9,2
105,27/06/2020,99,119,6
106,28/06/2020,160,206,5
107,29/06/2020,202,238,5
108,30/06/2020,150,103,6
109,01/07/2020,100,122,5
110,02/07/2020,116,155,3
111,03/07/2020,153,122,5
112,04/07/2020,172,40,5
113,05/07/2020,174,102,2
114,06/07/2020,208,86,5
115,07/07/2020,258,60,6
116,08/07/2020,158,274,3
117,09/07/2020,233,117,5
118,10/07/2020,217,72,4
119,11/07/2020,230,23,8
120,12/07/2020,234,352,4
121,13/07/2020,357,194,5
122,14/07/2020,333,77,9
123,15/07/2020,288,204,8
124,16/07/2020,295,410,9
125,17/07/2020,348,96,9
126,18/07/2020,350,81,7
127,19/07/2020,308,81,8
128,20/07/2020,410,583,8
129,21/07/2020,379,271,1
130,22/07/2020,412,252,6
131,23/07/2020,438,100,8
132,24/07/2020,477,355,5
133,25/07/2020,468,201,9
134,26/07/2020,534,513,15
135,27/07/2020,551,254,12
136,28/07/2020,609,688,18
137,29/07/2020,568,461,25
138,30/07/2020,510,296,9
139,31/07/2020,663,225,16
140,01/08/2020,944,341,19
141,02/08/2020,790,391,18
142,03/08/2020,674,416,19
143,04/08/2020,488,609,20
144,05/08/2020,841,452,29
145,06/08/2020,1035,716,26
146,07/08/2020,1039,381,22
147,08/08/2020,998,820,23
148,09/08/2020,975,459,24
149,10/08/2020,986,416,18
150,11/08/2020,1000,1055,32
151,12/08/2020,1020,422,39
152,13/08/2020,1027,627,31
153,14/08/2020,1077,489,25
154,15/08/2020,1028,535,40
155,16/08/2020,1165,568,41
156,17/08/2020,1489,749,50
157,18/08/2020,1705,1582,36
158,19/08/2020,1683,941,22
159,20/08/2020,1741,334,37
160,21/08/2020,1503,856,34
161,22/08/2020,1316,409,45
162,23/08/2020,1136,2226,50
163,24/08/2020,1505,1829,43
164,25/08/2020,1293,788,49
165,26/08/2020,1513,1086,41
166,27/08/2020,1746,741,37
167,28/08/2020,1542,2036,51
168,29/08/2020,1470,1083,41
169,30/08/2020,1678,1656,56
170,31/08/2020,1466,1280,49
171,01/09/2020,1516,1120,59
172,02/09/2020,1481,1595,106
173,03/09/2020,1526,1529,72
174,04/09/2020,1498,1272,49
175,05/09/2020,1514,1306,69
176,06/09/2020,1946,1606,54
177,07/09/2020,2110,1565,61
178,08/09/2020,1964,2307,67
179,09/09/2020,2137,1231,71
180,10/09/2020,2459,1348,88
181,11/09/2020,2473,1402,63
182,12/09/2020,2441,2077,76
183,13/09/2020,2622,2151,68
184,14/09/2020,2421,1448,67
185,15/09/2020,2382,1830,91
186,16/09/2020,2702,2756,78
187,17/09/2020,2848,2248,54
188,18/09/2020,2774,2640,60
189,19/09/2020,2723,1915,51
190,20/09/2020,2160,2225,56
191,21/09/2020,2241,2811,47
192,22/09/2020,1411,1718,66
193,23/09/2020,2123,2117,64
194,24/09/2020,1756,2231,76
195,25/09/2020,1876,2550,68
196,26/09/2020,1588,1988,54
197,27/09/2020,1422,2299,50
198,28/09/2020,1269,2033,46
199,29/09/2020,1085,1932,75
200,30/09/2020,1426,1389,47
201,01/10/2020,1265,2271,45
202,02/10/2020,1062,1840,50
203,03/10/2020,1106,1691,61
204,04/10/2020,838,1509,41
205,05/10/2020,1029,1671,38
206,06/10/2020,830,1707,38
207,07/10/2020,852,1230,33
208,08/10/2020,848,1615,29
209,09/10/2020,743,1333,32
210,10/10/2020,858,1234,25
211,11/10/2020,656,1098,35
212,12/10/2020,562,1552,27
213,13/10/2020,676,688,34
214,14/10/2020,549,970,31
215,15/10/2020,470,1111,29
216,16/10/2020,507,979,26
217,17/10/2020,417,760,19
218,18/10/2020,476,958,13
219,19/10/2020,473,884,17
220,20/10/2020,487,891,8
221,21/10/2020,498,562,23
222,22/10/2020,605,935,12
223,23/10/2020,464,580,23
224,24/10/2020,483,521,12
225,25/10/2020,415,465,10
226,26/10/2020,336,326,8
227,27/10/2020,346,463,13
228,28/10/2020,526,356,20
229,29/10/2020,464,427,10
230,30/10/2020,431,577,19
231,31/10/2020,500,328,16
232,01/11/2020,317,368,11
233,02/11/2020,396,395,13
234,03/11/2020,415,354,18
235,04/11/2020,527,268,14
236,05/11/2020,521,349,22
237,06/11/2020,647,372,14
238,07/11/2020,477,517,15
239,08/11/2020,487,396,8
240,09/11/2020,554,510,20
241,10/11/2020,486,362,20
242,11/11/2020,699,460,31
243,12/11/2020,685,469,23
244,13/11/2020,736,388,16
245,14/11/2020,0,0,0
246,15/11/2020,1053,1025,30
247,16/11/2020,424,570,22
248,17/11/2020,515,265,30
249,18/11/2020,798,651,31
250,19/11/2020,782,510,15
251,20/11/2020,818,492,16
252,21/11/2020,672,592,23
253,22/11/2020,679,497,19
254,23/11/2020,711,731,17
255,24/11/2020,608,439,22
256,25/11/2020,770,444,31
257,26/11/2020,843,467,26
258,27/11/2020,808,541,27
259,28/11/2020,719,576,28
260,29/11/2020,733,664,15
261,30/11/2020,553,572,27
262,01/12/2020,618,812,14
263,02/12/2020,599,518,21
