,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,1,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,0,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,0,0,0
10,24/03/2020,0,0,0
11,25/03/2020,0,0,0
12,26/03/2020,0,0,0
13,27/03/2020,0,0,0
14,28/03/2020,0,0,0
15,29/03/2020,0,0,0
16,30/03/2020,0,0,0
17,31/03/2020,0,0,0
18,01/04/2020,2,0,0
19,02/04/2020,2,0,0
20,03/04/2020,0,0,0
21,04/04/2020,0,0,0
22,05/04/2020,0,0,0
23,06/04/2020,0,0,0
24,07/04/2020,0,1,0
25,08/04/2020,0,0,0
26,09/04/2020,0,0,0
27,10/04/2020,2,0,0
28,11/04/2020,0,0,0
29,12/04/2020,0,0,0
30,13/04/2020,0,0,0
31,14/04/2020,0,0,0
32,15/04/2020,0,0,0
33,16/04/2020,0,0,0
34,17/04/2020,0,0,0
35,18/04/2020,0,3,0
36,19/04/2020,0,0,0
37,20/04/2020,0,0,0
38,21/04/2020,0,0,0
39,22/04/2020,0,0,0
40,23/04/2020,0,0,0
41,24/04/2020,0,0,0
42,25/04/2020,1,0,0
43,26/04/2020,0,0,0
44,27/04/2020,0,1,0
45,28/04/2020,0,0,0
46,29/04/2020,0,0,0
47,30/04/2020,0,0,0
48,01/05/2020,0,0,0
49,02/05/2020,1,0,0
50,03/05/2020,0,1,0
51,04/05/2020,0,0,0
52,05/05/2020,0,0,0
53,06/05/2020,0,0,0
54,07/05/2020,0,0,0
55,08/05/2020,1,2,0
56,09/05/2020,0,0,0
57,10/05/2020,2,1,0
58,11/05/2020,0,0,0
59,12/05/2020,0,0,0
60,13/05/2020,1,0,0
61,14/05/2020,3,0,0
62,15/05/2020,0,0,0
63,16/05/2020,1,0,0
64,17/05/2020,0,0,0
65,18/05/2020,0,0,0
66,19/05/2020,5,1,0
67,20/05/2020,1,0,0
68,21/05/2020,0,0,0
69,22/05/2020,3,0,0
70,23/05/2020,0,0,0
71,24/05/2020,15,2,0
72,25/05/2020,8,5,0
73,26/05/2020,0,0,0
74,27/05/2020,0,0,0
75,28/05/2020,4,0,0
76,29/05/2020,4,6,0
77,30/05/2020,0,0,0
78,31/05/2020,13,2,0
79,01/06/2020,9,0,0
80,02/06/2020,0,0,0
81,03/06/2020,11,8,0
82,04/06/2020,9,4,0
83,05/06/2020,5,6,0
84,06/06/2020,3,5,0
85,07/06/2020,12,1,0
86,08/06/2020,9,4,0
87,09/06/2020,4,2,0
88,10/06/2020,12,5,0
89,11/06/2020,13,7,2
90,12/06/2020,6,9,1
91,13/06/2020,13,6,0
92,14/06/2020,18,9,1
93,15/06/2020,8,4,0
94,16/06/2020,14,4,0
95,17/06/2020,29,10,1
96,18/06/2020,26,7,1
97,19/06/2020,16,2,1
98,20/06/2020,51,13,0
99,21/06/2020,28,9,1
100,22/06/2020,17,9,0
101,23/06/2020,19,16,1
102,24/06/2020,59,11,0
103,25/06/2020,41,11,0
104,26/06/2020,32,16,0
105,27/06/2020,85,18,1
106,28/06/2020,29,31,1
107,29/06/2020,42,10,0
108,30/06/2020,24,10,1
109,01/07/2020,25,29,0
110,02/07/2020,63,30,0
111,03/07/2020,22,53,1
112,04/07/2020,80,21,1
113,05/07/2020,42,43,0
114,06/07/2020,65,32,0
115,07/07/2020,32,37,0
116,08/07/2020,110,67,0
117,09/07/2020,49,35,2
118,10/07/2020,72,18,1
119,11/07/2020,65,53,1
120,12/07/2020,81,49,0
121,13/07/2020,50,46,0
122,14/07/2020,63,44,0
123,15/07/2020,65,60,3
124,16/07/2020,147,58,1
125,17/07/2020,89,67,3
126,18/07/2020,58,48,3
127,19/07/2020,109,92,0
128,20/07/2020,93,111,1
129,21/07/2020,87,53,1
130,22/07/2020,121,51,1
131,23/07/2020,120,31,3
132,24/07/2020,95,83,1
133,25/07/2020,139,78,3
134,26/07/2020,133,84,2
135,27/07/2020,85,75,3
136,28/07/2020,139,62,4
137,29/07/2020,166,92,0
138,30/07/2020,121,84,1
139,31/07/2020,174,142,1
140,01/08/2020,134,98,2
141,02/08/2020,200,111,1
142,03/08/2020,176,102,4
143,04/08/2020,165,126,2
144,05/08/2020,286,131,7
145,06/08/2020,188,140,5
146,07/08/2020,241,106,5
147,08/08/2020,261,140,5
148,09/08/2020,259,147,7
149,10/08/2020,242,154,2
150,11/08/2020,276,177,2
151,12/08/2020,481,144,5
152,13/08/2020,299,152,6
153,14/08/2020,315,181,4
154,15/08/2020,359,215,0
155,16/08/2020,378,219,4
156,17/08/2020,297,184,4
157,18/08/2020,367,282,9
158,19/08/2020,356,403,6
159,20/08/2020,540,322,8
160,21/08/2020,302,300,6
161,22/08/2020,518,373,8
162,23/08/2020,410,350,8
163,24/08/2020,337,285,5
164,25/08/2020,567,331,8
165,26/08/2020,504,213,8
166,27/08/2020,504,275,10
167,28/08/2020,590,319,9
168,29/08/2020,532,431,12
169,30/08/2020,571,457,10
170,31/08/2020,284,366,7
171,01/09/2020,355,341,12
172,02/09/2020,391,293,13
173,03/09/2020,424,311,7
174,04/09/2020,591,395,20
175,05/09/2020,394,433,18
176,06/09/2020,466,525,16
177,07/09/2020,284,503,11
178,08/09/2020,433,446,12
179,09/09/2020,335,386,10
180,10/09/2020,452,422,6
181,11/09/2020,490,394,12
182,12/09/2020,419,445,5
183,13/09/2020,388,342,15
184,14/09/2020,393,457,9
185,15/09/2020,375,495,11
186,16/09/2020,510,401,13
187,17/09/2020,317,330,13
188,18/09/2020,485,462,6
189,19/09/2020,543,494,11
190,20/09/2020,467,347,10
191,21/09/2020,268,509,9
192,22/09/2020,493,389,6
193,23/09/2020,543,439,8
194,24/09/2020,668,418,6
195,25/09/2020,594,470,7
196,26/09/2020,543,424,6
197,27/09/2020,368,443,13
198,28/09/2020,285,508,2
199,29/09/2020,381,460,2
200,30/09/2020,478,458,4
201,01/10/2020,480,431,4
202,02/10/2020,510,443,7
203,03/10/2020,218,396,2
204,04/10/2020,337,419,5
205,05/10/2020,188,458,4
206,06/10/2020,405,393,3
207,07/10/2020,479,316,5
208,08/10/2020,378,326,5
209,09/10/2020,365,287,2
210,10/10/2020,337,411,1
211,11/10/2020,308,337,4
212,12/10/2020,188,264,2
213,13/10/2020,267,310,2
214,14/10/2020,241,287,1
215,15/10/2020,241,213,2
216,16/10/2020,280,306,1
217,17/10/2020,212,313,3
218,18/10/2020,163,306,0
219,19/10/2020,106,230,1
220,20/10/2020,205,254,2
221,21/10/2020,170,242,3
222,22/10/2020,210,195,2
223,23/10/2020,154,216,2
224,24/10/2020,126,187,2
225,25/10/2020,81,187,2
226,26/10/2020,143,189,0
227,27/10/2020,146,163,0
228,28/10/2020,101,154,2
229,29/10/2020,178,142,2
230,30/10/2020,147,128,0
231,31/10/2020,105,147,0
232,01/11/2020,96,621,3
233,02/11/2020,69,482,0
234,03/11/2020,147,457,1
235,04/11/2020,104,419,1
236,05/11/2020,121,420,1
237,06/11/2020,125,314,0
238,07/11/2020,69,495,2
239,08/11/2020,94,135,1
240,09/11/2020,62,145,1
241,10/11/2020,100,113,2
242,11/11/2020,114,107,1
243,12/11/2020,65,69,2
244,13/11/2020,73,70,1
245,14/11/2020,47,66,0
246,15/11/2020,25,95,0
247,16/11/2020,13,95,0
248,17/11/2020,72,131,0
249,18/11/2020,56,194,0
250,19/11/2020,68,102,1
251,20/11/2020,52,101,0
252,21/11/2020,63,82,0
253,22/11/2020,45,88,0
254,23/11/2020,25,57,0
255,24/11/2020,51,39,0
256,25/11/2020,51,45,0
257,26/11/2020,20,21,0
258,27/11/2020,16,46,0
259,28/11/2020,46,41,0
260,29/11/2020,33,72,0
261,30/11/2020,33,52,1
262,01/12/2020,52,72,1
263,02/12/2020,59,65,1
264,03/12/2020,40,27,1
265,04/12/2020,46,62,1
266,05/12/2020,44,52,0
267,06/12/2020,35,62,0
268,07/12/2020,26,25,1
269,08/12/2020,41,45,0
270,09/12/2020,28,46,0
271,10/12/2020,24,18,2
272,11/12/2020,43,48,2
273,12/12/2020,38,59,0
274,13/12/2020,48,57,0
275,14/12/2020,21,50,1
276,15/12/2020,37,47,1
277,16/12/2020,32,28,1
278,17/12/2020,40,32,0
279,18/12/2020,48,38,1
280,19/12/2020,45,21,1
281,20/12/2020,33,25,2
282,21/12/2020,14,26,1
283,22/12/2020,49,19,2
284,23/12/2020,34,44,0
285,24/12/2020,40,26,0
286,25/12/2020,29,44,0
287,26/12/2020,33,26,1
288,27/12/2020,48,43,1
289,28/12/2020,33,35,0
290,29/12/2020,42,34,2
291,30/12/2020,26,26,0
292,31/12/2020,36,15,0
293,01/01/2021,32,50,0
294,02/01/2021,10,30,0
295,03/01/2021,50,38,0
296,04/01/2021,29,28,2
297,05/01/2021,47,31,0
298,06/01/2021,34,35,0
299,07/01/2021,35,47,1
300,08/01/2021,20,36,0
301,09/01/2021,36,51,0
302,10/01/2021,30,40,2
303,11/01/2021,22,34,0
304,12/01/2021,18,28,1
305,13/01/2021,29,44,0
306,14/01/2021,43,22,1
307,15/01/2021,28,32,0
308,16/01/2021,16,22,2
309,17/01/2021,35,37,0
310,18/01/2021,23,20,1
311,19/01/2021,37,26,0
312,20/01/2021,31,32,0
313,21/01/2021,35,32,0
314,22/01/2021,22,27,0
315,23/01/2021,36,27,1
316,24/01/2021,30,43,1
317,25/01/2021,18,26,0
318,26/01/2021,32,17,0
319,27/01/2021,24,36,1
320,28/01/2021,39,29,1
321,29/01/2021,31,27,0
322,30/01/2021,43,32,0
323,31/01/2021,21,41,1
324,01/02/2021,28,25,3
325,02/02/2021,27,26,0
326,03/02/2021,23,29,1
327,04/02/2021,39,25,0
328,05/02/2021,50,27,2
329,06/02/2021,35,32,0
330,07/02/2021,22,27,0
331,08/02/2021,26,28,1
332,09/02/2021,35,37,0
333,10/02/2021,19,32,1
334,11/02/2021,25,22,0
335,12/02/2021,19,31,0
336,13/02/2021,24,24,0
337,14/02/2021,8,33,1
338,15/02/2021,20,41,1
339,16/02/2021,20,43,0
340,17/02/2021,18,27,2
341,18/02/2021,20,23,0
342,19/02/2021,14,34,2
343,20/02/2021,29,18,0
344,21/02/2021,23,18,1
345,22/02/2021,8,26,0
346,23/02/2021,28,21,2
347,24/02/2021,28,17,1
348,25/02/2021,21,13,1
349,26/02/2021,20,22,0
350,27/02/2021,20,16,1
351,28/02/2021,8,20,0
352,01/03/2021,9,16,1
353,02/03/2021,29,32,0
354,03/03/2021,14,20,0
355,04/03/2021,17,19,0
356,05/03/2021,30,20,0
357,06/03/2021,19,21,1
358,07/03/2021,25,22,0
359,08/03/2021,14,19,0
360,09/03/2021,26,19,0
361,10/03/2021,24,23,0
362,11/03/2021,22,25,0
363,12/03/2021,30,20,0
364,13/03/2021,31,26,0
365,14/03/2021,15,15,1
366,15/03/2021,14,17,1
367,16/03/2021,24,29,1
368,17/03/2021,52,18,0
369,18/03/2021,81,18,1
370,19/03/2021,61,20,0
371,20/03/2021,60,24,0
372,21/03/2021,64,21,1
373,22/03/2021,47,29,1
374,23/03/2021,87,18,1
375,24/03/2021,125,17,2
376,25/03/2021,95,9,0
377,26/03/2021,96,13,0
378,27/03/2021,128,36,1
379,28/03/2021,137,76,0
380,29/03/2021,125,40,1
381,30/03/2021,115,94,1
382,31/03/2021,127,64,0
383,01/04/2021,260,43,1
384,02/04/2021,213,82,1
385,03/04/2021,191,137,0
386,04/04/2021,227,109,0
387,05/04/2021,180,95,0
388,06/04/2021,237,139,2
389,07/04/2021,173,125,1
390,08/04/2021,293,113,0
391,09/04/2021,223,139,0
392,10/04/2021,272,136,2
393,11/04/2021,306,206,2
394,12/04/2021,512,232,2
