,Date,Confirmed,Recovered,Deceased
0,14/03/2020,3,1,0
1,15/03/2020,1,2,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,3,0,0
5,19/03/2020,2,0,0
6,20/03/2020,8,0,0
7,21/03/2020,7,0,0
8,22/03/2020,4,0,0
9,23/03/2020,4,0,0
10,24/03/2020,0,0,0
11,25/03/2020,6,0,0
12,26/03/2020,2,0,0
13,27/03/2020,10,0,0
14,28/03/2020,4,0,0
15,29/03/2020,5,0,0
16,30/03/2020,20,0,0
17,31/03/2020,14,0,0
18,01/04/2020,27,0,0
19,02/04/2020,13,0,0
20,03/04/2020,46,0,0
21,04/04/2020,27,22,1
22,05/04/2020,60,0,0
23,06/04/2020,35,0,1
24,07/04/2020,42,0,0
25,08/04/2020,40,20,1
26,09/04/2020,80,15,0
27,10/04/2020,98,0,0
28,11/04/2020,139,56,6
29,12/04/2020,104,5,2
30,13/04/2020,93,0,0
31,14/04/2020,108,26,0
32,15/04/2020,71,0,0
33,16/04/2020,55,17,0
34,17/04/2020,98,19,6
35,18/04/2020,122,17,4
36,19/04/2020,127,5,2
37,20/04/2020,98,0,2
38,21/04/2020,159,69,1
39,22/04/2020,153,70,1
40,23/04/2020,76,107,1
41,24/04/2020,70,42,4
42,25/04/2020,49,20,2
43,26/04/2020,102,116,7
44,27/04/2020,77,115,9
45,28/04/2020,102,26,2
46,29/04/2020,76,44,3
47,30/04/2020,144,79,3
48,01/05/2020,82,223,4
49,02/05/2020,106,126,6
50,03/05/2020,114,114,3
51,04/05/2020,175,82,6
52,05/05/2020,97,87,12
53,06/05/2020,159,214,4
54,07/05/2020,110,150,6
55,08/05/2020,152,122,4
56,09/05/2020,129,151,3
57,10/05/2020,106,79,2
58,11/05/2020,174,83,5
59,12/05/2020,138,130,4
60,13/05/2020,202,119,4
61,14/05/2020,206,65,4
62,15/05/2020,213,91,0
63,16/05/2020,213,215,1
64,17/05/2020,242,111,5
65,18/05/2020,305,163,7
66,19/05/2020,338,119,5
67,20/05/2020,170,67,4
68,21/05/2020,212,81,4
69,22/05/2020,267,195,2
70,23/05/2020,248,106,7
71,24/05/2020,286,62,3
72,25/05/2020,272,208,4
73,26/05/2020,236,220,3
74,27/05/2020,280,286,3
75,28/05/2020,251,253,7
76,29/05/2020,298,429,4
77,30/05/2020,252,495,9
78,31/05/2020,214,293,1
79,01/06/2020,269,181,5
80,02/06/2020,273,222,4
81,03/06/2020,279,309,6
82,04/06/2020,210,360,4
83,05/06/2020,222,255,5
84,06/06/2020,253,142,13
85,07/06/2020,262,253,9
86,08/06/2020,277,363,6
87,09/06/2020,369,211,9
88,10/06/2020,355,241,4
89,11/06/2020,238,206,6
90,12/06/2020,230,236,7
91,13/06/2020,333,326,10
92,14/06/2020,293,229,10
93,15/06/2020,287,219,9
94,16/06/2020,235,177,7
95,17/06/2020,326,505,5
96,18/06/2020,315,275,17
97,19/06/2020,299,255,3
98,20/06/2020,381,277,4
99,21/06/2020,393,323,12
100,22/06/2020,302,313,7
101,23/06/2020,395,303,9
102,24/06/2020,382,398,10
103,25/06/2020,287,229,4
104,26/06/2020,364,222,1
105,27/06/2020,284,305,11
106,28/06/2020,327,244,8
107,29/06/2020,389,310,6
108,30/06/2020,348,299,8
109,01/07/2020,304,354,8
110,02/07/2020,350,374,9
111,03/07/2020,390,333,10
112,04/07/2020,480,359,7
113,05/07/2020,632,288,9
114,06/07/2020,524,350,5
115,07/07/2020,716,297,11
116,08/07/2020,659,291,10
117,09/07/2020,500,204,9
118,10/07/2020,611,550,6
119,11/07/2020,574,249,6
120,12/07/2020,644,234,7
121,13/07/2020,544,527,8
122,14/07/2020,635,539,6
123,15/07/2020,866,333,6
124,16/07/2020,737,468,8
125,17/07/2020,615,656,8
126,18/07/2020,711,518,7
127,19/07/2020,934,586,6
128,20/07/2020,956,465,9
129,21/07/2020,983,549,9
130,22/07/2020,961,620,6
131,23/07/2020,886,451,11
132,24/07/2020,958,732,8
133,25/07/2020,1120,759,11
134,26/07/2020,1132,648,11
135,27/07/2020,1134,880,9
136,28/07/2020,1072,483,11
137,29/07/2020,1144,992,10
138,30/07/2020,1156,922,13
139,31/07/2020,1147,614,13
140,01/08/2020,1160,823,14
141,02/08/2020,1167,548,12
142,03/08/2020,1145,835,13
143,04/08/2020,1124,781,13
144,05/08/2020,1166,1017,13
145,06/08/2020,1151,1282,12
146,07/08/2020,1161,1064,10
147,08/08/2020,1171,968,11
148,09/08/2020,1169,1072,11
149,10/08/2020,1173,825,11
150,11/08/2020,1217,1339,11
151,12/08/2020,1213,1249,11
152,13/08/2020,1314,171,11
153,14/08/2020,1278,2078,13
154,15/08/2020,1287,1357,16
155,16/08/2020,1317,1350,14
156,17/08/2020,1334,1050,11
157,18/08/2020,1347,1306,11
158,19/08/2020,1312,1003,12
159,20/08/2020,1330,1227,11
160,21/08/2020,1335,1306,12
161,22/08/2020,1310,1648,11
162,23/08/2020,1345,1180,11
163,24/08/2020,1346,1276,12
164,25/08/2020,1370,1526,13
165,26/08/2020,1345,1453,12
166,27/08/2020,1345,1006,13
167,28/08/2020,1355,1448,12
168,29/08/2020,1407,938,13
169,30/08/2020,1450,2122,13
170,31/08/2020,1466,1719,13
171,01/09/2020,1470,1312,13
172,02/09/2020,1511,2550,12
173,03/09/2020,1553,546,14
174,04/09/2020,1570,679,13
175,05/09/2020,1566,1346,14
176,06/09/2020,1593,1616,15
177,07/09/2020,1580,1566,14
178,08/09/2020,1590,1445,13
179,09/09/2020,1610,1578,14
180,10/09/2020,1640,1032,14
181,11/09/2020,1660,1488,15
182,12/09/2020,1669,932,14
183,13/09/2020,1703,1616,15
184,14/09/2020,1730,1644,14
185,15/09/2020,1760,1711,14
186,16/09/2020,1782,1479,15
187,17/09/2020,1793,1333,14
188,18/09/2020,1817,1580,15
189,19/09/2020,1834,1540,14
190,20/09/2020,1865,1664,14
191,21/09/2020,1892,1815,16
192,22/09/2020,1912,1528,15
193,23/09/2020,1946,1553,15
194,24/09/2020,1981,1965,15
195,25/09/2020,2010,1958,15
196,26/09/2020,2045,1706,14
197,27/09/2020,2084,1724,15
198,28/09/2020,2112,1754,15
199,29/09/2020,2148,1800,15
200,30/09/2020,2173,1953,15
201,01/10/2020,2193,1953,14
202,02/10/2020,2211,2060,16
203,03/10/2020,2150,2003,14
204,04/10/2020,2184,2090,15
205,05/10/2020,2165,2090,14
206,06/10/2020,2121,2027,15
207,07/10/2020,2151,2078,16
208,08/10/2020,2138,2092,15
209,09/10/2020,2180,2148,16
210,10/10/2020,2123,2152,15
211,11/10/2020,2144,2072,14
212,12/10/2020,2132,1858,15
213,13/10/2020,2035,1768,14
214,14/10/2020,2021,2219,15
215,15/10/2020,2039,2149,14
216,16/10/2020,2010,2201,15
217,17/10/2020,1992,2106,12
218,18/10/2020,1985,2088,13
219,19/10/2020,1960,2194,12
220,20/10/2020,1897,2522,14
221,21/10/2020,1810,2865,14
222,22/10/2020,1822,2654,12
223,23/10/2020,1815,2367,14
224,24/10/2020,1852,2515,12
225,25/10/2020,1821,2240,13
226,26/10/2020,1805,2226,14
227,27/10/2020,1796,2066,14
228,28/10/2020,1785,2016,10
229,29/10/2020,1790,1933,11
230,30/10/2020,1794,2087,10
231,31/10/2020,1780,1920,9
232,01/11/2020,1754,1591,10
233,02/11/2020,1748,1105,9
234,03/11/2020,1725,1219,10
235,04/11/2020,1770,1823,9
236,05/11/2020,1810,1822,10
237,06/11/2020,1797,1810,11
238,07/11/2020,1841,1778,13
239,08/11/2020,1872,1813,10
240,09/11/2020,1859,1684,9
241,10/11/2020,1902,1709,10
242,11/11/2020,2080,1801,11
243,12/11/2020,2176,1804,13
244,13/11/2020,2144,1827,12
245,14/11/2020,2162,1754,12
246,15/11/2020,2184,1890,10
247,16/11/2020,2169,1810,12
248,17/11/2020,2194,1834,11
249,18/11/2020,2178,1721,12
250,19/11/2020,2549,1844,15
251,20/11/2020,2762,1993,14
252,21/11/2020,3007,1963,16
253,22/11/2020,3260,2004,17
254,23/11/2020,3232,2288,18
255,24/11/2020,3314,2214,19
256,25/11/2020,3285,2144,18
257,26/11/2020,3180,2179,19
258,27/11/2020,3093,2194,18
259,28/11/2020,2765,2178,19
260,29/11/2020,2581,2556,18
261,30/11/2020,2677,2762,20
262,01/12/2020,2347,3007,19
263,02/12/2020,1990,3235,19
264,03/12/2020,2086,3232,20
265,04/12/2020,1934,3141,19
266,05/12/2020,2076,3198,20
267,06/12/2020,2089,2818,20
268,07/12/2020,1927,2664,19
269,08/12/2020,1604,2380,20
270,09/12/2020,1511,2577,17
271,10/12/2020,1592,2339,15
272,11/12/2020,1473,2768,14
273,12/12/2020,1307,2193,14
274,13/12/2020,1290,1468,14
275,14/12/2020,1250,1666,13
276,15/12/2020,1045,1722,13
277,16/12/2020,1247,2237,10
278,17/12/2020,1122,1974,11
279,18/12/2020,1076,1655,10
280,19/12/2020,989,1259,9
281,20/12/2020,978,1326,9
282,21/12/2020,913,1365,9
283,22/12/2020,807,1159,8
284,23/12/2020,992,937,8
285,24/12/2020,1001,970,8
286,25/12/2020,1023,987,7
287,26/12/2020,785,990,7
288,27/12/2020,843,1168,6
289,28/12/2020,798,1206,7
290,29/12/2020,626,1149,6
291,30/12/2020,770,1142,6
292,31/12/2020,689,957,7
293,01/01/2021,609,942,4
294,02/01/2021,467,890,5
295,03/01/2021,502,801,5
296,04/01/2021,457,755,4
297,05/01/2021,397,751,5
298,06/01/2021,436,564,4
299,07/01/2021,509,735,4
300,08/01/2021,471,537,0
301,09/01/2021,430,1098,4
302,10/01/2021,475,476,3
303,11/01/2021,429,568,2
304,12/01/2021,293,675,3
305,13/01/2021,373,790,3
306,14/01/2021,281,384,2
307,15/01/2021,310,377,0
308,16/01/2021,238,558,2
309,17/01/2021,261,496,1
310,18/01/2021,213,626,3
311,19/01/2021,209,537,2
312,20/01/2021,213,438,2
313,21/01/2021,265,406,2
314,22/01/2021,201,416,0
315,23/01/2021,203,472,2
316,24/01/2021,167,468,0
317,25/01/2021,193,370,2
318,26/01/2021,125,257,0
