,Date,Confirmed,Recovered,Deceased
0,14/03/2020,1,0,0
1,15/03/2020,2,1,0
2,16/03/2020,1,0,0
3,17/03/2020,1,0,0
4,18/03/2020,8,0,0
5,19/03/2020,3,0,0
6,20/03/2020,3,0,0
7,21/03/2020,2,0,0
8,22/03/2020,6,0,0
9,23/03/2020,6,0,0
10,24/03/2020,4,0,0
11,25/03/2020,4,0,0
12,26/03/2020,3,0,0
13,27/03/2020,15,0,0
14,28/03/2020,8,0,1
15,29/03/2020,3,0,0
16,30/03/2020,7,13,5
17,31/03/2020,20,0,0
18,01/04/2020,30,0,3
19,02/04/2020,27,3,0
20,03/04/2020,75,15,2
21,04/04/2020,43,1,0
22,05/04/2020,62,0,0
23,06/04/2020,30,12,0
24,07/04/2020,40,0,0
25,08/04/2020,49,0,0
26,09/04/2020,18,0,1
27,10/04/2020,16,0,0
28,11/04/2020,16,51,2
29,12/04/2020,28,7,2
30,13/04/2020,61,0,1
31,14/04/2020,52,7,1
32,15/04/2020,6,8,0
33,16/04/2020,50,68,0
34,17/04/2020,66,0,0
35,18/04/2020,43,0,0
36,19/04/2020,49,0,3
37,20/04/2020,14,0,2
38,21/04/2020,56,8,0
39,22/04/2020,15,0,1
40,23/04/2020,27,58,1
41,24/04/2020,13,39,0
42,25/04/2020,7,16,0
43,26/04/2020,11,9,0
44,27/04/2020,2,16,0
45,28/04/2020,6,42,0
46,29/04/2020,7,35,0
47,30/04/2020,22,33,3
48,01/05/2020,6,22,0
49,02/05/2020,17,35,1
50,03/05/2020,21,46,0
51,04/05/2020,3,40,0
52,05/05/2020,11,43,0
53,06/05/2020,11,20,0
54,07/05/2020,15,45,0
55,08/05/2020,10,34,0
56,09/05/2020,31,24,1
57,10/05/2020,33,0,0
58,11/05/2020,79,50,0
59,12/05/2020,51,21,2
60,13/05/2020,41,117,2
61,14/05/2020,47,13,0
62,15/05/2020,40,7,0
63,16/05/2020,55,12,0
64,17/05/2020,42,21,0
65,18/05/2020,41,10,0
66,19/05/2020,42,9,4
67,20/05/2020,27,2,2
68,21/05/2020,38,23,5
69,22/05/2020,62,7,3
70,23/05/2020,52,25,1
71,24/05/2020,41,24,4
72,25/05/2020,66,72,3
73,26/05/2020,112,120,1
74,27/05/2020,107,37,6
75,28/05/2020,117,24,4
76,29/05/2020,169,36,4
77,30/05/2020,74,31,6
78,31/05/2020,199,16,5
79,01/06/2020,94,63,6
80,02/06/2020,99,35,4
81,03/06/2020,129,30,7
82,04/06/2020,127,31,6
83,05/06/2020,143,40,8
84,06/06/2020,206,83,10
85,07/06/2020,154,32,14
86,08/06/2020,92,0,5
87,09/06/2020,178,0,6
88,10/06/2020,191,75,8
89,11/06/2020,209,176,9
90,12/06/2020,164,285,9
91,13/06/2020,253,74,8
92,14/06/2020,237,25,3
93,15/06/2020,219,389,2
94,16/06/2020,213,261,4
95,17/06/2020,269,44,1
96,18/06/2020,352,230,3
97,19/06/2020,499,51,3
98,20/06/2020,546,154,5
99,21/06/2020,730,225,7
100,22/06/2020,872,274,7
101,23/06/2020,879,219,3
102,24/06/2020,891,137,5
103,25/06/2020,920,327,5
104,26/06/2020,985,78,7
105,27/06/2020,1087,162,6
106,28/06/2020,983,244,4
107,29/06/2020,975,410,6
108,30/06/2020,945,1712,7
109,01/07/2020,1018,788,7
110,02/07/2020,1213,987,8
111,03/07/2020,1892,1126,8
112,04/07/2020,1850,1342,5
113,05/07/2020,1590,1166,7
114,06/07/2020,1831,2078,11
115,07/07/2020,1879,1506,7
116,08/07/2020,1924,992,11
117,09/07/2020,1410,913,7
118,10/07/2020,1278,1013,8
119,11/07/2020,1178,1714,9
120,12/07/2020,1269,1563,8
121,13/07/2020,1550,1197,9
122,14/07/2020,1524,1161,10
123,15/07/2020,1597,1159,11
124,16/07/2020,1676,1296,10
125,17/07/2020,1478,1410,7
126,18/07/2020,1284,1902,6
127,19/07/2020,1296,1831,6
128,20/07/2020,1198,1885,7
129,21/07/2020,1430,2062,7
130,22/07/2020,1555,1281,9
131,23/07/2020,1567,1661,9
132,24/07/2020,1640,1007,8
133,25/07/2020,1593,998,8
134,26/07/2020,0,0,0
135,27/07/2020,1473,774,8
136,28/07/2020,1610,803,9
137,29/07/2020,1764,842,12
138,30/07/2020,1811,821,13
139,31/07/2020,1986,816,14
140,01/08/2020,2083,1114,11
141,02/08/2020,1891,1088,10
142,03/08/2020,983,1019,11
143,04/08/2020,1286,1066,12
144,05/08/2020,2012,1139,13
145,06/08/2020,2092,1289,13
146,07/08/2020,2207,1136,12
147,08/08/2020,2256,1091,14
148,09/08/2020,1982,1669,12
149,10/08/2020,1256,1587,10
150,11/08/2020,1896,1788,8
151,12/08/2020,1897,1920,9
152,13/08/2020,1931,1780,11
153,14/08/2020,1921,1210,9
154,15/08/2020,1863,1912,10
155,16/08/2020,1102,1930,9
156,17/08/2020,894,2006,10
157,18/08/2020,1682,2070,8
158,19/08/2020,1763,1789,8
159,20/08/2020,1724,1195,10
160,21/08/2020,1457,1781,8
161,22/08/2020,2474,1768,7
162,23/08/2020,2384,1851,11
163,24/08/2020,1842,1825,6
164,25/08/2020,2579,1752,9
165,26/08/2020,3018,1060,10
166,27/08/2020,2795,872,8
167,28/08/2020,2932,1580,11
168,29/08/2020,2751,1675,9
169,30/08/2020,2924,1638,10
170,31/08/2020,1873,1849,9
171,01/09/2020,2734,2325,9
172,02/09/2020,2892,2240,10
173,03/09/2020,2817,2611,10
174,04/09/2020,2478,2011,10
175,05/09/2020,2511,2579,11
176,06/09/2020,2574,2927,9
177,07/09/2020,1802,2711,9
178,08/09/2020,2392,2346,11
179,09/09/2020,2479,2485,10
180,10/09/2020,2534,2071,11
181,11/09/2020,2426,2324,13
182,12/09/2020,2278,2458,10
183,13/09/2020,2216,2603,11
184,14/09/2020,1417,2479,13
185,15/09/2020,2058,2180,10
186,16/09/2020,2273,2260,12
187,17/09/2020,2159,2108,9
188,18/09/2020,2043,1802,11
189,19/09/2020,2123,2151,9
190,20/09/2020,2137,2192,8
191,21/09/2020,1302,2230,9
192,22/09/2020,2166,2143,10
193,23/09/2020,2296,2062,10
194,24/09/2020,2176,2004,8
195,25/09/2020,2381,2021,10
196,26/09/2020,2239,2281,11
197,27/09/2020,1967,2058,9
198,28/09/2020,1378,1932,7
199,29/09/2020,2072,2259,9
200,30/09/2020,2103,2243,11
201,01/10/2020,2214,2474,8
202,02/10/2020,2009,2437,10
203,03/10/2020,1718,2002,8
204,04/10/2020,1949,2366,10
205,05/10/2020,1335,2176,8
206,06/10/2020,1983,2381,10
207,07/10/2020,2154,2239,8
208,08/10/2020,1896,2067,12
209,09/10/2020,1891,1878,7
210,10/10/2020,1811,2072,9
211,11/10/2020,1717,2103,5
212,12/10/2020,1021,2214,6
213,13/10/2020,1708,2009,5
214,14/10/2020,1446,1918,8
215,15/10/2020,1432,1949,8
216,16/10/2020,1554,1435,7
217,17/10/2020,1451,1983,9
218,18/10/2020,1436,2154,6
219,19/10/2020,948,1896,4
220,20/10/2020,1486,1891,7
221,21/10/2020,1579,1811,5
222,22/10/2020,1456,1717,5
223,23/10/2020,1421,1221,6
224,24/10/2020,1273,1708,5
225,25/10/2020,978,1446,4
226,26/10/2020,582,1432,4
227,27/10/2020,837,1554,4
228,28/10/2020,1481,1451,4
229,29/10/2020,1504,1436,5
230,30/10/2020,1531,1048,6
231,31/10/2020,1445,1486,6
232,01/11/2020,1416,1579,5
233,02/11/2020,922,1456,7
234,03/11/2020,1536,1491,3
235,04/11/2020,1637,1273,6
236,05/11/2020,1539,978,5
237,06/11/2020,1602,982,4
238,07/11/2020,1607,937,6
239,08/11/2020,1440,1481,5
240,09/11/2020,857,1504,4
241,10/11/2020,1267,1831,4
242,11/11/2020,1196,1835,5
243,12/11/2020,1015,1716,3
244,13/11/2020,997,1222,4
245,14/11/2020,1050,1736,4
246,15/11/2020,661,1637,3
247,16/11/2020,502,1539,3
248,17/11/2020,952,1602,3
249,18/11/2020,948,1607,5
250,19/11/2020,1058,1440,4
251,20/11/2020,894,1057,4
252,21/11/2020,925,1367,3
253,22/11/2020,873,1296,4
254,23/11/2020,602,1015,3
255,24/11/2020,921,1097,4
256,25/11/2020,993,1150,4
257,26/11/2020,862,961,3
258,27/11/2020,761,702,4
259,28/11/2020,753,952,3
260,29/11/2020,805,948,4
261,30/11/2020,593,1058,3
262,01/12/2020,502,894,3
263,02/12/2020,565,925,1
264,03/12/2020,609,873,3
265,04/12/2020,631,802,2
266,05/12/2020,596,921,3
267,06/12/2020,622,993,2
268,07/12/2020,517,862,2
269,08/12/2020,682,761,3
270,09/12/2020,721,753,3
271,10/12/2020,643,805,2
272,11/12/2020,612,502,3
273,12/12/2020,635,565,4
274,13/12/2020,573,609,4
275,14/12/2020,384,631,3
276,15/12/2020,491,596,3
277,16/12/2020,536,622,3
278,17/12/2020,509,517,3
279,18/12/2020,551,682,1
280,19/12/2020,627,721,4
281,20/12/2020,592,643,3
282,21/12/2020,316,612,2
283,22/12/2020,617,635,3
284,23/12/2020,635,573,4
285,24/12/2020,574,384,2
286,25/12/2020,518,491,3
287,26/12/2020,317,536,2
288,27/12/2020,472,509,2
289,28/12/2020,205,551,2
290,29/12/2020,397,627,2
291,30/12/2020,474,592,3
292,31/12/2020,415,316,3
293,01/01/2021,461,617,3
294,02/01/2021,293,535,2
295,03/01/2021,394,574,3
296,04/01/2021,238,518,2
297,05/01/2021,253,317,3
298,06/01/2021,417,472,2
299,07/01/2021,379,305,3
300,08/01/2021,346,397,2
301,09/01/2021,298,474,2
302,10/01/2021,351,415,2
303,11/01/2021,224,461,1
304,12/01/2021,301,293,2
305,13/01/2021,331,394,3
306,14/01/2021,276,238,1
307,15/01/2021,202,253,2
308,16/01/2021,249,417,1
309,17/01/2021,299,379,2
310,18/01/2021,206,346,2
311,19/01/2021,256,298,2
312,20/01/2021,267,351,2
313,21/01/2021,226,224,1
314,22/01/2021,214,351,2
315,23/01/2021,221,431,2
316,24/01/2021,197,376,1
317,25/01/2021,148,302,1
318,26/01/2021,189,349,2
319,27/01/2021,147,399,1
320,28/01/2021,186,306,1
321,29/01/2021,197,356,2
322,30/01/2021,186,367,2
323,31/01/2021,163,276,1
324,01/02/2021,118,264,2
325,02/02/2021,152,221,1
326,03/02/2021,185,197,2
327,04/02/2021,177,198,2
328,05/02/2021,169,189,1
329,06/02/2021,161,147,1
330,07/02/2021,150,186,2
331,08/02/2021,101,197,1
332,09/02/2021,149,186,1
333,10/02/2021,157,163,1
