,Date,Confirmed,Recovered,Deceased
0,14/03/2020,1,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,1,0
3,17/03/2020,0,0,0
4,18/03/2020,1,0,0
5,19/03/2020,1,0,0
6,20/03/2020,0,0,0
7,21/03/2020,3,0,0
8,22/03/2020,3,0,0
9,23/03/2020,3,0,0
10,24/03/2020,6,0,1
11,25/03/2020,8,0,0
12,26/03/2020,3,0,0
13,27/03/2020,9,1,0
14,28/03/2020,4,0,0
15,29/03/2020,8,0,0
16,30/03/2020,17,2,0
17,31/03/2020,57,2,0
18,01/04/2020,110,0,0
19,02/04/2020,75,0,0
20,03/04/2020,102,0,0
21,04/04/2020,74,2,2
22,05/04/2020,86,0,2
23,06/04/2020,50,5,1
24,07/04/2020,69,6,1
25,08/04/2020,48,2,1
26,09/04/2020,96,6,0
27,10/04/2020,77,17,1
28,11/04/2020,58,0,1
29,12/04/2020,106,6,1
30,13/04/2020,98,8,0
31,14/04/2020,31,23,1
32,15/04/2020,38,37,2
33,16/04/2020,25,62,1
34,17/04/2020,56,103,0
35,18/04/2020,49,82,0
36,19/04/2020,105,46,0
37,20/04/2020,43,46,2
38,21/04/2020,76,178,1
39,22/04/2020,33,27,0
40,23/04/2020,54,90,2
41,24/04/2020,72,114,2
42,25/04/2020,66,94,1
43,26/04/2020,64,60,1
44,27/04/2020,52,54,0
45,28/04/2020,121,54,1
46,29/04/2020,104,82,2
47,30/04/2020,161,48,0
48,01/05/2020,203,54,1
49,02/05/2020,231,29,1
50,03/05/2020,266,38,1
51,04/05/2020,527,30,1
52,05/05/2020,508,76,2
53,06/05/2020,771,31,2
54,07/05/2020,580,31,2
55,08/05/2020,600,58,3
56,09/05/2020,526,219,4
57,10/05/2020,669,135,3
58,11/05/2020,798,92,6
59,12/05/2020,716,83,8
60,13/05/2020,509,41,3
61,14/05/2020,447,65,2
62,15/05/2020,434,359,5
63,16/05/2020,477,939,4
64,17/05/2020,639,634,4
65,18/05/2020,536,234,3
66,19/05/2020,688,489,3
67,20/05/2020,743,987,3
68,21/05/2020,776,400,7
69,22/05/2020,786,846,4
70,23/05/2020,759,363,5
71,24/05/2020,765,833,8
72,25/05/2020,805,407,7
73,26/05/2020,646,611,11
74,27/05/2020,817,567,6
75,28/05/2020,827,639,12
76,29/05/2020,874,765,9
77,30/05/2020,938,687,6
78,31/05/2020,1149,757,13
79,01/06/2020,1162,413,11
80,02/06/2020,1091,536,13
81,03/06/2020,1286,610,8
82,04/06/2020,1384,585,15
83,05/06/2020,1438,861,12
84,06/06/2020,1458,633,19
85,07/06/2020,1515,604,18
86,08/06/2020,1562,528,17
87,09/06/2020,1685,798,18
88,10/06/2020,1927,1008,19
89,11/06/2020,1875,1372,23
90,12/06/2020,1982,1342,18
91,13/06/2020,1989,1362,30
92,14/06/2020,1974,1138,38
93,15/06/2020,1843,797,44
94,16/06/2020,1515,1438,49
95,17/06/2020,2174,842,48
96,18/06/2020,2141,1017,49
97,19/06/2020,2115,1630,41
98,20/06/2020,2396,1045,38
99,21/06/2020,2532,1438,53
100,22/06/2020,2710,1358,37
101,23/06/2020,2516,1227,39
102,24/06/2020,2865,2424,33
103,25/06/2020,3509,2236,45
104,26/06/2020,3645,1358,46
105,27/06/2020,3713,2737,68
106,28/06/2020,3940,1443,54
107,29/06/2020,3949,2212,62
108,30/06/2020,3943,2325,60
109,01/07/2020,3882,2852,63
110,02/07/2020,4343,3095,57
111,03/07/2020,4329,2357,64
112,04/07/2020,4280,2214,65
113,05/07/2020,4150,2186,60
114,06/07/2020,3827,3793,61
115,07/07/2020,3616,4545,65
116,08/07/2020,3756,3051,64
117,09/07/2020,4231,3994,65
118,10/07/2020,3680,4163,64
119,11/07/2020,3965,3591,69
120,12/07/2020,4244,3617,68
121,13/07/2020,4328,3035,66
122,14/07/2020,4526,4743,67
123,15/07/2020,4496,5000,68
124,16/07/2020,4549,5106,69
125,17/07/2020,4538,3391,79
126,18/07/2020,4807,3049,88
127,19/07/2020,4979,4059,78
128,20/07/2020,4985,3861,70
129,21/07/2020,4965,4894,75
130,22/07/2020,5849,4913,518
131,23/07/2020,6472,5210,88
132,24/07/2020,6785,6504,88
133,25/07/2020,6988,7758,89
134,26/07/2020,6986,5471,85
135,27/07/2020,6993,5723,77
136,28/07/2020,6972,4707,88
137,29/07/2020,6426,5927,82
138,30/07/2020,5864,5295,100
139,31/07/2020,5881,5778,94
140,01/08/2020,5879,7010,99
141,02/08/2020,5875,5517,98
142,03/08/2020,5609,5800,109
143,04/08/2020,5063,6501,108
144,05/08/2020,5175,6031,112
145,06/08/2020,5684,6272,110
146,07/08/2020,5880,6488,119
147,08/08/2020,5883,5043,118
148,09/08/2020,5994,6020,119
149,10/08/2020,5914,6037,114
150,11/08/2020,5834,6005,118
151,12/08/2020,5871,5633,119
152,13/08/2020,5835,5146,119
153,14/08/2020,5890,5556,117
154,15/08/2020,5860,5236,127
155,16/08/2020,5950,6019,125
156,17/08/2020,5890,5667,120
157,18/08/2020,5709,5850,121
158,19/08/2020,5795,6384,116
159,20/08/2020,5986,5742,116
160,21/08/2020,5995,5764,101
161,22/08/2020,5980,5603,80
162,23/08/2020,5975,6047,97
163,24/08/2020,5967,6129,97
164,25/08/2020,5951,6998,107
165,26/08/2020,5958,5606,118
166,27/08/2020,5981,5870,109
167,28/08/2020,5996,5752,102
168,29/08/2020,6352,6045,87
169,30/08/2020,6495,6406,94
170,31/08/2020,5956,6008,91
171,01/09/2020,5928,6031,96
172,02/09/2020,5990,5891,98
173,03/09/2020,5892,6110,92
174,04/09/2020,5976,6334,79
175,05/09/2020,5870,5859,64
176,06/09/2020,5783,5820,85
177,07/09/2020,5776,5930,89
178,08/09/2020,5684,6599,87
179,09/09/2020,5584,6516,78
180,10/09/2020,5528,6185,64
181,11/09/2020,5519,6006,77
182,12/09/2020,5495,6227,76
183,13/09/2020,5693,5717,74
184,14/09/2020,5752,5799,53
185,15/09/2020,5697,5735,68
186,16/09/2020,5652,5768,57
187,17/09/2020,5560,5524,59
188,18/09/2020,5488,5525,67
189,19/09/2020,5569,5556,66
190,20/09/2020,5516,5206,60
191,21/09/2020,5344,5492,60
192,22/09/2020,5337,5406,76
193,23/09/2020,5325,5363,63
194,24/09/2020,5692,5470,66
195,25/09/2020,5679,5626,72
196,26/09/2020,5647,5612,85
197,27/09/2020,5791,5706,80
198,28/09/2020,5589,5554,70
199,29/09/2020,5546,5501,70
200,30/09/2020,5659,5610,67
201,01/10/2020,5688,5516,66
202,02/10/2020,5595,5603,67
203,03/10/2020,5622,5596,65
204,04/10/2020,5489,5558,66
205,05/10/2020,5395,5572,62
206,06/10/2020,5017,5548,71
207,07/10/2020,5447,5524,67
208,08/10/2020,5088,5718,68
209,09/10/2020,5185,5357,68
210,10/10/2020,5242,5222,67
211,11/10/2020,5015,5005,65
212,12/10/2020,4879,5165,62
213,13/10/2020,4666,5117,57
214,14/10/2020,4462,5083,52
215,15/10/2020,4410,5055,49
216,16/10/2020,4389,5245,60
217,17/10/2020,4295,5005,54
218,18/10/2020,3914,4929,56
219,19/10/2020,3536,4515,52
220,20/10/2020,3094,4403,47
221,21/10/2020,3086,4301,39
222,22/10/2020,3077,4314,45
223,23/10/2020,3057,4262,33
224,24/10/2020,2886,4024,35
225,25/10/2020,2869,4019,31
226,26/10/2020,2708,4014,32
227,27/10/2020,2522,4029,27
228,28/10/2020,2516,3859,35
229,29/10/2020,2652,4087,35
230,30/10/2020,2608,3924,38
231,31/10/2020,2511,3848,31
232,01/11/2020,2504,3644,30
233,02/11/2020,2481,3940,31
234,03/11/2020,2435,2707,31
235,04/11/2020,2487,2504,30
236,05/11/2020,2348,2413,28
237,06/11/2020,2370,2402,27
238,07/11/2020,2341,2352,25
239,08/11/2020,2334,2386,20
240,09/11/2020,2257,2308,18
241,10/11/2020,2146,2237,25
242,11/11/2020,2184,2210,28
243,12/11/2020,2112,2347,25
244,13/11/2020,1939,2572,14
245,14/11/2020,1912,2494,12
246,15/11/2020,1819,2520,12
247,16/11/2020,1725,2384,17
248,17/11/2020,1652,2314,18
249,18/11/2020,1714,2311,18
