,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,0,0,0
4,18/03/2020,0,0,0
5,19/03/2020,0,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,0,0,0
10,24/03/2020,0,0,0
11,25/03/2020,0,0,0
12,26/03/2020,0,0,0
13,27/03/2020,0,0,0
14,28/03/2020,0,0,0
15,29/03/2020,0,0,0
16,30/03/2020,0,0,0
17,31/03/2020,0,0,0
18,01/04/2020,0,0,0
19,02/04/2020,0,0,0
20,03/04/2020,0,0,0
21,04/04/2020,0,0,0
22,05/04/2020,0,0,0
23,06/04/2020,1,0,0
24,07/04/2020,0,0,0
25,08/04/2020,0,0,0
26,09/04/2020,0,0,0
27,10/04/2020,1,0,0
28,11/04/2020,0,0,0
29,12/04/2020,0,0,0
30,13/04/2020,0,0,0
31,14/04/2020,0,0,0
32,15/04/2020,0,1,0
33,16/04/2020,0,0,0
34,17/04/2020,0,0,0
35,18/04/2020,0,0,0
36,19/04/2020,0,0,0
37,20/04/2020,0,0,0
38,21/04/2020,0,0,0
39,22/04/2020,0,0,0
40,23/04/2020,0,1,0
41,24/04/2020,0,0,0
42,25/04/2020,0,0,0
43,26/04/2020,0,0,0
44,27/04/2020,0,0,0
45,28/04/2020,0,0,0
46,29/04/2020,0,0,0
47,30/04/2020,1,0,0
48,01/05/2020,0,0,0
49,02/05/2020,2,0,0
50,03/05/2020,12,0,0
51,04/05/2020,13,0,0
52,05/05/2020,13,0,0
53,06/05/2020,22,0,0
54,07/05/2020,24,0,0
55,08/05/2020,30,0,0
56,09/05/2020,17,0,0
57,10/05/2020,16,0,0
58,11/05/2020,0,0,0
59,12/05/2020,2,0,0
60,13/05/2020,1,0,0
61,14/05/2020,1,27,0
62,15/05/2020,0,13,0
63,16/05/2020,11,22,0
64,17/05/2020,-2,21,0
65,18/05/2020,0,4,0
66,19/05/2020,8,27,0
67,20/05/2020,0,0,0
68,21/05/2020,2,32,0
69,22/05/2020,0,4,0
70,23/05/2020,16,0,0
71,24/05/2020,3,13,0
72,25/05/2020,4,0,0
73,26/05/2020,34,0,0
74,27/05/2020,10,0,0
75,28/05/2020,2,2,0
76,29/05/2020,10,0,0
77,30/05/2020,17,5,0
78,31/05/2020,45,1,0
79,01/06/2020,107,0,0
80,02/06/2020,48,0,0
81,03/06/2020,151,0,0
82,04/06/2020,24,0,0
83,05/06/2020,48,0,0
84,06/06/2020,55,0,0
85,07/06/2020,53,19,0
86,08/06/2020,38,0,0
87,09/06/2020,26,0,1
88,10/06/2020,31,47,0
89,11/06/2020,25,39,0
90,12/06/2020,41,0,0
91,13/06/2020,83,37,0
92,14/06/2020,33,118,0
93,15/06/2020,10,0,0
94,16/06/2020,1,123,0
95,17/06/2020,43,0,0
96,18/06/2020,21,83,0
97,19/06/2020,27,18,0
98,20/06/2020,8,23,0
99,21/06/2020,35,79,0
100,22/06/2020,16,23,0
101,23/06/2020,23,25,0
102,24/06/2020,0,97,0
103,25/06/2020,32,122,0
104,26/06/2020,35,36,0
105,27/06/2020,9,16,0
106,28/06/2020,12,8,0
107,29/06/2020,34,6,0
108,30/06/2020,8,0,0
109,01/07/2020,8,1,0
110,02/07/2020,39,53,0
111,03/07/2020,93,53,0
112,04/07/2020,25,3,0
113,05/07/2020,23,4,0
114,06/07/2020,111,13,0
115,07/07/2020,24,29,0
116,08/07/2020,57,76,0
117,09/07/2020,16,14,0
118,10/07/2020,142,34,0
119,11/07/2020,31,3,1
120,12/07/2020,105,46,0
121,13/07/2020,26,54,0
122,14/07/2020,90,63,0
123,15/07/2020,98,66,1
124,16/07/2020,98,33,0
125,17/07/2020,118,47,0
126,18/07/2020,171,51,2
127,19/07/2020,223,24,0
128,20/07/2020,202,86,2
129,21/07/2020,252,81,1
130,22/07/2020,126,107,1
131,23/07/2020,206,39,1
132,24/07/2020,100,59,1
133,25/07/2020,105,79,0
134,26/07/2020,37,152,2
135,27/07/2020,147,105,4
136,28/07/2020,221,154,4
137,29/07/2020,216,57,0
138,30/07/2020,219,284,0
139,31/07/2020,274,365,0
140,01/08/2020,252,136,2
141,02/08/2020,141,142,4
142,03/08/2020,0,0,0
143,04/08/2020,131,70,1
144,05/08/2020,122,50,2
145,06/08/2020,98,68,1
146,07/08/2020,128,67,5
147,08/08/2020,146,224,1
148,09/08/2020,147,92,4
149,10/08/2020,62,267,1
150,11/08/2020,164,213,1
151,12/08/2020,110,182,0
152,13/08/2020,121,74,1
153,14/08/2020,164,103,2
154,15/08/2020,167,73,4
155,16/08/2020,127,63,5
156,17/08/2020,143,135,4
157,18/08/2020,205,118,3
158,19/08/2020,236,93,3
159,20/08/2020,190,68,0
160,21/08/2020,256,86,4
161,22/08/2020,280,410,1
162,23/08/2020,331,121,2
163,24/08/2020,200,159,1
164,25/08/2020,293,73,6
165,26/08/2020,329,160,4
166,27/08/2020,385,123,2
167,28/08/2020,509,142,4
168,29/08/2020,443,198,5
169,30/08/2020,447,195,4
170,31/08/2020,321,201,5
171,01/09/2020,509,221,10
172,02/09/2020,566,193,5
173,03/09/2020,590,186,8
174,04/09/2020,524,179,3
175,05/09/2020,691,271,7
176,06/09/2020,603,262,8
177,07/09/2020,399,303,5
178,08/09/2020,628,294,3
179,09/09/2020,582,311,9
180,10/09/2020,535,340,6
181,11/09/2020,559,262,5
182,12/09/2020,470,479,10
183,13/09/2020,629,398,12
184,14/09/2020,255,404,6
185,15/09/2020,531,389,7
186,16/09/2020,454,510,10
187,17/09/2020,527,521,5
188,18/09/2020,273,603,6
189,19/09/2020,535,583,7
190,20/09/2020,525,645,4
191,21/09/2020,243,654,6
192,22/09/2020,559,419,3
193,23/09/2020,504,603,2
194,24/09/2020,451,492,7
195,25/09/2020,341,509,5
196,26/09/2020,278,505,3
197,27/09/2020,320,400,2
198,28/09/2020,193,567,3
199,29/09/2020,432,244,3
200,30/09/2020,381,489,1
201,01/10/2020,332,400,6
202,02/10/2020,296,504,3
203,03/10/2020,190,301,3
204,04/10/2020,322,513,4
205,05/10/2020,159,466,6
206,06/10/2020,275,255,2
207,07/10/2020,237,546,0
208,08/10/2020,214,389,3
209,09/10/2020,223,408,7
210,10/10/2020,171,327,2
211,11/10/2020,199,285,2
212,12/10/2020,109,317,1
213,13/10/2020,217,220,1
214,14/10/2020,181,418,1
215,15/10/2020,172,353,1
216,16/10/2020,162,371,4
217,17/10/2020,134,270,3
218,18/10/2020,141,187,3
219,19/10/2020,85,328,2
220,20/10/2020,135,198,0
221,21/10/2020,112,265,1
222,22/10/2020,125,239,2
223,23/10/2020,145,250,5
224,24/10/2020,65,238,1
225,25/10/2020,86,146,3
226,26/10/2020,36,183,0
227,27/10/2020,36,84,1
228,28/10/2020,160,202,0
229,29/10/2020,113,170,1
230,30/10/2020,97,212,1
231,31/10/2020,54,141,0
232,01/11/2020,77,170,0
233,02/11/2020,58,186,2
234,03/11/2020,137,84,2
235,04/11/2020,116,112,3
236,05/11/2020,132,115,0
237,06/11/2020,110,121,1
238,07/11/2020,87,126,2
239,08/11/2020,83,66,1
240,09/11/2020,26,107,2
241,10/11/2020,79,44,0
242,11/11/2020,84,49,0
243,12/11/2020,59,150,0
244,13/11/2020,76,106,1
245,14/11/2020,78,100,2
246,15/11/2020,26,64,0
247,16/11/2020,17,77,2
248,17/11/2020,77,76,0
249,18/11/2020,73,119,0
250,19/11/2020,105,106,0
251,20/11/2020,75,112,1
252,21/11/2020,75,116,1
253,22/11/2020,48,95,0
254,23/11/2020,19,90,3
255,24/11/2020,59,27,1
256,25/11/2020,35,72,0
257,26/11/2020,50,73,0
258,27/11/2020,32,58,0
259,28/11/2020,31,69,0
260,29/11/2020,0,0,0
261,30/11/2020,54,162,0
262,01/12/2020,31,34,0
263,02/12/2020,38,57,2
264,03/12/2020,39,58,0
265,04/12/2020,33,68,0
266,05/12/2020,24,62,0
267,06/12/2020,31,59,0
268,07/12/2020,6,42,1
269,08/12/2020,28,15,0
270,09/12/2020,20,44,0
271,10/12/2020,31,35,0
272,11/12/2020,21,46,1
273,12/12/2020,18,35,1
274,13/12/2020,23,25,1
275,14/12/2020,10,32,0
276,15/12/2020,9,25,0
277,16/12/2020,24,30,2
278,17/12/2020,17,32,0
279,18/12/2020,21,42,0
280,19/12/2020,26,30,0
281,20/12/2020,22,31,0
282,21/12/2020,8,29,2
283,22/12/2020,13,34,0
284,23/12/2020,15,18,3
285,24/12/2020,13,27,1
286,25/12/2020,9,17,0
287,26/12/2020,1,15,1
288,27/12/2020,11,23,0
289,28/12/2020,7,16,0
290,29/12/2020,2,10,0
291,30/12/2020,12,14,0
292,31/12/2020,6,16,0
293,01/01/2021,4,28,0
294,02/01/2021,8,16,0
295,03/01/2021,6,14,0
296,04/01/2021,1,6,0
297,05/01/2021,1,11,0
298,06/01/2021,2,9,2
299,07/01/2021,8,8,0
300,08/01/2021,5,9,1
301,09/01/2021,0,0,0
302,10/01/2021,8,10,0
303,11/01/2021,0,7,0
304,12/01/2021,2,3,0
305,13/01/2021,6,8,1
306,14/01/2021,5,6,0
307,15/01/2021,5,4,1
308,16/01/2021,4,7,1
309,17/01/2021,0,0,0
310,18/01/2021,3,5,0
311,19/01/2021,3,3,0
312,20/01/2021,1,2,0
313,21/01/2021,2,4,0
314,22/01/2021,4,5,0
315,23/01/2021,2,3,0
316,24/01/2021,0,0,0
317,25/01/2021,1,3,0
318,26/01/2021,1,5,0
319,27/01/2021,0,4,0
320,28/01/2021,0,3,0
321,29/01/2021,2,2,0
322,30/01/2021,2,2,0
323,31/01/2021,0,0,0
324,01/02/2021,1,3,0
325,02/02/2021,0,2,0
326,03/02/2021,0,0,0
327,04/02/2021,0,5,0
328,05/02/2021,1,1,0
329,06/02/2021,0,1,0
330,07/02/2021,0,3,0
331,08/02/2021,0,0,0
332,09/02/2021,1,2,0
333,10/02/2021,0,0,0
334,11/02/2021,0,2,0
335,12/02/2021,0,2,0
336,13/02/2021,0,0,0
337,14/02/2021,0,1,0
338,15/02/2021,0,0,0
339,16/02/2021,0,0,0
340,17/02/2021,2,0,0
341,18/02/2021,2,1,0
342,19/02/2021,0,0,0
343,20/02/2021,35,0,0
344,21/02/2021,0,0,0
345,22/02/2021,2,1,0
346,23/02/2021,4,0,0
347,24/02/2021,2,0,0
348,25/02/2021,0,22,0
349,26/02/2021,7,0,0
350,27/02/2021,0,0,0
351,28/02/2021,0,0,0
352,01/03/2021,10,3,0
353,02/03/2021,0,0,0
354,03/03/2021,3,2,0
355,04/03/2021,2,9,0
356,05/03/2021,0,0,0
357,06/03/2021,2,4,0
358,07/03/2021,0,0,0
359,08/03/2021,0,1,0
360,09/03/2021,0,0,0
361,10/03/2021,0,0,0
362,11/03/2021,1,13,0
363,12/03/2021,0,0,0
364,13/03/2021,2,10,0
365,14/03/2021,2,0,0
366,15/03/2021,0,0,0
367,16/03/2021,11,3,0
368,17/03/2021,1,10,0
369,18/03/2021,3,2,0
370,19/03/2021,10,1,0
371,20/03/2021,5,1,0
372,21/03/2021,5,0,0
373,22/03/2021,0,0,0
374,23/03/2021,6,1,1
375,24/03/2021,9,0,0
376,25/03/2021,1,1,0
377,26/03/2021,0,0,0
378,27/03/2021,10,2,0
379,28/03/2021,0,0,0
380,29/03/2021,3,5,0
381,30/03/2021,0,0,0
382,31/03/2021,0,0,0
383,01/04/2021,24,13,0
384,02/04/2021,4,5,0
385,03/04/2021,2,5,0
386,04/04/2021,14,0,0
387,05/04/2021,3,10,0
388,06/04/2021,14,6,0
389,07/04/2021,21,1,1
390,08/04/2021,37,3,0
391,09/04/2021,32,8,0
392,10/04/2021,41,1,0
393,11/04/2021,48,0,0
394,12/04/2021,10,2,1
