,Date,Confirmed,Recovered,Deceased
0,14/03/2020,12,4,0
1,15/03/2020,1,0,0
2,16/03/2020,0,0,0
3,17/03/2020,2,1,0
4,18/03/2020,2,0,0
5,19/03/2020,3,4,0
6,20/03/2020,4,0,0
7,21/03/2020,4,0,0
8,22/03/2020,2,0,0
9,23/03/2020,2,0,0
10,24/03/2020,3,2,0
11,25/03/2020,3,0,0
12,26/03/2020,4,0,0
13,27/03/2020,7,0,0
14,28/03/2020,16,0,0
15,29/03/2020,7,0,0
16,30/03/2020,24,6,0
17,31/03/2020,8,0,0
18,01/04/2020,13,0,2
19,02/04/2020,11,0,0
20,03/04/2020,46,0,0
21,04/04/2020,60,4,0
22,05/04/2020,44,0,1
23,06/04/2020,27,0,0
24,07/04/2020,27,0,0
25,08/04/2020,29,10,1
26,09/04/2020,49,0,0
27,10/04/2020,23,1,0
28,11/04/2020,19,13,1
29,12/04/2020,31,0,0
30,13/04/2020,75,4,0
31,14/04/2020,102,1,3
32,15/04/2020,75,7,3
33,16/04/2020,70,11,2
34,17/04/2020,44,14,1
35,18/04/2020,126,26,0
36,19/04/2020,125,19,3
37,20/04/2020,84,13,1
38,21/04/2020,153,22,3
39,22/04/2020,112,11,0
40,23/04/2020,61,33,3
41,24/04/2020,111,20,1
42,25/04/2020,172,35,2
43,26/04/2020,80,66,3
44,27/04/2020,113,72,1
45,28/04/2020,67,63,3
46,29/04/2020,81,48,5
47,30/04/2020,77,41,1
48,01/05/2020,117,103,2
49,02/05/2020,159,44,1
50,03/05/2020,158,56,0
51,04/05/2020,121,48,7
52,05/05/2020,114,185,6
53,06/05/2020,118,143,4
54,07/05/2020,73,120,2
55,08/05/2020,143,137,4
56,09/05/2020,159,112,8
57,10/05/2020,94,154,5
58,11/05/2020,106,105,1
59,12/05/2020,91,115,2
60,13/05/2020,94,92,4
61,14/05/2020,144,107,2
62,15/05/2020,155,93,7
63,16/05/2020,201,276,9
64,17/05/2020,206,195,8
65,18/05/2020,141,147,6
66,19/05/2020,321,135,5
67,20/05/2020,249,148,4
68,21/05/2020,340,138,11
69,22/05/2020,220,120,14
70,23/05/2020,282,82,3
71,24/05/2020,251,132,6
72,25/05/2020,229,122,8
73,26/05/2020,227,164,8
74,27/05/2020,267,167,5
75,28/05/2020,179,224,15
76,29/05/2020,275,195,4
77,30/05/2020,256,241,12
78,31/05/2020,374,192,4
79,01/06/2020,286,187,5
80,02/06/2020,368,146,7
81,03/06/2020,141,81,1
82,04/06/2020,367,182,15
83,05/06/2020,496,209,12
84,06/06/2020,370,260,11
85,07/06/2020,433,277,7
86,08/06/2020,411,159,8
87,09/06/2020,388,325,18
88,10/06/2020,275,302,20
89,11/06/2020,478,321,24
90,12/06/2020,528,317,20
91,13/06/2020,502,266,20
92,14/06/2020,497,393,14
93,15/06/2020,476,342,18
94,16/06/2020,507,294,18
95,17/06/2020,583,335,30
96,18/06/2020,604,399,23
97,19/06/2020,809,357,19
98,20/06/2020,541,374,22
99,21/06/2020,596,626,21
100,22/06/2020,591,606,19
101,23/06/2020,571,515,19
102,24/06/2020,664,470,8
103,25/06/2020,636,533,15
104,26/06/2020,750,464,19
105,27/06/2020,606,632,19
106,28/06/2020,598,593,11
107,29/06/2020,681,698,12
108,30/06/2020,664,578,25
109,01/07/2020,564,545,21
110,02/07/2020,769,592,17
111,03/07/2020,972,376,14
112,04/07/2020,757,557,24
113,05/07/2020,1153,607,12
114,06/07/2020,929,348,24
115,07/07/2020,1332,518,18
116,08/07/2020,1188,704,18
117,09/07/2020,1206,796,17
118,10/07/2020,1338,660,27
119,11/07/2020,1392,902,24
120,12/07/2020,1384,645,21
121,13/07/2020,1654,869,21
122,14/07/2020,1594,778,28
123,15/07/2020,1659,762,29
124,16/07/2020,2058,932,34
125,17/07/2020,1722,959,38
126,18/07/2020,1873,1030,24
127,19/07/2020,2211,1181,38
128,20/07/2020,1913,986,46
129,21/07/2020,2128,1024,37
130,22/07/2020,2300,1645,34
131,23/07/2020,2516,2303,35
132,24/07/2020,2667,1909,50
133,25/07/2020,2971,2191,39
134,26/07/2020,3246,1738,39
135,27/07/2020,3505,1192,30
136,28/07/2020,3458,1687,41
137,29/07/2020,3383,1287,33
138,30/07/2020,3705,996,57
139,31/07/2020,4422,2060,43
140,01/08/2020,3587,2471,47
141,02/08/2020,3873,2023,53
142,03/08/2020,4441,2036,48
143,04/08/2020,2948,1878,39
144,05/08/2020,4078,3287,40
145,06/08/2020,4586,2844,61
146,07/08/2020,4404,3432,63
147,08/08/2020,4660,2999,47
148,09/08/2020,4571,2817,41
149,10/08/2020,4113,4074,51
150,11/08/2020,5041,3865,56
151,12/08/2020,4475,4072,54
152,13/08/2020,4537,4125,50
153,14/08/2020,4512,3740,55
154,15/08/2020,4774,3705,58
155,16/08/2020,4357,4201,56
156,17/08/2020,3798,4376,66
157,18/08/2020,4218,4799,70
158,19/08/2020,5076,5620,53
159,20/08/2020,4824,5863,95
