,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,1,0,0
3,17/03/2020,0,0,0
4,18/03/2020,1,0,0
5,19/03/2020,1,0,0
6,20/03/2020,0,0,0
7,21/03/2020,0,0,0
8,22/03/2020,0,0,0
9,23/03/2020,1,0,0
10,24/03/2020,0,0,0
11,25/03/2020,1,0,0
12,26/03/2020,0,0,0
13,27/03/2020,0,0,0
14,28/03/2020,1,1,0
15,29/03/2020,1,0,0
16,30/03/2020,0,1,0
17,31/03/2020,0,0,0
18,01/04/2020,0,0,0
19,02/04/2020,3,0,0
20,03/04/2020,6,0,0
21,04/04/2020,6,0,0
22,05/04/2020,4,2,0
23,06/04/2020,5,0,0
24,07/04/2020,0,0,0
25,08/04/2020,4,1,0
26,09/04/2020,0,0,0
27,10/04/2020,0,0,0
28,11/04/2020,0,0,0
29,12/04/2020,0,0,0
30,13/04/2020,0,2,0
31,14/04/2020,2,2,0
32,15/04/2020,0,0,0
33,16/04/2020,0,0,0
34,17/04/2020,3,0,0
35,18/04/2020,2,0,0
36,19/04/2020,2,2,0
37,20/04/2020,2,7,0
38,21/04/2020,0,1,0
39,22/04/2020,0,4,0
40,23/04/2020,1,1,0
41,24/04/2020,1,1,0
42,25/04/2020,0,1,0
43,26/04/2020,3,0,0
44,27/04/2020,0,0,0
45,28/04/2020,3,0,0
46,29/04/2020,1,2,0
47,30/04/2020,2,8,0
48,01/05/2020,0,1,1
49,02/05/2020,2,2,0
50,03/05/2020,1,0,0
51,04/05/2020,0,0,0
52,05/05/2020,1,0,0
53,06/05/2020,0,0,0
54,07/05/2020,0,0,0
55,08/05/2020,2,6,0
56,09/05/2020,4,1,0
57,10/05/2020,1,0,0
58,11/05/2020,0,0,0
59,12/05/2020,1,0,0
60,13/05/2020,3,0,0
61,14/05/2020,6,4,0
62,15/05/2020,4,1,0
63,16/05/2020,9,0,0
64,17/05/2020,1,1,0
65,18/05/2020,4,0,0
66,19/05/2020,15,0,0
67,20/05/2020,15,1,0
68,21/05/2020,19,0,0
69,22/05/2020,8,0,0
70,23/05/2020,91,2,0
71,24/05/2020,73,3,2
72,25/05/2020,32,0,1
73,26/05/2020,51,6,0
74,27/05/2020,69,15,0
75,28/05/2020,31,0,0
76,29/05/2020,216,23,0
77,30/05/2020,33,0,1
78,31/05/2020,158,0,0
79,01/06/2020,52,120,0
80,02/06/2020,84,30,2
81,03/06/2020,42,7,1
82,04/06/2020,68,38,2
83,05/06/2020,62,47,1
84,06/06/2020,88,78,0
85,07/06/2020,52,106,2
86,08/06/2020,56,186,0
87,09/06/2020,126,41,0
88,10/06/2020,25,76,2
89,11/06/2020,93,55,1
90,12/06/2020,69,61,5
91,13/06/2020,61,130,2
92,14/06/2020,34,34,1
93,15/06/2020,26,78,0
94,16/06/2020,97,27,1
95,17/06/2020,81,38,1
96,18/06/2020,80,132,0
97,19/06/2020,74,47,0
98,20/06/2020,124,17,1
99,21/06/2020,43,50,0
100,22/06/2020,58,21,1
101,23/06/2020,133,81,2
102,24/06/2020,88,119,5
103,25/06/2020,68,37,1
104,26/06/2020,34,64,1
105,27/06/2020,66,87,0
106,28/06/2020,32,109,1
107,29/06/2020,8,93,1
108,30/06/2020,50,120,2
109,01/07/2020,66,86,0
110,02/07/2020,37,88,1
111,03/07/2020,64,76,0
112,04/07/2020,45,21,0
113,05/07/2020,31,22,0
114,06/07/2020,37,62,0
115,07/07/2020,69,35,1
116,08/07/2020,28,29,3
117,09/07/2020,47,22,0
118,10/07/2020,68,34,0
119,11/07/2020,44,12,0
120,12/07/2020,120,68,1
121,13/07/2020,71,70,2
122,14/07/2020,78,11,1
123,15/07/2020,99,81,0
124,16/07/2020,197,47,0
125,17/07/2020,120,26,1
126,18/07/2020,174,60,1
127,19/07/2020,239,35,0
128,20/07/2020,127,96,3
129,21/07/2020,207,85,0
130,22/07/2020,451,52,2
131,23/07/2020,145,50,3
132,24/07/2020,272,42,2
133,25/07/2020,244,54,1
134,26/07/2020,143,71,0
135,27/07/2020,224,109,3
136,28/07/2020,259,45,4
137,29/07/2020,279,91,2
138,30/07/2020,199,185,4
139,31/07/2020,118,172,4
140,01/08/2020,264,162,3
141,02/08/2020,146,107,3
142,03/08/2020,207,101,4
143,04/08/2020,208,309,5
144,05/08/2020,246,386,3
145,06/08/2020,369,194,4
146,07/08/2020,278,304,10
147,08/08/2020,501,232,5
148,09/08/2020,230,171,8
149,10/08/2020,389,167,9
150,11/08/2020,411,169,2
151,12/08/2020,454,217,4
152,13/08/2020,416,327,3
153,14/08/2020,313,488,4
154,15/08/2020,325,246,4
155,16/08/2020,235,352,1
156,17/08/2020,318,385,6
157,18/08/2020,468,239,6
158,19/08/2020,264,408,14
159,20/08/2020,411,301,9
160,21/08/2020,447,243,5
161,22/08/2020,483,345,3
162,23/08/2020,558,459,5
163,24/08/2020,405,432,7
164,25/08/2020,485,289,6
165,26/08/2020,535,323,6
166,27/08/2020,728,251,9
167,28/08/2020,588,349,11
168,29/08/2020,706,400,11
169,30/08/2020,664,480,7
170,31/08/2020,592,604,12
171,01/09/2020,571,404,11
172,02/09/2020,836,425,11
173,03/09/2020,946,508,9
174,04/09/2020,831,502,12
175,05/09/2020,950,535,18
176,06/09/2020,668,591,11
177,07/09/2020,807,473,7
178,08/09/2020,658,427,12
179,09/09/2020,1117,789,12
180,10/09/2020,1015,521,5
181,11/09/2020,995,645,11
182,12/09/2020,1115,603,14
183,13/09/2020,1637,1009,12
184,14/09/2020,1043,1037,15
185,15/09/2020,1391,1008,9
186,16/09/2020,1540,1192,9
187,17/09/2020,1192,533,13
188,18/09/2020,868,1285,4
189,19/09/2020,2078,878,14
190,20/09/2020,878,855,13
191,21/09/2020,814,1172,10
192,22/09/2020,874,1107,11
193,23/09/2020,1069,1016,17
194,24/09/2020,684,1031,13
195,25/09/2020,928,1488,13
196,26/09/2020,949,1007,11
197,27/09/2020,764,813,8
198,28/09/2020,457,1184,6
199,29/09/2020,493,1413,11
200,30/09/2020,1005,976,20
201,01/10/2020,248,801,14
202,02/10/2020,311,340,11
203,03/10/2020,503,919,12
204,04/10/2020,1419,392,4
205,05/10/2020,510,881,17
206,06/10/2020,338,600,8
207,07/10/2020,630,663,11
208,08/10/2020,400,904,14
209,09/10/2020,704,1239,14
210,10/10/2020,462,412,18
211,11/10/2020,526,456,13
212,12/10/2020,296,664,15
213,13/10/2020,294,665,20
214,14/10/2020,429,827,14
215,15/10/2020,423,833,18
216,16/10/2020,549,524,15
217,17/10/2020,606,665,95
218,18/10/2020,376,162,3
219,19/10/2020,336,504,6
220,20/10/2020,241,376,13
221,21/10/2020,505,770,14
222,22/10/2020,402,568,8
223,23/10/2020,288,518,11
224,24/10/2020,359,451,5
225,25/10/2020,221,319,9
226,26/10/2020,368,700,8
227,27/10/2020,213,422,6
228,28/10/2020,304,463,2
229,29/10/2020,305,456,0
230,30/10/2020,349,242,2
231,31/10/2020,413,152,12
232,01/11/2020,222,178,4
233,02/11/2020,331,441,2
234,03/11/2020,316,409,4
235,04/11/2020,388,270,5
236,05/11/2020,480,602,9
237,06/11/2020,473,404,9
238,07/11/2020,498,337,7
239,08/11/2020,243,155,2
240,09/11/2020,398,205,10
241,10/11/2020,328,505,5
242,11/11/2020,783,471,6
243,12/11/2020,451,532,7
244,13/11/2020,467,300,4
245,14/11/2020,296,164,5
246,15/11/2020,213,218,5
247,16/11/2020,243,441,9
248,17/11/2020,429,440,3
249,18/11/2020,420,425,9
250,19/11/2020,386,388,5
251,20/11/2020,512,585,5
252,21/11/2020,585,458,8
253,22/11/2020,466,251,9
254,23/11/2020,376,428,7
255,24/11/2020,528,173,18
256,25/11/2020,482,444,5
257,26/11/2020,355,317,11
258,27/11/2020,530,391,5
259,28/11/2020,424,342,13
260,29/11/2020,389,278,8
261,30/11/2020,455,352,9
262,01/12/2020,473,538,7
263,02/12/2020,516,473,13
264,03/12/2020,491,433,12
265,04/12/2020,618,560,10
266,05/12/2020,680,457,8
267,06/12/2020,424,346,4
268,07/12/2020,512,471,10
269,08/12/2020,632,436,12
270,09/12/2020,515,425,13
271,10/12/2020,830,513,12
272,11/12/2020,725,508,9
273,12/12/2020,728,435,10
274,13/12/2020,490,396,4
275,14/12/2020,577,707,6
276,15/12/2020,496,524,11
277,16/12/2020,567,498,3
278,17/12/2020,620,676,9
279,18/12/2020,580,547,15
280,19/12/2020,584,556,9
281,20/12/2020,464,347,5
282,21/12/2020,448,1013,13
283,22/12/2020,611,655,13
284,23/12/2020,564,547,8
285,24/12/2020,436,579,11
286,25/12/2020,468,271,5
287,26/12/2020,374,416,13
288,27/12/2020,427,229,7
289,28/12/2020,205,305,6
290,29/12/2020,317,555,6
291,30/12/2020,449,724,9
292,31/12/2020,304,539,5
293,01/01/2021,361,492,6
294,02/01/2021,263,463,7
295,03/01/2021,267,244,5
296,04/01/2021,301,695,8
297,05/01/2021,254,483,9
298,06/01/2021,227,415,5
299,07/01/2021,249,439,6
300,08/01/2021,269,390,7
301,09/01/2021,287,243,6
302,10/01/2021,223,303,5
303,11/01/2021,156,523,5
304,12/01/2021,184,276,11
305,13/01/2021,209,289,4
306,14/01/2021,154,187,3
307,15/01/2021,141,234,6
308,16/01/2021,226,272,4
309,17/01/2021,112,98,5
310,18/01/2021,120,330,6
311,19/01/2021,116,251,2
312,20/01/2021,153,131,3
313,21/01/2021,162,283,4
314,22/01/2021,110,183,3
315,23/01/2021,122,212,0
316,24/01/2021,54,25,2
317,25/01/2021,62,254,4
318,26/01/2021,39,102,1
319,27/01/2021,85,96,3
320,28/01/2021,82,178,3
321,29/01/2021,78,116,0
322,30/01/2021,82,167,1
323,31/01/2021,61,86,1
324,01/02/2021,51,139,4
325,02/02/2021,47,80,3
326,03/02/2021,54,95,4
327,04/02/2021,103,92,4
328,05/02/2021,47,97,3
329,06/02/2021,47,50,2
330,07/02/2021,15,35,4
331,08/02/2021,43,142,3
332,09/02/2021,54,67,2
333,10/02/2021,35,110,1
334,11/02/2021,48,77,2
335,12/02/2021,49,63,2
336,13/02/2021,44,47,2
337,14/02/2021,54,1,0
338,15/02/2021,47,99,0
339,16/02/2021,53,96,2
340,17/02/2021,44,53,1
341,18/02/2021,41,30,1
342,19/02/2021,26,68,2
343,20/02/2021,-374,-265,0
344,21/02/2021,30,16,1
345,22/02/2021,32,72,2
346,23/02/2021,54,38,1
347,24/02/2021,47,80,0
348,25/02/2021,17,52,0
349,26/02/2021,53,38,1
350,27/02/2021,59,4,1
351,28/02/2021,43,11,0
352,01/03/2021,27,26,0
353,02/03/2021,70,65,0
354,03/03/2021,45,31,0
355,04/03/2021,100,19,0
356,05/03/2021,51,35,2
357,06/03/2021,78,38,0
358,07/03/2021,59,22,1
359,08/03/2021,58,26,0
360,09/03/2021,49,98,0
361,10/03/2021,36,45,2
362,11/03/2021,69,26,1
363,12/03/2021,66,68,2
364,13/03/2021,54,106,2
365,14/03/2021,52,24,1
366,15/03/2021,60,86,1
367,16/03/2021,65,47,0
368,17/03/2021,110,35,0
369,18/03/2021,88,61,0
370,19/03/2021,99,69,0
371,20/03/2021,83,50,0
372,21/03/2021,137,32,0
373,22/03/2021,104,71,0
374,23/03/2021,94,52,2
375,24/03/2021,234,49,0
376,25/03/2021,192,121,1
377,26/03/2021,186,161,1
378,27/03/2021,257,67,1
379,28/03/2021,366,42,3
380,29/03/2021,109,40,-1
381,30/03/2021,128,147,2
382,31/03/2021,293,118,4
383,01/04/2021,500,125,2
384,02/04/2021,364,194,2
385,03/04/2021,439,176,4
386,04/04/2021,550,148,2
387,05/04/2021,547,323,2
388,06/04/2021,791,351,7
389,07/04/2021,1109,88,5
390,08/04/2021,787,265,3
391,09/04/2021,748,327,5
