,Date,Confirmed,Recovered,Deceased
0,14/03/2020,0,0,0
1,15/03/2020,0,0,0
2,16/03/2020,0,0,0
3,17/03/2020,1,0,0
4,18/03/2020,0,0,0
5,19/03/2020,0,0,0
6,20/03/2020,1,0,0
7,21/03/2020,2,0,0
8,22/03/2020,3,0,0
9,23/03/2020,0,0,1
10,24/03/2020,2,0,0
11,25/03/2020,0,0,0
12,26/03/2020,1,0,0
13,27/03/2020,5,0,0
14,28/03/2020,3,0,0
15,29/03/2020,3,0,0
16,30/03/2020,1,0,1
17,31/03/2020,15,3,1
18,01/04/2020,0,0,0
19,02/04/2020,16,0,0
20,03/04/2020,0,0,0
21,04/04/2020,0,0,0
22,05/04/2020,27,7,0
23,06/04/2020,0,0,0
24,07/04/2020,11,3,0
25,08/04/2020,8,0,2
26,09/04/2020,4,3,0
27,10/04/2020,13,0,0
28,11/04/2020,10,0,0
29,12/04/2020,8,3,2
30,13/04/2020,18,10,0
31,14/04/2020,38,7,0
32,15/04/2020,23,1,0
33,16/04/2020,18,5,3
34,17/04/2020,24,9,0
35,18/04/2020,32,4,2
36,19/04/2020,23,7,0
37,20/04/2020,29,4,0
38,21/04/2020,53,7,3
39,22/04/2020,31,0,0
40,23/04/2020,33,6,0
41,24/04/2020,58,24,3
42,25/04/2020,57,0,0
43,26/04/2020,40,2,2
44,27/04/2020,38,0,0
45,28/04/2020,48,4,2
46,29/04/2020,28,10,0
47,30/04/2020,33,5,11
48,01/05/2020,37,15,8
49,02/05/2020,127,12,7
50,03/05/2020,276,-19,74
51,04/05/2020,61,86,11
52,05/05/2020,85,46,7
53,06/05/2020,112,1,4
54,07/05/2020,92,31,7
55,08/05/2020,130,27,9
56,09/05/2020,108,49,11
57,10/05/2020,153,45,14
58,11/05/2020,124,82,5
59,12/05/2020,110,113,8
60,13/05/2020,117,90,9
61,14/05/2020,87,66,8
62,15/05/2020,84,61,10
63,16/05/2020,115,63,7
64,17/05/2020,101,67,6
65,18/05/2020,147,47,6
66,19/05/2020,137,68,6
67,20/05/2020,142,62,3
68,21/05/2020,94,57,6
69,22/05/2020,135,28,6
70,23/05/2020,127,60,4
71,24/05/2020,208,58,3
72,25/05/2020,149,75,6
73,26/05/2020,193,72,5
74,27/05/2020,183,92,6
75,28/05/2020,344,90,6
76,29/05/2020,277,107,7
77,30/05/2020,317,195,7
78,31/05/2020,371,187,8
79,01/06/2020,271,149,8
80,02/06/2020,396,104,10
81,03/06/2020,340,170,10
82,04/06/2020,368,188,10
83,05/06/2020,427,144,11
84,06/06/2020,435,207,17
85,07/06/2020,449,184,13
86,08/06/2020,426,162,9
87,09/06/2020,372,155,10
88,10/06/2020,343,159,17
89,11/06/2020,440,209,10
90,12/06/2020,476,218,9
91,13/06/2020,454,336,12
92,14/06/2020,389,518,12
93,15/06/2020,407,434,10
94,16/06/2020,415,534,10
95,17/06/2020,391,505,11
96,18/06/2020,435,468,12
97,19/06/2020,355,302,11
98,20/06/2020,441,562,11
99,21/06/2020,414,432,15
100,22/06/2020,413,390,14
101,23/06/2020,370,531,11
102,24/06/2020,445,484,11
103,25/06/2020,475,488,15
104,26/06/2020,542,345,10
105,27/06/2020,521,254,13
106,28/06/2020,572,404,10
107,29/06/2020,624,526,14
108,30/06/2020,652,411,15
109,01/07/2020,611,398,15
110,02/07/2020,649,509,16
111,03/07/2020,669,534,18
112,04/07/2020,743,595,19
113,05/07/2020,895,545,21
114,06/07/2020,861,524,22
115,07/07/2020,850,555,25
116,08/07/2020,986,501,23
117,09/07/2020,1088,535,27
118,10/07/2020,1198,522,26
119,11/07/2020,1344,611,26
120,12/07/2020,1560,622,26
121,13/07/2020,1435,632,24
122,14/07/2020,1390,718,24
123,15/07/2020,1589,749,20
124,16/07/2020,1690,735,23
125,17/07/2020,1894,838,26
126,18/07/2020,2198,1286,27
127,19/07/2020,2278,1344,36
128,20/07/2020,2282,1535,35
129,21/07/2020,2261,1617,35
130,22/07/2020,2291,1615,39
131,23/07/2020,2436,2006,34
132,24/07/2020,2216,1873,35
133,25/07/2020,2404,2125,42
134,26/07/2020,2341,2097,40
135,27/07/2020,2112,2166,39
136,28/07/2020,2134,2105,38
137,29/07/2020,2294,2094,41
138,30/07/2020,2434,2140,46
139,31/07/2020,2496,2118,45
140,01/08/2020,2589,2143,48
141,02/08/2020,2739,2213,49
142,03/08/2020,2716,2088,53
143,04/08/2020,2752,2066,54
144,05/08/2020,2816,2078,61
145,06/08/2020,2954,2061,56
146,07/08/2020,2912,2037,52
147,08/08/2020,2949,2064,51
148,09/08/2020,2939,1996,54
149,10/08/2020,2905,3208,41
150,11/08/2020,2931,3067,49
151,12/08/2020,2936,2725,54
152,13/08/2020,2997,2497,56
153,14/08/2020,3035,2572,60
154,15/08/2020,3074,2647,58
155,16/08/2020,3066,2935,51
156,17/08/2020,3080,2932,45
157,18/08/2020,3175,2987,55
158,19/08/2020,3169,2973,53
159,20/08/2020,3197,3126,53
160,21/08/2020,3245,3082,55
161,22/08/2020,3232,3088,48
162,23/08/2020,3274,3048,57
163,24/08/2020,2967,3285,57
164,25/08/2020,2964,3251,58
165,26/08/2020,2974,3314,55
166,27/08/2020,2997,3189,53
167,28/08/2020,2982,3286,56
168,29/08/2020,3012,3312,53
169,30/08/2020,3019,3308,50
170,31/08/2020,2993,3318,52
171,01/09/2020,2943,3346,55
172,02/09/2020,2976,3297,56
173,03/09/2020,2984,3335,55
174,04/09/2020,2978,3305,58
175,05/09/2020,3042,3248,58
176,06/09/2020,3087,3207,52
177,07/09/2020,3077,3021,58
178,08/09/2020,3091,2996,57
179,09/09/2020,3107,2967,53
180,10/09/2020,3112,3035,41
181,11/09/2020,3157,3016,57
182,12/09/2020,3161,3042,59
183,13/09/2020,3215,3054,58
184,14/09/2020,3211,3084,58
185,15/09/2020,3227,2919,59
186,16/09/2020,3237,2971,61
187,17/09/2020,3197,2948,60
188,18/09/2020,3192,2960,59
189,19/09/2020,3188,2993,56
190,20/09/2020,3177,2958,61
191,21/09/2020,3165,3011,62
192,22/09/2020,3182,3047,62
193,23/09/2020,3189,2998,61
194,24/09/2020,3196,3014,62
195,25/09/2020,3190,2978,59
196,26/09/2020,3181,2955,56
197,27/09/2020,3185,2946,60
198,28/09/2020,3155,2923,56
199,29/09/2020,3188,2961,62
200,30/09/2020,3281,2954,59
201,01/10/2020,3275,2996,59
202,02/10/2020,3310,2944,53
203,03/10/2020,3340,3013,62
204,04/10/2020,3357,2986,62
205,05/10/2020,3348,3009,61
206,06/10/2020,3370,3036,63
207,07/10/2020,3455,3024,58
208,08/10/2020,3526,2970,63
209,09/10/2020,3573,3069,62
210,10/10/2020,3591,3032,62
211,11/10/2020,3612,3110,59
212,12/10/2020,3583,3155,60
213,13/10/2020,3631,3185,62
214,14/10/2020,3677,3096,64
215,15/10/2020,3720,3179,62
216,16/10/2020,3771,3194,61
217,17/10/2020,3865,3183,61
218,18/10/2020,3983,3113,64
219,19/10/2020,3992,3272,63
220,20/10/2020,4029,3382,61
221,21/10/2020,4069,3596,64
222,22/10/2020,4157,3608,64
223,23/10/2020,4143,3676,60
224,24/10/2020,4148,3753,59
225,25/10/2020,4127,3857,60
226,26/10/2020,4121,3889,59
227,27/10/2020,3957,3917,58
228,28/10/2020,3924,3925,60
229,29/10/2020,3989,3945,61
230,30/10/2020,3979,4015,59
231,31/10/2020,3993,4049,57
232,01/11/2020,3987,4053,59
233,02/11/2020,3957,4085,57
234,03/11/2020,3981,4058,56
235,04/11/2020,3987,4129,55
236,05/11/2020,3948,4187,54
237,06/11/2020,3942,4283,55
238,07/11/2020,3928,4339,58
239,08/11/2020,3920,4383,59
240,09/11/2020,3907,4396,56
241,10/11/2020,3891,4415,53
242,11/11/2020,3872,4431,49
243,12/11/2020,3856,4453,54
244,13/11/2020,3835,4468,51
245,14/11/2020,3823,4479,53
246,15/11/2020,3053,4480,51
247,16/11/2020,3012,4376,53
248,17/11/2020,3654,4388,52
249,18/11/2020,3668,4429,54
250,19/11/2020,3620,3990,53
251,20/11/2020,3626,3850,50
252,21/11/2020,3639,3794,53
253,22/11/2020,3591,3726,49
254,23/11/2020,3557,3687,47
255,24/11/2020,3545,3646,49
256,25/11/2020,3528,3605,51
257,26/11/2020,3507,3537,52
258,27/11/2020,3489,3496,46
259,28/11/2020,3459,3487,52
260,29/11/2020,3367,3445,54
261,30/11/2020,2671,2730,48
262,01/12/2020,3315,3340,52
263,02/12/2020,3271,3275,51
264,03/12/2020,3246,3257,49
265,04/12/2020,3206,3215,52
266,05/12/2020,3175,3207,49
267,06/12/2020,3143,3167,46
268,07/12/2020,2214,2231,48
269,08/12/2020,2941,2971,49
270,09/12/2020,2956,3009,47
271,10/12/2020,2801,2951,49
272,11/12/2020,2753,2873,50
273,12/12/2020,2710,2913,44
274,13/12/2020,2580,2994,47
275,14/12/2020,1834,2980,43
276,15/12/2020,2289,2965,45
277,16/12/2020,2293,2767,46
278,17/12/2020,2245,2747,44
279,18/12/2020,2239,2729,42
280,19/12/2020,2155,2717,43
281,20/12/2020,1978,2627,40
282,21/12/2020,1515,2342,41
283,22/12/2020,1653,2270,38
284,23/12/2020,1628,2153,34
285,24/12/2020,1590,2054,32
286,25/12/2020,1541,1954,31
287,26/12/2020,1253,1861,33
288,27/12/2020,1435,1740,29
289,28/12/2020,1028,1614,27
290,29/12/2020,1244,1587,30
291,30/12/2020,1178,1557,28
292,31/12/2020,1170,1537,29
293,01/01/2021,1153,1496,26
294,02/01/2021,863,1443,28
295,03/01/2021,896,1432,26
296,04/01/2021,597,1347,25
297,05/01/2021,812,1166,24
298,06/01/2021,868,1271,22
299,07/01/2021,921,1295,18
300,08/01/2021,926,1136,21
301,09/01/2021,787,978,20
302,10/01/2021,823,957,19
303,11/01/2021,612,939,16
304,12/01/2021,751,879,18
305,13/01/2021,723,794,18
306,14/01/2021,680,694,17
307,15/01/2021,623,656,16
308,16/01/2021,609,666,15
309,17/01/2021,565,621,12
310,18/01/2021,389,569,10
311,19/01/2021,412,513,11
312,20/01/2021,409,509,6
313,21/01/2021,416,517,9
314,22/01/2021,406,493,8
315,23/01/2021,410,474,10
316,24/01/2021,389,454,8
317,25/01/2021,252,417,7
318,26/01/2021,295,409,9
319,27/01/2021,234,386,8
320,28/01/2021,289,367,9
321,29/01/2021,286,349,7
322,30/01/2021,310,341,9
323,31/01/2021,229,338,9
324,01/02/2021,179,306,6
325,02/02/2021,203,309,9
326,03/02/2021,201,303,7
327,04/02/2021,206,301,4
328,05/02/2021,194,297,2
329,06/02/2021,197,293,1
330,07/02/2021,193,289,5
331,08/02/2021,119,279,2
332,09/02/2021,146,276,6
333,10/02/2021,179,283,5
334,11/02/2021,217,286,5
335,12/02/2021,188,264,4
336,13/02/2021,185,257,1
337,14/02/2021,190,262,2
338,15/02/2021,133,258,1
339,16/02/2021,151,255,2
340,17/02/2021,133,249,2
341,18/02/2021,181,243,2
342,19/02/2021,194,238,3
343,20/02/2021,193,235,4
344,21/02/2021,182,233,3
345,22/02/2021,148,231,2
346,23/02/2021,189,228,2
347,24/02/2021,202,221,3
348,25/02/2021,199,219,4
349,26/02/2021,216,223,3
350,27/02/2021,210,217,3
351,28/02/2021,192,216,2
352,01/03/2021,198,212,0
353,02/03/2021,171,209,2
354,03/03/2021,225,231,2
355,04/03/2021,209,217,1
356,05/03/2021,255,263,2
357,06/03/2021,259,270,2
358,07/03/2021,188,237,1
359,08/03/2021,215,221,2
360,09/03/2021,188,198,1
361,10/03/2021,241,256,2
362,11/03/2021,244,258,3
363,12/03/2021,277,253,1
364,13/03/2021,276,269,1
365,14/03/2021,283,275,4
366,15/03/2021,251,244,3
367,16/03/2021,255,242,2
368,17/03/2021,303,272,1
369,18/03/2021,323,268,2
370,19/03/2021,347,290,1
